titles,descriptions,genres,links
Naguri Tamer no Isekai Seikatsu ~ Kōeinanoni zen’ei de tatakau mamono tsukai ~,"Kaito Arihara, a high school student who has never been liked by animals by nature, is caught up in a magic circle that suddenly appears around his classmate Chisato Shishihara, who he met by chance on his way home from school.Kaito, who has been blown into an unknown space, meets Schiff, a shape shifter, a monster in the shape of a black cat. Schiff discovers the nature of “Tamer” in the unique mana in Kaito’s body, and decided to be his familiar. However, as a result of the combination of Kaito’s mana and Schiff’s abilities, it turned out that it was more efficient for Kaito to fight by himself than to use his familiar for some reason. Using that ability of him, Kaito is looking for a way of life in this other world.
The whereabouts of Chisato Shishihara, who has been separated with Kaito, the girl called Leafa who knows Kaito’s name that has just been summoned, and the existence of the demon king who moves secretly — the only thing waiting for Kaito is turmoil!?
Breaking the norm of “Monster Tamer”, this is the adventure comedy story of “Hit-Tamer” in Another World!!","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/naguri-tamer-no-isekai-seikatsu-koeinanoni-zenei-de-tatakau-mamono-tsukai/
The Black Healing Holy Beast ~Is What It Is Exaggeratedly Called but It Is Just a Black Rabbit~,"When I finally awoke, I had been reborn as a rabbit.Carnivores, the enemies of herbivores, didn’t live in my little forest. That’s why I became careless. Carnivores weren’t the only threat. 
One day, all the rabbits in the surrounding forest disappeared, leaving me all alone. Not just the rabbits, either. The entire forest seemed to have vanished,  all the trees and lush grass disappearing without a trace. Only small traces of vegetation were left, scattered around the hole leading to my den.
「A rabbit in a place like this…？」
As I sat confused, I was picked up by a passing stranger. Tall, tanned, with hard muscles and a tempered body…A huge man picked up a little black rabbit. 
Huge! His face is of ikemen class but his eyes are sharp and scary like a carnivore!
A loose love story between a scary, carnivore-looking, mofu-mofu loving king × the black rabbit whose only redeeming feature is its mofu-mofu!","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/the-black-healing-holy-beast-is-what-it-is-exaggeratedly-called-but-it-is-just-a-black-rabbit/
Over The Infinite,"I do not know how or when I died.What was waiting at the point of incarnation while holding memories of my previous life was a realistically harsh daily life while having a game-like system.
Contemporary knowledge has no meaning, and the position as a reincarnate is also untouched. The village that I was born in is a marginal village. There were neither clothes to wear nor food to eat ; no hope for the future, just seeking food to live and spending days like sl-aves.
At that time I heard the rumor of a certain city just when I gave up that the memory of Japan was all an illusion.
“There is a city where all kinds of wishes come true.”
I bet my last hope on such a s*upid story, holding a vow “I want to live a human life at least”, and head to the labyrinth city….","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/over-the-infinite/
"I Became An Abandoned Child, But I’ll Be Alright Thanks To Magic","When I opened my eyes, I was in another world.Why? Why? Just as I was thinking about it, my parents abandoned me.
When I was attacked by dogs and was in a helpless situation, I awoke to magic.
For a while, I sought safety and information. I spent my days at a pioneer village and used magic and looked for information.
While I spent those days in peace, a new power awakened in me.
In exchange for that power, I had to leave the village and go to a new town.
This is a story about a little timid boy who uses his wits, violence, and sometimes a bit of luck to survive.
Unwittingly he was called a “miracle”.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/i-became-an-abandoned-child-but-ill-be-alright-thanks-to-magic/
Inferno,"""Give me a kiss. Please be nice to me every day and pet me""The prince's ascension tempted the rich to survive.
The emperor, unable to overcome his son's coquettishness, mixed himself with his son.
One night after the night of death, Seung-wan was charged with high treason for slashing his father's throat.
""I'll fill your hole with my seedings. Give birth to your brother and my child.""
He was violated by his brother Yi-do every night.","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/inferno/
Magus Tech,"This is a story about the study of technology in the wizarding world.Probability, electromagnetic induction, nuclear physics, relativity... if one explored and learned the scientific way, one would be able to master everything. This was Richard's way of thinking until he traveled to a world similar to the Middle Ages as the prince of a nation.
One day... he'd been carried away by a dragon.
""This is quite an interesting aerodynamic flight, isn't it. How does it fly when it doesn't satisfy the Kutta Condition. Maybe it has to do with the number of wings and the Bernoulli Theorem? Does it have a built-in engine?""
Richard could not help but wonder as he looked at the dragon he was riding.
""Well, this is good study material. Oh, by the way, you said just now that you kidnapped me as a prince because you wanted to find a playmate for your dragon daughter? Isn't this reason a bit too... outlandish?""
""Roar!"" the dragon roared angrily and flapped its large wings straight into the sky.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/magus-tech/
Tekeri-chan!,"Anekawa Mone, a girl who exceled in both brains and beauty. She was almost flawless if not for her lack of stamina along with strength and because of that, she could not enjoy VR.However, after sending an email of appeal to a newly released VRMMORPG, that issue was resolved.
This is the tale of how a girl who was perfect in all but her constitution, received a formidable body… as a shoggoth and tackled on the game world.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/tekeri-chan/
Ushering In The Internet Era In The Magical World,"The more followers a Deity has, the more powerful he becomes! Yu Sheng’an who receives the Contract Divinity accidentally, has to evade the other deities who are hunting for him, while gaining enough power to return home. 
Hence, he comes up with an idea, “There’s no need to preach. Isn’t that the same old maneuver the Internet uses to gain and expand their userbase back home?” 
See how he gains power and followers in the magical world with: 
Social media accounts; 
Short video downloads; 
Q&A online platform; 
Live broadcast; 
E-commerce. 
Then, watch him unleash the users on those deities as he overthrows their heresy!","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/ushering-in-the-internet-era-in-the-magical-world/
"The Demon King From Another World Likes to Tease His Childhood Friend (the hero) Because He’s in Love With Him ~The Demon King, Who Has Already Been Defeated, is Being Doted on by His Childhood Friend, the Hero~","I, Ishigaki Kurousagi, was the Demon King in another world. My childhood friend, Minuzaki Rei, who was a hero in another world, has already confessed to me and had a relationship with me. However, I don’t remember any of this at all. So… I decided to have him confess again to me in this world.I hope you enjoy this one-sided romantic comedy and contemporary fantasy with the cool, tsundere hero[Kurousagi], who teases his childhood friend while confessing his love in his heart.","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/the-demon-king-from-another-world-likes-to-tease-his-childhood-friend-the-hero-because-hes-in-love-with-him-the-demon-king-who-has-already-been-defeated-is-being-doted-on-by-his-childhood-frien/
"If I Helped My Older Brother With Darkness, I Will Lose My Magical Power and Will Be Removed From the List of Crown Prince’s Candidate","To save my elder brother, I gave up all of my light elemental powers. When my father (His Majesty) knew I lost my powers, I was stripped of my status as a prince and sent away to a Marquisate. [I was able to save my brother so I don’t mind].But why did my brother, who came along with me to the Marquisate, say “I want to sleep in the same bed”, does he miss the company of others?","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/if-i-helped-my-older-brother-with-darkness-i-will-lose-my-magical-power-and-will-be-removed-from-the-list-of-crown-princes-candidate/
How to Get My Husband on My Side,"In the original lines of the novel, I was a villainess—used as a political tool by my father and older brother—who ended up dying at the hands of my future husband.To save his kingdom, my father desperately begged my fifth groom to take my hand in marriage. The problem is that the man I’m supposed to marry, the legendary knight of the North, is the same man who will end up murdering me and my entire family.  
I have to find a way to survive. 
Within the novel itself, there are many daunting challenges ahead of me: I have to find a way to save my husband’s little sister, win over my cold-hearted husband, and gain the support of the people of the North, all of whom currently despise me.
“I’m in love with you!”
So please, don’t kill me!","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/how-to-get-my-husband-on-my-side/
The Last Boss Witch Will Keep Her Past Self’s Crush Until Her Dying Day,"Sonia Carnelian is the only daughter of the Witch of Salvation. However, during the wedding ceremony that was done in accordance with the treaty, the Prince breaks their engagement, and she is condemned as an evil witch.“In the original work, ‘the last boss’ will get angry, but I’m not that s*upid.” ― Sonia escapes the crisis with the knowledge of “anime” gained by peering through the previous life. And she gets the Prince’s Knight in exchange for the insult.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/the-last-boss-witch-will-keep-her-past-selfs-crush-until-her-dying-day/
The Magician Wants Normality,"One day, Kousaka Mizuki suddenly experienced an other world trip. She was an otaku, therefore, she quickly adapted to it. She decided to live her life as a sorcerer since she had no other choice.She lived in this other world freely using the automatic language translation bestowed onto her, and knowledge from her original world. However, reality was quite harsh.
She fully came to realize how she should treat these beautiful guys, destroying a maiden’s dream with their quirks.
“I definitely won’t raise a love flag…!”
…The country protecting her was a country where ability was supreme — extraordinary (aka genius) + peerless beauty -> there would be a great downside to them.
This is the story of a woman who died, arrived in a different world without any role, and removed obstacles while fully utilizing all of the knowledge she’d gained up until then.","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/the-magician-wants-normality/
Mahou Sensou,"In this modern magic action story, Takeshi Nanase is an ordinary high school boy who has a somewhat dark past. Due to certain circumstances, he formed a “fake” couple with his childhood friend Kurumi Isoshima, but otherwise, he lives a normal life. However, one day, he comes across a girl named Mui Aiba in a uniform he has never seen before, collapsed on the school campus. This encounter changes Takeshi’s destiny completely. Mui tells Takeshi that she is a magician, and she apologizes, for she turned Takeshi into a magician, too. What Takeshi once knew as one world is actually two—the world where magicians live and the world where humans live. Source: ANN","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/mahou-sensou/
"A Way To Protect You, Sweetheart","Finally, it was their first night. Leticia whispered, leaning her forehead against his chest.
""As expected, is it too far? Should I get closer?""
Dietrian barely swallowed a groan. His hand grasping Leticia's shoulder was shaking with a sweet faze, but she didn't notice.
""I know that you’re uncomfortable. But please bear with me until my mother comes.""
Dietrian hated Leticia. It was natural as Leticia's mother killed his family. She had never doubted the fact.
So she didn't know, how badly his face was distorted by her words.
“You just have to put up with me for half a year. Then, I will divorce you as you wish.” 
At the word ‘divorce’, he gritted his teeth. ","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/a-way-to-protect-you-sweetheart/
"I Don’t Want to Become a Villainess, So I Aim at Becoming a Perfect Lady Together with the Prince!","I'm a villainess... it seems!? No, no, I'm not such a bad woman-!!Liz Beltran is an arrogant, selfish young woman, and a villainous one at that.
When Liz arrives for her formal marriage meeting with the first prince, Alan, she is shocked to hear his younger brother's voice speaking to him.
What do you mean, ""villainess""? I'm not such a lousy woman!
She is shocked and teary-eyed, but her marriage partner, Alan, tells her: ""I'll be your fiancé and help you out so you don't end up becoming a villainess."".
She struggles to understand incomprehensible words such as ""target"" and ""game world"", but, at the same time, she is thrilled by the too-sweet guidance of the beautiful Prince Alan as she strives to get back at the prince's brother!
With the help of the prince who is ""apparently"" about to break off their engagement, Liz strives to become a perfect lady in this unique romantic comedy about a villainous lady!","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/i-dont-want-to-become-a-villainess-so-i-aim-at-becoming-a-perfect-lady-together-with-the-prince/
I Favor the Villainess,"“I am the heroine of an otome game, so is it wrong to like the villainess?”Corporate s*ave OL, Oohashi Rei, reincarnated as the heroine Rei Taylor in the world of the otome game 「Revolution」.
Her preference isn’t the capturable princes, it’s the villainess, Claire François.
She merrily accepts Claire’s dislike.
With the protagonist’s involvement, it’s the beginning of a unique romcom.
To make it worse, Rei’s love became directed at the villainess, what does Claire’s future hold?
It’s my second series with a screwball villainess.
A little different from ordinary… I hope you can enjoy the villainess who’s just a little different.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Mystery', 'Sci-fi', 'Seinen', 'Supernatural']",https://www.novelupdates.com/series/i-favor-the-villainess/
The Northern Land Calls For You,"“Go and capture Einstein Hillington’s heart.”Princess Liliana Charlotte of the Southern Kingdom Erion gets married as if she was sold to Einstein Hillington, ‘the conqueror of the north’, at the order of her brother, the king.
As she headed north with fear of her husband who had a lot of malicious rumours, Liliana was attacked by many ogres and fell down on a dark cliff.
Barely conscious, she saw a silver-haired man which resembles the winter.
“Einstein Hillington…?”
After their mysterious first meeting, she gradually opens up to the lovable Einstein, who was unlike the rumours, as their relationship changes little by little.
Liliana gradually uncover a secret based on the story of Queen Soltiras that has been handed down in the northern land, and happens to face the tremendous truth when she sees Einstein’s portrait.
Will Liliana and Einstein be able to uncover the cold truth behind the northern lands and grow a warm love amidst the cold?","['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Smut']",https://www.novelupdates.com/series/the-northern-land-calls-for-you/
Starting With Contract Pets,"Su Bai wakes up and finds that the world has changed drastically. He realizes he has come to a world of pets. After accepting the new setting, he is determined to become a powerful Pet Tamer. One day, Su Bai’s pet releases a beginner skill spark. Flames flutter and the sky turns to ashes… 
A water attribute beginner skill causes the boundless sea to fall from the sky, flooding thousands of miles of mountains and rivers… 
One blow rips apart the claw, and endless sharp bursts explodes. One after another, worlds fall apart… 
A passerby: (ﾟДﾟ≡ﾟдﾟ)!? 
This is a world of pets and monsters. Every teenager will develop a soul stone in the middle of their eyebrows. 
After placing the soul stones into stones, branches, water, and any other thing, a spirit egg unique to the owner would be born. 
Once the spirit is hatched, the owner will receive his own beginner spirit contract book. Then, he can embark on the road of contracting and training various spirits and monsters. 
However, Su Bai seems to be doing things a little differently… 
[Tags]: Beginner spirit, pets, monsters, spirits, cultivation, evolution, daily ease, adventure","['Action', 'Fantasy', 'Romance', 'Shoujo Ai']",https://www.novelupdates.com/series/starting-with-contract-pets/
I Really Am Not The Lord of Demon,"As the owner of an ordinary bookstore, Ling PingAn’s biggest wish was to muddle through life and do absolutely nothing. However, customers that were right in the middle of their pubescent crisis kept visiting his store in the dead of night. 
For the sake of his business, Ling PingAn had to mimic their childish tones, sparing no effort to promote the books in his store. 
When he finally managed to sell his books after going through a great verbal tug-o-war, each and every one of them said that they don’t have money and that they wish to use various tools that were seemingly divine artifacts as pledge. 
Looking at these customers, Ling PingAn could only agree to them resignedly. 
But little did he know that every single book that these customers purchased from him had altered in appearance. 
“Secrets of Cosplay” became “Lower Abyss Research Report” 
“Stellaris: Settings for Synth Ascension” was in fact “Gospel for Synthetic Beings” 
What’s more, in the eyes of these customers, he was actually a horrifying ruler of Diablos, an indefinable entity that held the reins of all realms. 
In this regard, Ling PingAn said, “I’m not, I didn’t, don’t talk nonsense.","['Adventure', 'Fantasy']",https://www.novelupdates.com/series/i-really-am-not-the-lord-of-demon/
Lady Rose Wants to be a Commoner,"Due to a false charge, Felicia Swallows who was admired by the young ladies got her engagement with His Highness annulled and was expelled from school. There’s nothing but misunderstandings all around her, but the person herself only wants a rose-coloured commoner’s life. It’s a story about characters from “Nation’s Saviour Lady Rose”, an otome game from her previous life.","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Smut', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/lady-rose-wants-to-be-a-commoner/
The Labyrinth Raids of the Ultimate Tank,"Rude is a tank, known as the strongest in history. However, the Hero decided that his skills were worthless because he couldn’t do anything but take damage, and threw him out of the party. His cleric friend who trusted him followed him to the remote village that Rude was forced to return to.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/the-labyrinth-raids-of-the-ultimate-tank/
Fallen Monarch,"The Demon Lord, humanity’s greatest enemy. Every few decades one rises to power, threatening the human realm and all who inhabit it. To stand against the Demon Lord and its armies, humanity relies on Heroes who are sent forth to face the unfaceable.Thoma was one such Hero, though he defeated his generation’s Demon Lord over 20 years ago. Now, he is but a simple monk living in a remote abbey in the mountains of the Holy Kingdom, where he cares for abandoned children and orphans of war. Though his life has been peaceful for a long time now, things are changing. Times are getting tougher and the abbey is struggling to make ends meet. Thoma knows the future is uncertain, yet he continues to struggle toward a better tomorrow.
Will he succeed, or will the past he left behind finally catch up to him?","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/fallen-monarch/
A Saint That Can See Ghost,"“We’re getting divorced.”Foolish, Safes that open automatically, Vicherin Osirius, who was called the Fish Bread. She drinks poison as a trick of her husband’s extramarital affair and hangs up her dead body.
(Fish bread: Bible story in which Jesus blesses a small amount of fish and loaves of bread, resulting in the disciples having enough food to distribute to thousands of people.)
But I didn’t expect it to be a divine move.
Viche was addicted to poison, has not returned to reality for a month. What’s interesting is that the dream I had was 30 years in another world.
Viche came back with 30 years of Korean actress’ memories.
Divorce succeeded by collecting huge amounts of divorce alimony and compensation for mental and physical damage!
After that, Vichr spent the night with an attractive man named Roel. I thought it was just a one-night relationship…
This guy I met like fate.
The more we meet, the more dangerous it smells.
Who the hell are you?!","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/a-saint-that-can-see-ghost/
God Rank Upgrade System,"“As long as I level up another 10 times, I will be able to activate the Gene Lock. At that time, I will be able to destroy this celestial body!” After transmigrating into the body of a tr*sh in a future where zombies and intellectual beasts existed, Lin Xiu accidentally obtained an upgrade system to transcend human limitations and devour the heavens!","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/god-rank-upgrade-system/
"Virtuous Old Man, SSS-Rank is Confirmed in Your Next Life","This world judges the deeds and good karma of your previous life, and grants you a rank when you are reborn. The benevolent man, even surprising the heavenly beings through this, decides to be reborn as the son Alexander of a noble family, and thus starts his SSS-Rank life! Follow Alec’s journey as he lives his life as a SSS Rank!","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/virtuous-old-man-sss-rank-is-confirmed-in-your-next-life/
Rebirth Handbook,"“Do you want to be reborn?”“With rebirth, what can you change?”
In the endless sea of ​​red flowers, the woman in red smiled.
[Short stories. Each story has a different world protagonist. All are rebirth novels in modern, ancient, interstellar apocalypse, western fantasy, etc settings. It’s a collection of rebirth stories.】","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/rebirth-handbook/
Back to Zero,"Ling Qiyang wholeheartedly wanted to marry Jun Lixuan. Alas, Jun Lixuan doubted his intentions and swore to choose death over marriage with the former.In the end, to save Jun Lixuan’s life, Ling Qiyang sacrificed himself. Finally, he died in front of Jun Lixuan’s grave…
With Li Qiyang dying in front of his grave, Jun Lixuan was born again, returning to the time when he was twenty years old. Then, he found that many things were different.
When the duo met again, Jun Lixuan realized that he had married not only his beloved consort but also a genius doctor…
Fortunately, this time, everything had been reset. This time, he can do things right…","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/back-to-zero/
Devilish Dream Boy Pampers Me to the Sky,"Clearly it had been agreed on that I would be the one teasing instead of being teased!#Genius Medical Doctor Oppa pushes up his golden framed glasses : ""I'll take the responsibility for your body, you'll take responsibility taking care of my heart.""
#Cute Black Belly pet carrying her by the collar: ""Save me? Save me to the end, then.""
#The esports Male God smiled at her and licked his lips, chuckling softly: ""I can pamper you, pamper you all the way up to heaven.""
#System Cha Bai: Warm them up, reform them up, guide them all the way! Charge, Cici! After meeting the male god who can't help but go on the route onto ruining his entire life…
Weird. Cici, Good luck!: ""Calm down, all of you calm down!""","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/devilish-dream-boy-pampers-me-to-the-sky/
Creator’s Internship Guide,"Fantasy World Jiang Ci created a game called “Creator’s Internship Guide” and became the god. He first created the Celestials, then the dragons, Shadow Race, and last, humans. An accident makes him travel into the game world he created. He is told that the six races went to war 1,700 years ago over which race was his favorite. For the sake of world peace, Jiang Ci works diligently to calm down the tides of war, with his ultimate goal of choosing one of the six races administrators to become the new God so he may go back to his original world. ","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/creators-internship-guide/
Escape the Infinite Chamber,"Fantasy World One day, Luo Jian woke up from his sleep and found himself in a locked chamber where the door and window were all sealed. A note with a few lines written on it was tacked to the wall: “Escape from this room within an hour, otherwise, you will die.”","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/escape-the-infinite-chamber/
Fantasy Simulator,"After dying, Chen Heng finds that he has transmigrated to an alternate reality: everything is the same, except the world is now a Wuxia world heavily influenced by martial arts! Not only this, he discovers that he has a Fantasy Simulator, from which he obtains rewards that make him incredibly powerful in his new reality as well. Martial arts, immortal cultivation, and overpowered abilities--all of this begins from a single simulation!","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/fantasy-simulator/
The Transmigration Survival Guide,"The end of that era means the start of a new era, and those who belong to this new era quietly appear.He doesn’t have a sword, but he has a more dangerous and terrifying weapon……
He can’t use magic, but he can get the entire empire to focus their eyes on him……
He was toyed with when he came here, treated as a s*ave, but in the end, the entire world trembled in fear at his words…….
He’s not the demon king, but they call him the demon king……
However, he is an invincible demon king.
This is a story of love and contention. The jealousy and destructive powers of the women are no less than that of a man. Females’ hearts are set aflutter everywhere he goes. Countless flirtatious eyes are always on him. However, as the man who adopted the succubus daughter of the demon king, he has something more important to do right now.
Raising a daughter isn’t easy for a guy after all.
And if your daughter loves him in some weird way, then not even mom will get to go near her dad.
“Lord Dongqing…… Father……. Darling……”","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/the-transmigration-survival-guide/
"I, Abandoned and Time-limited, Married A Monster","I was abandoned in the house, and with only a few days left to live.I had no regrets in my life.
So I tried to accept death on the day I got married to a monster.
However, my cute first love who became a duke and is said to be a monster was looking at me enthusiastically.
""A divorce? If you want to do it, you should kill me first. Then you can ask for a divorce.""
Besides, the cold-blooded mother-in-law is weird.
She says I am a fairy.
""What?""
I came to die, and somehow my husband and in-laws won't let me go.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/i-abandoned-and-time-limited-married-a-monster/
I Am In Marvel,"During the Second World War, Kyle looked at Captain America standing straight and proud before him. Suddenly, a series of skill cards appeared.「Pistol Master」
「Martial Arts Master」
「Shield Defense Master」
「Super Soldier Serum」
Which skill card do you wish to extract?
“Wait… what? This golden finger… you must be pulling my leg! Not only skill cards but I can also extract super-powered skills like the Super Soldier Serum? Mother of God… what is this?!”","['Comedy', 'Fantasy', 'Slice of Life']",https://www.novelupdates.com/series/i-am-in-marvel/
"Eh, Everyone Can’t Use Ancient Magic!!??? ～A Fallen Noble Who Was Judged To Have Zero Magic Power Will Be Peerless In The School Life With The Strongest Magic～","Rent Farrant discovered a magic book in his home library when he was a child.The book was left behind by his ancestor, the legendary great magician, and it contained all kinds of information about magic. Rent read the book and continued his magic training, and became proficient in all kinds of magic.
Eventually, Rent grew up and came to the Magic Academy in the royal capital. He took the entrance exam, but the value that came out when measuring his magic power was,
「Zero magic power.」
Without understanding why, Rent was admitted to the lowest class, Class C. The students there are all failures.
Sarah, even though she comes from a prestigious knight’s family, she was dropped into Class C because of her rebellious attitude towards the examiner.
Diene, from a merchant family, was forced to enroll because she was told to look for a noble husband to make connections.
Muno, from an orphanage, he can’t read and write letters.
While taking classes with them, the principal of the Magic Academy notices Rent's talent.
「The reason you were considered to have zero magic power was the measurement tool’s fault. Your magic power can’t be measured by modern magic. What you are using is the lost ancient magic.」
Rent, who is the last user of ancient magic, was dropped into the lowest class, Class C, but he decided to teach magic to his classmates.
His classmates are considered failures by the standards of modern magic, but for Rent, they have plenty of room to grow.
In order to get to Class A with all of his classmates, Rent begins his struggle.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/eh-everyone-cant-use-ancient-magic-%ef%bd%9ea-fallen-noble-who-was-judged-to-have-zero-magic-power-will-be-peerless-in-the-school-life-with-the-strongest-magic%ef%bd%9e/
The Greatest Genius Alchemist of All Time Want to Retire,"The Kingdom of Canovaria. It is the country where alchemy is most developed. Many yearn to become an alchemist and enter the Canovarian Institute of Alchemy, but it is difficult to enter and even more difficult to graduate. Even if they are able to enter the academy, many fail and give up on their dream of becoming an alchemist.Then, like a comet, a genius appeared in the history of alchemy. His name is Elweed Willis. He had an overwhelming talent that overturned the history of alchemy. And that genius would graduate from the academy in 1994.
Rumors about his career path are constant. Becoming a royal knight, an alchemist directly under the royal court, and even marrying a princess… but what is the answer he has chosen from the choices he has made?","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/the-greatest-genius-alchemist-of-all-time-want-to-retire/
Skill Taker’s World Domination ~ Building a S*ave Harem from Scratch,"Konoe Yuuto is a genius martial artist who is summoned to a different world where s*ave trading is legal. There, using his 【Ability Looting ( Skill Taker)】 cheat ability, he steals the abilities of monsters he defeats, and starts building a s*ave harem while hoping to live a carefree life after retirement.","['Adventure', 'Fantasy', 'Gender Bender', 'School Life', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/skill-takers-world-domination-building-a-slave-harem-from-scratch/
"Minus Skill: The Story of Four Nuisances That Once Gathered Together, Manifested a Synergy That Created the Strongest Party.","Minus Skill. A negative de-buff possessed by a select few since birth. A swordsman who has one such skill is once again in the throes of being thrown out of another party. Despite his abilities, that single skill had a huge downside, which would make him a burden to any would-be adventuring partners. Sick and tired of the never-ending cycle, he has taken it upon himself to challenge a dungeon that may possess an item that could remove a skill of his. There, he meets a girl with the Priestess class who also has a Minus Skill but… –Eh? Aren’t our skills synergistic? Negatives coming together to form a positive!
This is the story of people exiled from parties, who possess Minus Skills, banding together to eventually become the strongest party.","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/minus-skill-the-story-of-four-nuisances-that-once-gathered-together-manifested-a-synergy-that-created-the-strongest-party/
I Became a Tyrant’s Maid,"I possessed someone else’s body.One day I woke and realized that I’ve become the maid of a future tyrant in the romance fantasy novel I have been reading about!
Still, the male lead seems to be quite satisfied with the fact that I provided him with five star hotel level services to the best of my ability so that I could survive.
“I love how everything is done. Except for that ridiculous tone of yours.”
“If there’s anything you’re not satisfied with, I’ll correct it, Your Highness”
If I don’t want to die, I have to work hard until the female lead comes.
But why does it seem like the more I work, the more twisted it gets?
“The lady left the mansion just a while ago.”
“…""
""What?”
The lady of the house is gone now.
“Where are you going? Didn’t you say your life belonged to me from the moment you decided to obey me?”
The male lead is going crazy. What is wrong with you? Why didn’t you catch the runaway female lead and instead caught me?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/i-became-a-tyrants-maid/
Eldest Miss Divine Calculation,"When the Mu family’s First Dandy returns from Nirvana, the realm will change color, and the whole world will be rewritten.All the treasures of heaven and earth, as well as the sacred weapons, are in her hands. She will be able to avenge all her grudges and repay all her favors! She can walk horizontally or vertically. Her posture was arbitrary!
Reborn and armed with a sacred weapon, she is known to the world as the number one divine fortune-teller!
The world calls him the No. 1 divine fortune-teller. But when he encounters that person, he cannot control his own heart.
“You have calculated the heavens and the earth, but have you ever calculated my heart for you?” A smile emerged on his handsome face, and he looked like a God that had been banished from Heaven.
The Mu family’s dandy eldest young master returned from rebirth to produce clouds with one turn of the hand and rain with another.
When she stood at the summit, the crowd realized that this was not a dandy eldest young master, but this was clearly a breathtakingly beautiful young lady!
How many of the young elites were beating one’s chest and stamping one’s feet, losing the best chance to win the favor of a beautiful woman.
That man, however, smiled wickedly and dotingly kissed her on the forehead: “Thank you very much for having eyes but failing to see otherwise how could I have a beautiful woman in my arms?”","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/eldest-miss-divine-calculation/
