Name,University,Difficulty Level,Link,About,Course Description
Agile Innovation and Problem Solving Skills,"The University of Maryland, College Park-University System of Maryland",Advanced,https://www.edx.org/course/agile-solutions-for-greater-innovation,Learn how to deliver greater value through Agile solution targeting and theory of constraints that unleash your team's innovative potential.,"Version 2 of this course series delivers beyond the original agile certification. It includes updated content, better audit and verified learner experiences, and bonus videos on key topics.The follow-on to this course series on “Advanced Scrum” is expected by the end of Summer 2020. ****Innovative products and services change lives, and having the right innovative process creates an competitive advantage. Ultimately, innovation is about one thing: problem solving. ****As an agile problem solver, you'll need to expand your critical thinking skills to address the key sources of risk in developing best solutions for your new products and business lines. The Problem-solving techniques covered begin with problem definition, beginning with job descriptions and applying the right soft skills to enhance requirements gathering. This ensures you're targeting a good problem to solve, and that you understand the business model. The course then moves on to practices such as ""brainstorm and storm drain"" to target new creative solutions. You will learn how innovation works on fast feedback cycles to test possible solutions and target root causes of defects. Creative thinking isn't a straight line, and neither should the problem-solving process be a straight line. Each course of action needs early and frequent testing. ****Key lessons taught in this course are:By following best practices of Agile, including timeboxes, constraint-based thinking processes, and empathetic problem solving, you'll learn how to provide a sustainable innovation environment for your teams.While this course will not make you an agile certified practitioner (PMI-ACP), or certified scrum master (CSM), it offers a more fundamental agile certification based on agile principles and how agile innovation is accomplished in industry today. You'll finish this course more than ready to continue your agile journey, which we hope takes you to the next course in the series on “Agile Leadership Principles and Practices.”Upon successful completion of this course, learners can earn 10 Professional Development Unit (PDU) credits, which are recognized by the Project Management Institute (PMI). PDU credits are essential to those looking to maintain certification as a Project Management Professional (PMP). ****Upon successful completion of this course, learners can earn 10 Professional Development Unit (PDU) credits, which are recognized by the Project Management Institute (PMI). PDU credits are essential to those looking to maintain certification as a Project Management Professional (PMP). Engineering"
International Investment Law,Université catholique de Louvain,Advanced,https://www.edx.org/course/international-investment-law,Learn the features and dynamics of an important field of international law that grants rights to foreign investors to foster States’ development.,"Are you aware of the controversial situations facing States and foreign investors nowadays in relation to, for instance, the protection of public health and the environment? Do you recall recent cases such as Philip Morris v Uruguay and Vattenfall v Germany?In the aftermath of these high profile cases and in the context of the negotiation of new international investment agreements, like the CETA and the TPP, local populations, policy-makers and NGOs have come to realize the societal importance of international investment law. Passionate and sometimes ill-informed discussions have resulted from this realisation. They have focused on the features of international investment law, which has traditionally granted rights to foreign investors to foster States’ economic development. Central to these discussions are the issues of:Learning and understanding the features and dynamics of international investment law is key not only for international lawyers and policy-makers, but it is also important knowledge for all well-informed citizens.In this law course, you will:At the end of this course, you’ll be able to: Law"
Animation and CGI Motion,Columbia University,Advanced,https://www.edx.org/course/animation-and-cgi-motion-2,Learn the science behind movie animation from the Director of Columbia’s Computer Graphics Group.,"How do you create realistic animations? How do you predict the motion of materials? It’s key to the success of animated films to ensure (was insure) audiences believe in characters.This course will show you how to create lifelike animations focusing on the technical aspects of CGI animation and also give you a glimpse into how studios approach the art of physically-based animation.You will learn the fundamental concepts of physical simulation, including:These concepts will be put into practice in the programming assignments spanning: Computer Science"
Terrorism and Counterterrorism,Georgetown University,Beginner,https://www.edx.org/course/terrorism-and-counterterrorism,"What is the danger of terrorism, and how can the world respond effectively?","Terrorism has gone from a persistent yet marginal security concern to one of the most important security problems of our day. There are few countries that do not suffer from some form of terrorism. Though many attempts at terrorism fail, some groups wage lengthy and bloody campaigns and, in exceptional cases, kill hundreds or even thousands in pursuit of their ends.This course on terrorism will explore the nuances involved in defining terrorism; the nature of Al Qaeda, Hamas, the Islamic State, and other important groups; the effectiveness of different counterterrorism tools; terrorist recruiting, counterterrorism and the rule of law; the political context in South Asia and the Middle East; and the terrorist use of technology.For those interested in an abbreviated version of this course, the 3-section course Terrorism and Counterterrorism: An Introduction is available here. Humanities"
Solar Energy: Photovoltaic (PV) Energy Conversion,Delft University of Technology,Advanced,https://www.edx.org/course/solar-energy-photovoltaic-pv-energy-conversion,"Learn how solar cells generate electricity, and about the semiconductor physics and optics required to design and manufacture solar cells.","The key factor in getting more efficient and cheaper solar energy panels is the advance in the development of photovoltaic cells. In this course you will learn how photovoltaic cells convert solar energy into useable electricity. You will also discover how to tackle potential loss mechanisms in solar cells. By understanding the semiconductor physics and optics involved, you will develop in-depth knowledge of how a photovoltaic cell works under different conditions. You will learn how to model all aspects of a working solar cell. For engineers and scientists working in the photovoltaic industry, this course is an absolute must to understand the opportunities for solar cell innovation. This course is part of the Solar Energy Engineering MicroMasters Program designed to cover all physics and engineering aspects of photovoltaics: photovoltaic energy conversion, technologies and systems. We recommend that you complete this course prior to taking the other courses in this MicroMasters program.Audit learners can develop their skills and knowledge in relation to the above learning objectives by having access to the video lectures, a limited number of practice exercises and discussion forums. Verified learners are offered a number of study tools to demonstrate they have mastered the learning objectives. They will have access to all exercises: practice, graded and exam questions. Engineering"
Information Technology Foundations,Western Governors University,Beginner,https://www.edx.org/course/information-technology-foundations,"Information Technology Foundations examines IT as a discipline and its various roles and functions. The course covers IT disciplines including systems and services, network and security, scripting and programming, data management, and the business of IT. The course also surveys technologies within these disciplines.","Information technology (IT) can be viewed as a system, a combination of independent parts all working together to accomplish a certain goal. Systems are everywhere. For example, the respiratory, circulatory, nervous, and other subsystems of the body work together towards the common goal of keeping humans alive. IT is similar in that it consists of various subsystems all working towards a common goal. Information Technology Foundations will examine how the system called IT helps an organization advance its business goals and vision, resulting in improved growth, profits, and productivity. The course will explore the different components of IT and how they work together as a system to support the different aspects of an organization. Specifically, the course will explore different categories of software such as operating systems, programming, and databases. The hardware components that will be examined are the structure of computers and their peripherals. The role of people will be an important focus of the course, describing which roles are necessary for the IT system to function efficiently and effectively. This focus includes the various administrative roles, the methodologies used by people tasked with developing new systems, and the ethical issues that must be considered by individuals involved with IT. In IT, as with many other systems, the independent parts must be integrated together to reach the common goal. This integration is accomplished by networking, which encompasses the core components of hardware, software, and users. IT supports and improves many aspects of an organization, including communication (both internal and external), resource sharing, cross-department integration, information management, security of organization and employee information, and organization adherence to ethical practices. Computer Science"
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,Delft University of Technology,Intermediate,https://www.edx.org/course/influencing-stakeholders-discover-your-leadershi-2,This course is part of a Professional Certificate,"In our interconnected and complex world, leaders are faced with both internal and external stakeholders. Problems have to be solved within complex networks of stakeholders, each with their own dynamics, interests, perspectives and power. As leaders, engineers have clear advantages: they are analytical, technically skilled, project-based, good with numbers and well-used to problem-solving. However, engineers cannot rely on this skillset alone when exercising leadership in today’s world.Upon completion of this course you will be introduced to an influencing mindset and toolkit, in order to use a set of cohesive strategies for dealing with stakeholders – both cooperative and non-cooperative stakeholders.  Business & Management"
Instructional Design and Technology: Learning Theories,University System of Maryland-University of Maryland Global Campus,Intermediate,https://www.edx.org/course/instructional-design-and-technology-learning-the-2,Explore emerging learning theories and interactive technologies to create engaging experiences for today’s connected students.,"Technology, digital media and mobile access have changed how people learn. Today’s students want to be engaged and self-directed with digital content, available anytime, anywhere. This is a challenge for instructional designers as they create online learning experiences.As an instructional designer, it’s critical to understand emerging learning theories including Bloom’s taxonomy and constructivism and how they relate to the way people learn in our digitally connected world. This course, which is part of the Instructional Design and Technology MicroMasters Program, explores the evolution of learning theories from traditional Socratic methods to emerging learning sciences. Additionally, you will explore curriculum design models using performance-based assessments to create effective and engaging learning experiences.After a solid foundation of how people learn today, you will explore technology’s role in supporting and enhancing the teaching and learning process.Previous background in teaching or professional development is a plus, but not required. Join us and launch your career as an instructional designer. This course is part of the Instructional Design and Technology MicroMaster’s program from UMGC. Upon completion of the program and receipt of the verified MicroMaster’s certificate, learners may then transition into the full UMGC Master’s Program in Learning Design and Technology. See the MicroMasters program page for more information. Education & Teacher Training"
"Algorithms: Design and Analysis, Part 2",Stanford University,Intermediate,https://www.edx.org/course/algorithms-design-and-analysis-part-2-2,"Welcome to the self paced course, Algorithms: Design and Analysis, Part 2! Algorithms are the heart of computer science, and the subject has countless practical applications as well as intellectual depth. This course is an introduction to algorithms for learners with at least a little programming experience.","Welcome to the self paced course, Algorithms: Design and Analysis, Part 2! Algorithms are the heart of computer science, and the subject has countless practical applications as well as intellectual depth. This course is an introduction to algorithms for learners with at least a little programming experience. The course is rigorous but emphasizes the big picture and conceptual understanding over low-level implementation and mathematical details. After completing this course, you will have a greater mastery of algorithms than almost anyone without a graduate degree in the subject.Specific topics in Part 2 include: greedy algorithms (scheduling, minimum spanning trees, clustering, Huffman codes), dynamic programming (knapsack, sequence alignment, optimal search trees, shortest paths), NP-completeness and what it means for the algorithm designer, analysis of heuristics, local search.Learners will practice and master the fundamentals of algorithms through several types of assessments. There are 6 multiple-choice problem sets to test your understanding of the most important concepts. There are also 6 programming assignments, where you implement one of the algorithms covered in lecture in a programming language of your choosing. The course concludes with a multiple-choice final.There are no assignment due dates and you can work through the course materials and assignments at your own pace. Computer Science"
The Math of Data Science: Linear Algebra,Rice University,Intermediate,https://www.edx.org/course/math-of-data-science-linear-algebra,"This course is an introduction to linear algebra. You will discover the basic objects of linear algebra – how to compute with them, how they fit together theoretically, and how they can be used to solve real problems.","Linear algebra is at the core of all of modern mathematics, and is used everywhere from statistics and data science, to economics, physics and electrical engineering. However, learning the subject is not principally about acquiring computational ability, but is more a matter of fluency in its language and theory.In this course, we will start with systems of linear equations, and connect them to vectors and vector spaces, matrices, and linear transformations. We will be emphasizing the vocabulary throughout, so that students become comfortable working with the different aspects.We will then introduce matrix and vector operations such as matrix multiplication and inverses, paying particular attention to their underlying purposes. Students will learn not just how to calculate them, but also why they work the way that they do.We willdiscuss the key concepts of basis and dimension, which form the foundation for many of the more advanced concepts of linear algebra.The last chapter concerns inner products, which allow us to use linear algebra for approximating solutions; we will see how this allows for applications ranging from statistics and linear regression to digital audio.The relationships between linear equations, matrices, and linear transformations; the principles of vector and matrix operations; the significance of basis and dimension of a vector space; the applications of inner products and orthogonality. Math"
The Hardware of a Quantum Computer,Delft University of Technology,Intermediate,https://www.edx.org/course/hardware-of-quantum-computer,"Learn how a quantum computer could be physically build, and how it could be controlled.","There is no doubt that the quantum computer and the quantum internet have many profound applications, they may change the way we think about information, and they could completely change our daily life.The aim of this course is to help you get up to speed with current progress in the transition to a quantum information era. After an initial review of some of the basic concepts and operating principles of the quantum computer and quantum internet (e.g. the ket notation and quantum bits, the qubits), the course will feature an extensive discussion on some of the different ways qubits can be built. Then, we will discuss the four types of qubits that QuTech focuses on: topological qubits, spin qubits, trans qubits and NV center qubits. The course is a journey of discovery, so we encourage you to bring your own experiences, insights and thoughts via the forum! This course is authored by experts from the QuTech research center at Delft University of Technology. In the center, scientists and engineers work together to enhance research and development in quantum technology. QuTech Academy’s aim is to inspire, share and disseminate knowledge about the latest developments in quantum technology. Physics"
Leadership focused on Human Flourishing,Tecnológico de Monterrey,Intermediate,https://www.edx.org/course/leadership-focused-on-human-flourishing,"It describes the elements of the Leadership model oriented towards human flourishing, in order to develop leaders who achieve better results.","It describes the elements of the Leadership model oriented towards human flourishing, in order to develop leaders who achieve better results.We are facing a world leadership crisis, due to (among other factors) the volatile, uncertain, complex, and ambiguous context we are living in.The world needs self-aware leaders who are also aware of their environment, immersed in a permanent learning process, who are committed, resilient, with a positive vision of the present and the future, who find meaning in their life mission, and who flourish by contributing to the flourishing of others.This course will bring the necessary tools to develop a human-flourishing-oriented-leadership.Identify opportunities for personal improvement within the five elements of the Leadership Focused on Human Flourishing model.Develop the skills that will allow you to achieve and optimize results at work.Understand the relationship between happiness, leadership, and flourishing. Business & Management"
Automata Theory,Stanford University,Advanced,https://www.edx.org/course/automata-theory,"This course covers the theory of automata and languages. We begin with a study of finite automata and the languages they can define (the so-called ""regular languages."" Topics include deterministic and nondeterministic automata, regular expressions, and the equivalence of these language-defining mechanisms.","We begin with a study of finite automata and the languages they can define (the so-called ""regular languages."" Topics include deterministic and nondeterministic automata, regular expressions, and the equivalence of these language-defining mechanisms. We also look at closure properties of the regular languages, e.g., the fact that the union of two regular languages is also a regular language. We consider decision properties of regular languages, e.g., the fact that there is an algorithm to tell whether or not the language defined by two finite automata are the same language. Finally, we see the pumping lemma for regular languages -- a way of proving that certain languages are not regular languages.Our second topic is context-free grammars and their languages. We learn about parse trees and follow a pattern similar to that for finite automata: closure properties, decision properties, and a pumping lemma for context-free languages. We also introduce the pushdown automaton, whose nondeterministic version is equivalent in language-defining power to context-free grammars.Next, we introduce the Turing machine, a kind of automaton that can define all the languages that can reasonably be said to be definable by any sort of computing device (the so-called ""recursively enumerable languages""). We shall learn how ""problems"" (mathematical questions) can be expressed as languages. That lets us define problems to be ""decidable"" if their language can be defined by a Turing machine and ""undecidable"" if not. We shall see some basic undecidable problems, for example, it is undecidable whether the intersection of two context-free languages is empty.Last, we look at the theory of intractable problems. These are problems that, while they are decidable, have almost certainly no algorithm that runs in time less than some exponential function of the size of their input. We meet the NP-complete problems, a large class of intractable problems. This class includes many of the hard combinatorial problems that have been assumed for decades or even centuries to require exponential time, and we learn that either none or all of these problems have polynomial-time algorithms. A common example of an NP-complete problem is SAT, the question of whether a Boolean expression has a truth-assignment to its variables that makes the expression itself true. Computer Science"
Foundations of Central Bank Law,The International Monetary Fund,Intermediate,https://www.edx.org/course/foundation-of-central-bank-law,"This online course, presented by the IMF Institute and the IMF Legal Department, introduces participants to the foundations of central bank law. The course covers the legal issues that are necessary to support sound and effective central banks. It addresses the legal underpinnings of the mandate, decision-making structures, autonomy, accountability, transparency, and operations of central banks. This course combines theoretical components with practical exercises on how to analyze and design central bank legal frameworks.","This IMFx course is designed to strengthen participants' understanding of the foundational legal aspects of central bank laws. The course combines conceptual introductions with practical cross-country legislative examples. The course will enhance participants’ capabilities to look critically at the central bank law of their own country and, where appropriate, formulate avenues to improve it.Presented by the IMF Legal Department’s central bank team, which provides advice to member countries on their central bank laws, the course provides a practitioner's view to central bank laws. The nine modules of the course cover the (1) legal establishment, nature, and ownership of central banks, (2) central bank mandates, (3) decision-making structures of central banks, (4) autonomy, accountability, and transparency of central banks, (5) monetary and exchange rate policy, (6) lender of last resort and other crisis management functions, (7) macroprudential oversight, (8) the banker to the state, (9) currency and payment systems.Participants explore these topics through video lectures, relevant readings, and testimonies from senior policy-makers. During the lectures, presenters will use examples from countries at different stages of economic development.Throughout the course, you will have the opportunity to engage with fellow participants from around the world, and with course staff through the discussion forum. Assessments in each course module will test your understanding of key concepts, allowing you to track the progress of your understanding. A post course test brings together the different facets of the course to give a holistic approach as to how the foundational legal aspects of a central should be shaped.This course is offered by the IMF, with financial support from the Government of Japan.• Identify the key legal issues that generally need to be covered in central bank legislation, and how international good practices address those issues.
• Interpret and advise on the application of key legal issues and international good practices in domestic legislation.
• Analyze and assess domestic central bank legislation against international good practices.
• Develop and formulate recommendations on how to modify central bank legislation through law reform to align it to international good practices.
• Explain to stakeholders proposed amendments to central bank legislation and defend those proposals in discussions and consultation procedures with stakeholders. Law"
C Programming: Modular Programming and Memory Management,Dartmouth_IMTx-Dartmouth College-IMT,Beginner,https://www.edx.org/course/c-programming-modular-programming-and-memory-manag,Enhance your coding skills along your path to becoming a proficient C programmer with the essential concepts of functions and pointers. Receive instant feedback on your code right within your browser.,"In this course, part of the C Programming with Linux Professional Certificate program, you will be introduced to the concept of modular programming: that is, dividing up more complex tasks into manageable pieces. Within moments you will be coding hands-on in a new browser tool developed for this course, receiving instant feedback on your code. No need to install anything! You will learn how to write your own functions (just like functions in mathematics for example). You will also gain insight into a computer's architecture and learn how its memory is organized. Given the vast amount of memory computers have these days, how does your program remember where a certain variable is stored? This brings about the important topic of how memory is efficiently addressed inside a computer, and with it, the topic of pointers. Pointers are often considered the most difficult part and main struggle for C program developers. We will introduce you to this central topic with our novel and innovative visualization tools and show you precisely how pointers work. No need to struggle! The programming concepts you will gain in this course are foundational to any programming language. By the end of this short course, you willhave reached the third milestonein the C Programming with Linux Professional Certificate program, unlocking the door to a career in computer engineering. This course has received financial support from the Patrick & Lina Drahi Foundation. Computer Science"
Entrepreneurship 102: What can you do for your customer?,Massachusetts Institute of Technology,Beginner,https://www.edx.org/course/entrepreneurship-102-what-can-you-do-for-your-cust,Learn and apply the process of entrepreneurial product design.,"Successful entrepreneurship ultimately comes down to three questions:The course series Entrepreneurship 101, 102, and 103 addresses these questions one by one.Entrepreneurship 102 is for you if you are creating a product or service, especially in an entrepreneurial setting. You face resource scarcity, but strive to iterate quickly through reliable insights. We’ll teach you how to do that.Our approach to product design will be holistic. We’ll teach you to translate user needs into product priorities and product priorities into experience design. We’ll base your learning process on case studies of MIT entrepreneurs.This course is particularly useful for:Entrepreneurship 102 is equally valuable for educators, who teach and coach entrepreneurs. In addition, the course is relevant for policymakers who work to energize the innovation ecosystems in their regions.If you can, take Entrepreneurship 102 as a team. The course will give you a common framework to make decisions, laying the foundation for your long-term success. Give you best to this course. In return, you will gain the confidence that you too can design great products. And that’s priceless.This course is a pre-requisite to an attend an MIT Bootcamp.The course is taught by Bill Aulet, Managing Director of the Martin Trust Center for MIT Entrepreneurship and Erdin Beshimov, Senior Director of MIT BootCampus.Learning goals: Business & Management"
Introduction to Marketing,The University of Edinburgh,Beginner,https://www.edx.org/course/introduction-to-marketing-5,An introduction to the role of marketing in a competitive marketplace.,"Do you want to learn how successful businesses use marketing to increase revenue, share and profitability?In an increasingly competitive market, marketing skills are vital to help organizations stand out, win customers, build loyalty and sustain long term impact and returns.This Introduction to Marketing course will help you understand the role of marketing and introduce you to the latest tools to help create value and competitive advantage. We explore how new businesses can achieve impact through marketing, providing you with unique insight to apply within your own business.Learn how to build a compelling value proposition, establish presence in a market, and compete effectively against rivals. Learn how marketers use segmentation, targeting, positioning, branding, design, pricing, communication channels to win against competitors, attract customers and build brand loyalty.Using real businesses as case studies, you will learn how companies such as Skyscanner, Vegware and Social Bite utilise marketing to build their brand, reach new customers and futureproof their businesses.Through this course, you will develop a set of practical skills to set an enterprise apart.No previous knowledge of marketing is needed. All you need is an open-mind and the ability to think creatively. This is the first of two courses that form the Professional Certificate in Digital Marketing Fundamentals. Upon completion of this course, you will be well positioned to learn about digital marketing. Business & Management"
Origins of the Human Mind,Kyoto University,Beginner,https://www.edx.org/course/origins-of-the-human-mind,"Learn about the evolutionary origins of the human mind by comparing our cognitive features to chimpanzees, our closest living relative.","The human mind is an evolutionary product, just like the body. However, the mind does not remain in fossil form like bones and teeth. Therefore, to better study and understand our minds their evolutionary origins we need to compare our cognitive features with those of different living primates. This approach is called ""Comparative Cognitive Science (CCS)"". CCS is a unique combination of Psychology and Primatology. CCS tries to give answers to the fundamental questions such as ""what is uniquely human?"", ""where did it come from?”, ""how did we get here?”, and ""where do we go?"" This intensive course focuses on chimpanzees, the closest relatives of humans.This course covers selected areas of current research on CCS. We focus on behavioral studies of nonhuman animals, especially chimpanzees. Since the chimpanzee and the human share the latest common ancestor, only about five million years ago, this great ape provides the key to understanding our nature. Science"
Clinical Reasoning Process,Université de Montréal,Beginner,https://www.edx.org/course/clinical-reasoning-process,"The course introduces the clinical reasoning process as it is used by clinicians from different health disciplines: medicine, dentistry, nursing, veterinary medicine, and pharmacy. The course offers a step-by-step description and explanation of the process, illustrated with clinical examples. This course is of interest to both students and health professionals as they hone their knowledge and clinical reasoning skills.","The course introduces the clinical reasoning process as it is used by clinicians from different health disciplines: medicine, dentistry, nursing, veterinary medicine, and pharmacy. The course offers a step-by-step description and explanation of the process, illustrated with clinical examples. This course is of interest to both students and health professionals as they hone their knowledge and clinical reasoning skills.The clinical reasoning process was analyzed and modeled by six clinicians from the Faculty of Medicine at Université de Montréal together with a cognitive specialist. The result of this research was a model that was first published in the journal Medical Education in April 2012(1). The research itself forms the cornerstone of the course.(1) Source : Charlin, B., Lubarsky, S., Millette, B., Crevier, F., Audétat, M.-C., Charbonneau, A., Caire Fon, N., Hoff, L. and Bourdy, C. (2012), Clinical reasoning processes: unravelling complexity through graphical representation. Medical Education, 46: 454–463. doi: 10.1111/j.1365-2923.2012.04242.xThis online course is designed to simplify a complex cognitive process in order to help learners understand and apply it and help educators support them.Our course consists of seven modulesGood luck in the courseThe MOOC-Clinical Reasoning Process teaching team Medicine"
Media Law,New York University,Beginner,https://www.edx.org/course/media-law,Build your expertise in legal frameworks and ethical issues surrounding design and digital media,"Knowledge of media law is crucial for creative and design professionals. This course explores a comprehensive range of topics and models, such as privacy and art, the Digital Millennium Copyright Act, Open Source public license, Creative Commons, Digital Rights Management, as well as working definitions of Fair Use and the practical limits of sampling/mixing in different idioms and economic sectors. Art & Culture"
Pivoting to Online Teaching: Research and Practitioner Perspectives,University of Texas at Arlington,Beginner,https://www.edx.org/course/pivoting-to-online-teaching-research-and-practitioner-perspectives,"This course explores research-informed, effective practices for online teaching and learning, providing guidance on how to pivot existing courses online while enhancing student success and engagement","In this course, participants will explore research-informed, effective practices for online teaching and learning. By enrolling, you will learn practical ways to quickly move into teaching online, guided by top scholars and practitioners in the field. Each module, you will watch videos and read articles by online learning experts and participate in activities and discussions covering critical topics that will make the online environment a rich learning experience for your students. The instructors will synthesize relevant resources to help those who are new to online learning and those who have experience, but want to expand their skills and provide support for others. You will have the opportunity to ask questions, share practices that have worked well in online learning environments, and receive feedback on your teaching and learning plans. Given recent global developments related to COVID-19, many have rapidly shifted to move teaching online. For those who have not taught online before, this can be a challenging experience. Fortunately, there is a rich research base, dating back over sixty years, that provides insight and guidance on the key factors that enable successful learning online. This course will support the pivot to online learning by exploring the scientific literature as well as practical actions that enable online success and equitable outcomes for all learners.While the target audience of the course is postsecondary institutions, this course will be of use to anyone moving into online teaching and learning.In this course, you will learn to: Education & Teacher Training"
Circular Economy: An Interdisciplinary Approach,Wageningen University & Research,Advanced,https://www.edx.org/course/circular-economy-an-interdisciplinary-approach,"Join the transition towards a circular economy considering economic, supply chain, social, technical, managerial and environmental aspects.","Do you want to contribute to a more sustainable society? Tackle the challenges in the transition towards a circular economy? In this course you will analyse what it takes to create a circular economy including sustainable supply chains.The transition towards a circular economy is one of the biggest challenges in order to create a more sustainable society. This transition requires circular thinking and an interdisciplinary approach, combining socio-technical, managerial, and environmental considerations.Right now we design products from cradle to grave: from production to consumption to waste, which is a linear model. But we should design products from cradle to cradle: in a closed loop whereby they don't become waste, but valuable resources again. And when we start thinking in circles, we might as well try to reinvent not just supply chains, but entire systems. Because that's what we have been doing with sustainability: we have been departing from the status quo, while cradle to cradle and circular pushes us to think outside the box.Cradle to Cradle celebrates abundance; it recognizes that people, just like ants and trees, are abundant and have a large impact on their environment. The challenge is to make this impact a positive one and we invite you to join this challenge!In this course, we therefore take a systems approach to the circular economy, considering different stakeholder perspectives, their incentive structures, and their impact on circular alternatives.The circular solutions will be assessed by using applied, as well as emerging, technologies. You will learn how to use life cycle assessment and agent-based modelling to assess the socio-technical and manageable challenges and environmental benefits of alternative solutions.Join the MicroMasters programmeThis MOOC is part of two MicroMasters programmes, Economics and Policies for a Circular Bio-Economy and Business and Operations for a Circular Bio-Economy.Both programmes prepare you for the transition from fossil to renewable, biobased resources and consist of 3 courses and a final project; the capstone: Business & Management"
Calculus 1B: Integration,Massachusetts Institute of Technology,Intermediate,https://www.edx.org/course/calculus-1b-integration,Discover the integral—what it is and how to compute it. See how to use calculus to model real world phenomena. Part 2 of 3.,"How long should the handle of your spoon be so that your fingers do not burn while mixing chocolate fondue? Can you find a shape that has finite volume, but infinite surface area? How does the weight of the rider change the trajectory of a zip line ride? These and many other questions can be answered by harnessing the power of the integral.But what is an integral? You will learn to interpret it geometrically as an area under a graph, and discover its connection to the derivative. You will encounter functions that you cannot integrate without a computer and develop a big bag of tricks to attack the functions that you can integrate by hand. The integral is vital in engineering design, scientific analysis, probability and statistics. You will use integrals to find centers of mass, the stress on a beam during construction, the power exerted by a motor, and the distance traveled by a rocket. The three modules in this series are being offered as an XSeries on edX. Please visit Single Variable Calculus XSeries Program Page to learn more and to enroll in the modules.This course, in combination with Part 1, covers the AP* Calculus AB curriculum.This course, in combination with Parts 1 and 3, covers the AP* Calculus BC curriculum.[Learn more about our High School and AP* Exam Preparation Courses ](http://www.edx.org/high-school-initiative)This course was funded in part by the Wertheimer Fund.*Advanced Placement and AP are registered trademarks of the College Board, which was not involved in the production of, and does not endorse, these offerings. Math"
Algorithmic Design and Techniques,"The University of California, San Diego",Intermediate,https://www.edx.org/course/algorithmic-design-and-techniques,This course is part of a MicroMasters® Program,"In this course, part of the Algorithms and Data Structures MicroMasters program, you will learn basic algorithmic techniques and ideas for computational problems, which arise in practical applications such as sorting and searching, divide and conquer, greedy algorithms and dynamic programming.This course will cover theories, including:You will practice solving computational problems, designing new algorithms, and implementing solutions efficiently (so that they run in less than a second). Computer Science"
Drinking Water Treatment,Delft University of Technology,Intermediate,https://www.edx.org/course/drinking-water-treatment-2,"Learn about urban water services, focusing on conventional technologies for drinking water treatment.","This course focuses on conventional technologies for drinking water treatment. Unit processes, involved in the treatment chain, are discussed as well as the physical, chemical and biological processes involved. The emphasis is on the effect of treatment on water quality and the dimensions of the unit processes in the treatment chain. After the course one should be able to recognise the process units, describe their function, and make basic calculations for a preliminary design of a drinking water treatment plant.The course consists of 4 modules:This course in combination with the courses ""Introduction to Water and Climate"" and ""Introduction to the Treatment of Urban Sewage"" forms the Water XSeries, by DelftX. Engineering"
Music Technology Foundations,University of Adelaide,Beginner,https://www.edx.org/course/music-technology-foundations,Learn how to use creative technologies to make your own music and get a step closer to a career in music.,"Want to produce and record your own music? This course will help you do that by showing you how to apply new technologies to your own creative practice, using freeware and browser based apps. Music Technology Foundations draws on Adelaide’s world-class pioneering expertise in making electronic music, to provide a great foundation to a career in music and to enable any learner to use technology in creative ways. In this course, you’ll learn about the core principles of music technology, including sound, audio, MIDI, effects and sequencing. Computer Science"
The Entrepreneurial Mindset,Babson College,Beginner,https://www.edx.org/course/the-entrepreneurial-mindset,Uncover the secrets of thinking like an entrepreneur to create value for stakeholders and society across a variety of business settings.,"What does it really mean to think entrepreneurially?The entrepreneurial process isn’t only for start-ups, it’s a comprehensive mindset that will teach you to identify, assess, shape, and act on opportunities in a variety of contexts, settings and organizations. In this entrepreneurship course, you will learn to implement the method of Entrepreneurial Thought & Action® (ET&A™) – which will give you a roadmap to create and add value for stakeholders and society.ET&A™ is a tactical, results-oriented process that may be applied to new venture creation as well as to promote innovation within existing organizations – large, small or family owned – and across profit, not for profit and social ventures.The ability to ‘think like an entrepreneur’ and ‘act like an innovator’ are critical skills for success across industries and are proven tools to help distinguish you in the workplace and to accelerate your career. Business & Management"
Risk Management and Credit Principles,NYIF,Advanced,https://www.edx.org/course/risk-management-and-credit-principles,"Get introduced to risk management, credit principles, and business risk as they relate to a borrower.","This course is Part 1 of the Credit and Credit Risk Analysis Professional Certificate program from the New York Institute of Finance. The course begins with an introduction to risk management and credit principles. You will review and understand credit risk, credit exposure, and the goals of credit analysis. You will learn about the purpose of debt, debt forms, and the difference between financing from debt vs. equity. In this course, you will gain a deeper understanding of the principles of credit risks, including exposure, default, default probability, expected loss, and loss given default. Important concepts will be covered that will help you to effectively assess business and industry risks, company business models, market competition, and the impact of risks on company performance. You'll examine how companies measure and mitigate these risks. Lastly, you'll review the roles of credit-rating agencies and the usefulness of market-related metrics, such as share prices and credit spreads. At the end of the course, you'll complete a hands-on risk analysis assessment. Economics & Finance"
