Year,State,Income Level,Percent of Total,Number of Households
2012,Mississippi,"$25,000 to $29,999",0.062,67409
2012,Mississippi,"$30,000 to $34,999",0.058,63097
2012,Mississippi,"$35,000 to $39,999",0.0534,58110
2012,Mississippi,"$40,000 to $44,999",0.0484,52637
2012,Mississippi,"$45,000 to $49,999",0.0421,45763
2012,Mississippi,"$50,000 to $59,999",0.0782,85032
2012,Mississippi,"$60,000 to $74,999",0.0912,99193
2012,Mississippi,"$75,000 to $99,999",0.1002,109035
2012,Mississippi,"$100,000 to $124,999",0.0552,60078
2012,Mississippi,"$125,000 to $149,999",0.0289,31404
2012,Mississippi,"$150,000 to $199,999",0.0239,25991
2012,Mississippi,"$200,000 or more",0.0206,22372
2012,Mississippi,"Less than $10,000",0.1137,123655
2012,Missouri,"$10,000 to $14,999",0.0598,141133
2012,Missouri,"$15,000 to $19,999",0.0588,138583
2012,Missouri,"$20,000 to $24,999",0.0601,141623
2012,Missouri,"$25,000 to $29,999",0.0588,138666
2012,Missouri,"$30,000 to $34,999",0.0574,135307
2012,Missouri,"$35,000 to $39,999",0.0524,123682
2012,Missouri,"$40,000 to $44,999",0.0538,126900
2012,Missouri,"$45,000 to $49,999",0.0443,104588
2012,Missouri,"$50,000 to $59,999",0.0864,203802
2012,Missouri,"$60,000 to $74,999",0.1024,241550
2012,Missouri,"$75,000 to $99,999",0.1182,278638
2012,Missouri,"$100,000 to $124,999",0.0698,164704
2012,Missouri,"$125,000 to $149,999",0.0385,90689
2012,Missouri,"$150,000 to $199,999",0.0338,79726
2012,Missouri,"$200,000 or more",0.0279,65719
2012,Missouri,"Less than $10,000",0.0776,182960
2012,Montana,"$10,000 to $14,999",0.0627,25443
2012,Montana,"$15,000 to $19,999",0.0651,26397
2012,Montana,"$20,000 to $24,999",0.0665,26983
2012,Montana,"$25,000 to $29,999",0.0628,25476
2012,Montana,"$30,000 to $34,999",0.0614,24893
2012,Montana,"$35,000 to $39,999",0.0542,21990
2012,Montana,"$40,000 to $44,999",0.0524,21258
2012,Montana,"$45,000 to $49,999",0.0462,18740
2012,Montana,"$50,000 to $59,999",0.0867,35155
2012,Montana,"$60,000 to $74,999",0.1055,42776
2012,Montana,"$75,000 to $99,999",0.1186,48102
2012,Montana,"$100,000 to $124,999",0.067,27175
2012,Montana,"$125,000 to $149,999",0.0326,13211
2012,Montana,"$150,000 to $199,999",0.0257,10421
2012,Montana,"$200,000 or more",0.0219,8893
2012,Montana,"Less than $10,000",0.0705,28595
2012,Nebraska,"$10,000 to $14,999",0.0549,39604
2012,Nebraska,"$15,000 to $19,999",0.0535,38609
2012,Nebraska,"$20,000 to $24,999",0.0573,41303
2012,Nebraska,"$25,000 to $29,999",0.0556,40076
2012,Nebraska,"$30,000 to $34,999",0.0571,41180
2012,Nebraska,"$35,000 to $39,999",0.0514,37026
2012,Nebraska,"$40,000 to $44,999",0.0521,37597
2012,Nebraska,"$45,000 to $49,999",0.0448,32308
2012,Nebraska,"$50,000 to $59,999",0.0905,65284
2012,Nebraska,"$60,000 to $74,999",0.1114,80312
2012,Nebraska,"$75,000 to $99,999",0.1328,95772
2012,Nebraska,"$100,000 to $124,999",0.0763,55010
2012,Nebraska,"$125,000 to $149,999",0.0399,28764
2012,Nebraska,"$150,000 to $199,999",0.0333,23989
2012,Nebraska,"$200,000 or more",0.0289,20827
2012,Nebraska,"Less than $10,000",0.0601,43365
2012,Nevada,"$10,000 to $14,999",0.044,43705
2012,Nevada,"$15,000 to $19,999",0.0489,48510
2012,Nevada,"$20,000 to $24,999",0.0515,51156
2012,Nevada,"$25,000 to $29,999",0.0534,53066
2012,Nevada,"$30,000 to $34,999",0.0557,55285
2012,Nevada,"$35,000 to $39,999",0.0479,47607
2012,Nevada,"$40,000 to $44,999",0.053,52623
2012,Nevada,"$45,000 to $49,999",0.0451,44757
2012,Nevada,"$50,000 to $59,999",0.0871,86500
2012,Nevada,"$60,000 to $74,999",0.1134,112615
2012,Nevada,"$75,000 to $99,999",0.1318,130840
2012,Nevada,"$100,000 to $124,999",0.0803,79720
2012,Nevada,"$125,000 to $149,999",0.0491,48790
2012,Nevada,"$150,000 to $199,999",0.0425,42153
2012,Nevada,"$200,000 or more",0.0342,33956
2012,Nevada,"Less than $10,000",0.0621,61613
2012,New Hampshire,"$10,000 to $14,999",0.0399,20623
2012,New Hampshire,"$15,000 to $19,999",0.0385,19897
2012,New Hampshire,"$20,000 to $24,999",0.0447,23084
2012,New Hampshire,"$25,000 to $29,999",0.0449,23195
2012,New Hampshire,"$30,000 to $34,999",0.0438,22660
2012,New Hampshire,"$35,000 to $39,999",0.0407,21021
2012,New Hampshire,"$40,000 to $44,999",0.0461,23822
2012,New Hampshire,"$45,000 to $49,999",0.0414,21373
2012,New Hampshire,"$50,000 to $59,999",0.0793,40975
2012,New Hampshire,"$60,000 to $74,999",0.1058,54679
2012,New Hampshire,"$75,000 to $99,999",0.1452,75050
2012,New Hampshire,"$100,000 to $124,999",0.1033,53372
2012,New Hampshire,"$125,000 to $149,999",0.0648,33517
2012,New Hampshire,"$150,000 to $199,999",0.0656,33928
2012,New Hampshire,"$200,000 or more",0.0519,26844
2012,New Hampshire,"Less than $10,000",0.0441,22805
2012,New Jersey,"$10,000 to $14,999",0.0382,121629
2012,New Jersey,"$15,000 to $19,999",0.0401,127897
2012,New Jersey,"$20,000 to $24,999",0.039,124285
2012,New Jersey,"$25,000 to $29,999",0.0403,128350
2012,New Jersey,"$30,000 to $34,999",0.0392,124881
2012,New Jersey,"$35,000 to $39,999",0.0361,115131
2012,New Jersey,"$40,000 to $44,999",0.0369,117590
2012,New Jersey,"$45,000 to $49,999",0.034,108229
2012,New Jersey,"$50,000 to $59,999",0.07,223223
2012,New Jersey,"$60,000 to $74,999",0.0934,297722
2012,New Jersey,"$75,000 to $99,999",0.1306,416217
2012,New Jersey,"$100,000 to $124,999",0.1028,327655
2012,New Jersey,"$125,000 to $149,999",0.0717,228585
2012,New Jersey,"$150,000 to $199,999",0.084,267652
2012,New Jersey,"$200,000 or more",0.0909,289678
2012,New Jersey,"Less than $10,000",0.0528,168154
2012,New Mexico,"$10,000 to $14,999",0.0641,48969
2012,New Mexico,"$15,000 to $19,999",0.0635,48486
2012,New Mexico,"$20,000 to $24,999",0.0632,48311
2012,New Mexico,"$25,000 to $29,999",0.0592,45217
2012,New Mexico,"$30,000 to $34,999",0.0573,43803
2012,New Mexico,"$35,000 to $39,999",0.0509,38914
2012,New Mexico,"$40,000 to $44,999",0.0507,38709
2012,New Mexico,"$45,000 to $49,999",0.0441,33685
2012,New Mexico,"$50,000 to $59,999",0.0791,60456
2012,New Mexico,"$60,000 to $74,999",0.0954,72900
2012,New Mexico,"$75,000 to $99,999",0.1114,85103
2012,New Mexico,"$100,000 to $124,999",0.0661,50521
2012,New Mexico,"$125,000 to $149,999",0.0392,29958
2012,New Mexico,"$150,000 to $199,999",0.0359,27409
2012,New Mexico,"$200,000 or more",0.0275,21034
2012,New Mexico,"Less than $10,000",0.0921,70369
2012,New York,"$10,000 to $14,999",0.0522,377358
2012,New York,"$15,000 to $19,999",0.0502,363035
2012,New York,"$20,000 to $24,999",0.0489,353272
2012,New York,"$25,000 to $29,999",0.0462,334426
2012,New York,"$30,000 to $34,999",0.0451,326362
2012,New York,"$35,000 to $39,999",0.0409,295981
2012,New York,"$40,000 to $44,999",0.0428,309771
2012,New York,"$45,000 to $49,999",0.0367,265351
2012,New York,"$50,000 to $59,999",0.0741,535829
2012,New York,"$60,000 to $74,999",0.095,687251
2012,New York,"$75,000 to $99,999",0.1203,869969
2012,New York,"$100,000 to $124,999",0.0856,619184
2012,New York,"$125,000 to $149,999",0.0552,399104
2012,New York,"$150,000 to $199,999",0.0603,436257
2012,New York,"$200,000 or more",0.0679,490662
2012,New York,"Less than $10,000",0.0784,567084
2012,North Carolina,"$10,000 to $14,999",0.0634,234269
2012,North Carolina,"$15,000 to $19,999",0.0595,219744
2012,North Carolina,"$20,000 to $24,999",0.0598,220695
2012,North Carolina,"$25,000 to $29,999",0.059,218015
2012,North Carolina,"$30,000 to $34,999",0.0592,218634
2012,North Carolina,"$35,000 to $39,999",0.0524,193488
2012,North Carolina,"$40,000 to $44,999",0.0508,187613
2012,North Carolina,"$45,000 to $49,999",0.0453,167375
2012,North Carolina,"$50,000 to $59,999",0.0834,307874
2012,North Carolina,"$60,000 to $74,999",0.0996,367955
2012,North Carolina,"$75,000 to $99,999",0.1142,421615
2012,North Carolina,"$100,000 to $124,999",0.0673,248469
2012,North Carolina,"$125,000 to $149,999",0.0377,139061
2012,North Carolina,"$150,000 to $199,999",0.0344,126987
2012,North Carolina,"$200,000 or more",0.0315,116479
2012,North Carolina,"Less than $10,000",0.0826,304948
2012,North Dakota,"$10,000 to $14,999",0.055,15556
2012,North Dakota,"$15,000 to $19,999",0.049,13859
2012,North Dakota,"$20,000 to $24,999",0.0542,15315
2012,North Dakota,"$25,000 to $29,999",0.0543,15340
2012,North Dakota,"$30,000 to $34,999",0.0577,16299
2012,North Dakota,"$35,000 to $39,999",0.0525,14845
2012,North Dakota,"$40,000 to $44,999",0.0491,13887
2012,North Dakota,"$45,000 to $49,999",0.0436,12320
2012,North Dakota,"$50,000 to $59,999",0.0827,23389
2012,North Dakota,"$60,000 to $74,999",0.1104,31197
2012,North Dakota,"$75,000 to $99,999",0.1342,37926
2012,North Dakota,"$100,000 to $124,999",0.081,22890
2012,North Dakota,"$125,000 to $149,999",0.0416,11762
2012,North Dakota,"$150,000 to $199,999",0.0315,8895
2012,North Dakota,"$200,000 or more",0.0325,9174
2012,North Dakota,"Less than $10,000",0.0708,20013
2012,Ohio,"$10,000 to $14,999",0.0585,266295
2012,Ohio,"$15,000 to $19,999",0.0583,265453
2012,Ohio,"$20,000 to $24,999",0.0583,265540
2012,Ohio,"$25,000 to $29,999",0.0557,253780
2012,Ohio,"$30,000 to $34,999",0.0564,256765
2012,Ohio,"$35,000 to $39,999",0.052,237063
2012,Ohio,"$40,000 to $44,999",0.051,232173
2012,Ohio,"$45,000 to $49,999",0.0441,200748
2012,Ohio,"$50,000 to $59,999",0.0841,383361
2012,Ohio,"$60,000 to $74,999",0.1047,477026
2012,Ohio,"$75,000 to $99,999",0.1202,547470
2012,Ohio,"$100,000 to $124,999",0.0717,326796
2012,Ohio,"$125,000 to $149,999",0.0395,179899
2012,Ohio,"$150,000 to $199,999",0.0354,161390
2012,Ohio,"$200,000 or more",0.029,132194
2012,Ohio,"Less than $10,000",0.0812,369756
2012,Oklahoma,"$10,000 to $14,999",0.0647,93177
2012,Oklahoma,"$15,000 to $19,999",0.0627,90230
2012,Oklahoma,"$20,000 to $24,999",0.0623,89597
2012,Oklahoma,"$25,000 to $29,999",0.0626,90047
2012,Oklahoma,"$30,000 to $34,999",0.0588,84650
2012,Oklahoma,"$35,000 to $39,999",0.0546,78562
2012,Oklahoma,"$40,000 to $44,999",0.0529,76193
2012,Oklahoma,"$45,000 to $49,999",0.0439,63150
2012,Oklahoma,"$50,000 to $59,999",0.0851,122463
2012,Oklahoma,"$60,000 to $74,999",0.102,146785
2012,Oklahoma,"$75,000 to $99,999",0.1136,163449
2012,Oklahoma,"$100,000 to $124,999",0.0663,95358
2012,Oklahoma,"$125,000 to $149,999",0.0338,48603
2012,Oklahoma,"$150,000 to $199,999",0.0285,40964
2012,Oklahoma,"$200,000 or more",0.0259,37261
2012,Oklahoma,"Less than $10,000",0.0825,118803
2012,Oregon,"$10,000 to $14,999",0.0545,82472
2012,Oregon,"$15,000 to $19,999",0.0564,85253
2012,Oregon,"$20,000 to $24,999",0.0568,85866
2012,Oregon,"$25,000 to $29,999",0.0559,84502
2012,Oregon,"$30,000 to $34,999",0.0542,82059
2012,Oregon,"$35,000 to $39,999",0.0528,79892
2012,Oregon,"$40,000 to $44,999",0.0509,77022
2012,Oregon,"$45,000 to $49,999",0.044,66537
2012,Oregon,"$50,000 to $59,999",0.0844,127679
2012,Oregon,"$60,000 to $74,999",0.1058,160000
2012,Oregon,"$75,000 to $99,999",0.1229,185980
2012,Oregon,"$100,000 to $124,999",0.0757,114556
2012,Oregon,"$125,000 to $149,999",0.0422,63894
2012,Oregon,"$150,000 to $199,999",0.0373,56448
2012,Oregon,"$200,000 or more",0.0319,48304
2012,Oregon,"Less than $10,000",0.0742,112254
2012,Pennsylvania,"$10,000 to $14,999",0.0556,275723
2012,Pennsylvania,"$15,000 to $19,999",0.0553,274406
2012,Pennsylvania,"$20,000 to $24,999",0.055,272894
2012,Pennsylvania,"$25,000 to $29,999",0.0534,264913
2012,Pennsylvania,"$30,000 to $34,999",0.0522,258844
2012,Pennsylvania,"$35,000 to $39,999",0.0477,236623
2012,Pennsylvania,"$40,000 to $44,999",0.0483,239414
2012,Pennsylvania,"$45,000 to $49,999",0.0425,210907
2012,Pennsylvania,"$50,000 to $59,999",0.0835,414109
2012,Pennsylvania,"$60,000 to $74,999",0.1037,514147
2012,Pennsylvania,"$75,000 to $99,999",0.1249,619468
2012,Pennsylvania,"$100,000 to $124,999",0.0791,392361
2012,Pennsylvania,"$125,000 to $149,999",0.0451,223721
2012,Pennsylvania,"$150,000 to $199,999",0.0435,215616
2012,Pennsylvania,"$200,000 or more",0.0401,199042
2012,Pennsylvania,"Less than $10,000",0.0701,347445
2012,Puerto Rico,"$10,000 to $14,999",0.1199,146039
2012,Puerto Rico,"$15,000 to $19,999",0.1028,125165
2012,Puerto Rico,"$20,000 to $24,999",0.0792,96437
2012,Puerto Rico,"$25,000 to $29,999",0.0659,80228
2012,Puerto Rico,"$30,000 to $34,999",0.0576,70135
2012,Puerto Rico,"$35,000 to $39,999",0.047,57196
2012,Puerto Rico,"$40,000 to $44,999",0.04,48719
2012,Puerto Rico,"$45,000 to $49,999",0.0321,39056
2012,Puerto Rico,"$50,000 to $59,999",0.0492,59878
2012,Puerto Rico,"$60,000 to $74,999",0.0461,56188
2012,Puerto Rico,"$75,000 to $99,999",0.0357,43493
2012,Puerto Rico,"$100,000 to $124,999",0.0166,20197
2012,Puerto Rico,"$125,000 to $149,999",0.0079,9618
2012,Puerto Rico,"$150,000 to $199,999",0.0071,8630
2012,Puerto Rico,"$200,000 or more",0.0067,8108
2012,Puerto Rico,"Less than $10,000",0.2862,348497
2012,Rhode Island,"$10,000 to $14,999",0.0575,23631
2012,Rhode Island,"$15,000 to $19,999",0.0514,21121
2012,Rhode Island,"$20,000 to $24,999",0.0483,19836
2012,Rhode Island,"$25,000 to $29,999",0.0458,18790
2012,Rhode Island,"$30,000 to $34,999",0.0442,18138
2012,Rhode Island,"$35,000 to $39,999",0.0431,17711
2012,Rhode Island,"$40,000 to $44,999",0.0452,18546
2012,Rhode Island,"$45,000 to $49,999",0.0373,15336
2012,Rhode Island,"$50,000 to $59,999",0.0765,31406
2012,Rhode Island,"$60,000 to $74,999",0.0975,40034
2012,Rhode Island,"$75,000 to $99,999",0.1299,53357
2012,Rhode Island,"$100,000 to $124,999",0.0908,37270
2012,Rhode Island,"$125,000 to $149,999",0.0558,22908
2012,Rhode Island,"$150,000 to $199,999",0.0538,22087
2012,Rhode Island,"$200,000 or more",0.0453,18602
2012,Rhode Island,"Less than $10,000",0.0776,31866
2012,South Carolina,"$10,000 to $14,999",0.0658,116431
2012,South Carolina,"$15,000 to $19,999",0.0635,112324
2012,South Carolina,"$20,000 to $24,999",0.0626,110642
2012,South Carolina,"$25,000 to $29,999",0.0596,105322
2012,South Carolina,"$30,000 to $34,999",0.0571,101010
2012,South Carolina,"$35,000 to $39,999",0.053,93662
2012,South Carolina,"$40,000 to $44,999",0.0511,90285
2012,South Carolina,"$45,000 to $49,999",0.0442,78226
2012,South Carolina,"$50,000 to $59,999",0.0842,148836
2012,South Carolina,"$60,000 to $74,999",0.0975,172349
2012,South Carolina,"$75,000 to $99,999",0.1113,196742
2012,South Carolina,"$100,000 to $124,999",0.0674,119093
2012,South Carolina,"$125,000 to $149,999",0.0352,62249
2012,South Carolina,"$150,000 to $199,999",0.0309,54660
2012,South Carolina,"$200,000 or more",0.0256,45282
2012,South Carolina,"Less than $10,000",0.0911,161142
2012,South Dakota,"$10,000 to $14,999",0.0585,18753
2012,South Dakota,"$15,000 to $19,999",0.0515,16516
2012,South Dakota,"$20,000 to $24,999",0.0597,19118
2012,South Dakota,"$25,000 to $29,999",0.0563,18051
2012,South Dakota,"$30,000 to $34,999",0.0609,19528
2012,South Dakota,"$35,000 to $39,999",0.0559,17901
2012,South Dakota,"$40,000 to $44,999",0.0507,16251
2012,South Dakota,"$45,000 to $49,999",0.0459,14699
2012,South Dakota,"$50,000 to $59,999",0.0904,28984
2012,South Dakota,"$60,000 to $74,999",0.1133,36307
2012,South Dakota,"$75,000 to $99,999",0.1336,42810
2012,South Dakota,"$100,000 to $124,999",0.0686,21992
2012,South Dakota,"$125,000 to $149,999",0.0327,10478
2012,South Dakota,"$150,000 to $199,999",0.0269,8633
2012,South Dakota,"$200,000 or more",0.0263,8425
2012,South Dakota,"Less than $10,000",0.0687,22021
2012,Tennessee,"$10,000 to $14,999",0.0672,165842
2012,Tennessee,"$15,000 to $19,999",0.0647,159731
2012,Tennessee,"$20,000 to $24,999",0.0621,153430
2012,Tennessee,"$25,000 to $29,999",0.0608,150107
2012,Tennessee,"$30,000 to $34,999",0.0601,148394
2012,Tennessee,"$35,000 to $39,999",0.0529,130705
2012,Tennessee,"$40,000 to $44,999",0.0517,127753
2012,Tennessee,"$45,000 to $49,999",0.0454,112115
2012,Tennessee,"$50,000 to $59,999",0.0835,206184
2012,Tennessee,"$60,000 to $74,999",0.0983,242577
2012,Tennessee,"$75,000 to $99,999",0.1103,272411
2012,Tennessee,"$100,000 to $124,999",0.0617,152365
2012,Tennessee,"$125,000 to $149,999",0.0335,82629
2012,Tennessee,"$150,000 to $199,999",0.0298,73667
2012,Tennessee,"$200,000 or more",0.029,71536
2012,Tennessee,"Less than $10,000",0.0889,219395
2012,Texas,"$10,000 to $14,999",0.0544,477619
2012,Texas,"$15,000 to $19,999",0.0545,478645
2012,Texas,"$20,000 to $24,999",0.0556,488105
2012,Texas,"$25,000 to $29,999",0.0551,483529
2012,Texas,"$30,000 to $34,999",0.0535,470236
2012,Texas,"$35,000 to $39,999",0.0487,427631
2012,Texas,"$40,000 to $44,999",0.0486,426498
2012,Texas,"$45,000 to $49,999",0.0417,365933
2012,Texas,"$50,000 to $59,999",0.0808,709954
2012,Texas,"$60,000 to $74,999",0.0987,866626
2012,Texas,"$75,000 to $99,999",0.1179,1035191
2012,Texas,"$100,000 to $124,999",0.0783,687744
2012,Texas,"$125,000 to $149,999",0.0462,405594
2012,Texas,"$150,000 to $199,999",0.0463,407006
2012,Texas,"$200,000 or more",0.0454,398457
2012,Texas,"Less than $10,000",0.0744,653830
2012,Utah,"$10,000 to $14,999",0.04,35201
2012,Utah,"$15,000 to $19,999",0.0417,36735
2012,Utah,"$20,000 to $24,999",0.0461,40636
2012,Utah,"$25,000 to $29,999",0.047,41359
2012,Utah,"$30,000 to $34,999",0.0485,42694
2012,Utah,"$35,000 to $39,999",0.0484,42674
2012,Utah,"$40,000 to $44,999",0.0506,44532
2012,Utah,"$45,000 to $49,999",0.048,42303
2012,Utah,"$50,000 to $59,999",0.095,83706
2012,Utah,"$60,000 to $74,999",0.1246,109752
2012,Utah,"$75,000 to $99,999",0.1434,126293
2012,Utah,"$100,000 to $124,999",0.0882,77679
2012,Utah,"$125,000 to $149,999",0.0506,44590
2012,Utah,"$150,000 to $199,999",0.0428,37742
2012,Utah,"$200,000 or more",0.0341,30035
2012,Utah,"Less than $10,000",0.051,44942
2012,Vermont,"$10,000 to $14,999",0.0544,13962
2012,Vermont,"$15,000 to $19,999",0.0507,13016
2012,Vermont,"$20,000 to $24,999",0.0523,13438
2012,Vermont,"$25,000 to $29,999",0.0504,12952
2012,Vermont,"$30,000 to $34,999",0.0504,12938
2012,Vermont,"$35,000 to $39,999",0.0512,13143
2012,Vermont,"$40,000 to $44,999",0.0493,12666
2012,Vermont,"$45,000 to $49,999",0.0455,11680
2012,Vermont,"$50,000 to $59,999",0.0857,22014
2012,Vermont,"$60,000 to $74,999",0.1153,29622
2012,Vermont,"$75,000 to $99,999",0.1381,35477
2012,Vermont,"$100,000 to $124,999",0.0803,20631
2012,Vermont,"$125,000 to $149,999",0.0443,11390
2012,Vermont,"$150,000 to $199,999",0.0406,10438
2012,Vermont,"$200,000 or more",0.0322,8266
2012,Vermont,"Less than $10,000",0.0592,15197
2012,Virginia,"$10,000 to $14,999",0.042,126284
2012,Virginia,"$15,000 to $19,999",0.0422,126786
2012,Virginia,"$20,000 to $24,999",0.0428,128776
2012,Virginia,"$25,000 to $29,999",0.0425,127852
2012,Virginia,"$30,000 to $34,999",0.044,132415
2012,Virginia,"$35,000 to $39,999",0.0423,127293
2012,Virginia,"$40,000 to $44,999",0.044,132236
2012,Virginia,"$45,000 to $49,999",0.0394,118297
2012,Virginia,"$50,000 to $59,999",0.0774,232775
2012,Virginia,"$60,000 to $74,999",0.0994,298797
2012,Virginia,"$75,000 to $99,999",0.1304,392128
2012,Virginia,"$100,000 to $124,999",0.0919,276323
2012,Virginia,"$125,000 to $149,999",0.0618,185930
2012,Virginia,"$150,000 to $199,999",0.0695,208976
2012,Virginia,"$200,000 or more",0.0732,220199
2012,Virginia,"Less than $10,000",0.0569,171152
2012,Washington,"$10,000 to $14,999",0.0427,111915
2012,Washington,"$15,000 to $19,999",0.0433,113504
2012,Washington,"$20,000 to $24,999",0.0465,121807
2012,Washington,"$25,000 to $29,999",0.0459,120336
2012,Washington,"$30,000 to $34,999",0.0488,127892
2012,Washington,"$35,000 to $39,999",0.0453,118808
2012,Washington,"$40,000 to $44,999",0.0468,122601
2012,Washington,"$45,000 to $49,999",0.0423,110805
2012,Washington,"$50,000 to $59,999",0.0824,215807
2012,Washington,"$60,000 to $74,999",0.1081,283200
2012,Washington,"$75,000 to $99,999",0.1361,356484
2012,Washington,"$100,000 to $124,999",0.0926,242708
2012,Washington,"$125,000 to $149,999",0.0563,147487
2012,Washington,"$150,000 to $199,999",0.0546,143095
2012,Washington,"$200,000 or more",0.0475,124425
2012,Washington,"Less than $10,000",0.0607,159121
2012,West Virginia,"$10,000 to $14,999",0.0751,55795
2012,West Virginia,"$15,000 to $19,999",0.0754,55969
2012,West Virginia,"$20,000 to $24,999",0.0702,52112
2012,West Virginia,"$25,000 to $29,999",0.0627,46537
2012,West Virginia,"$30,000 to $34,999",0.0593,44071
2012,West Virginia,"$35,000 to $39,999",0.0509,37822
2012,West Virginia,"$40,000 to $44,999",0.0524,38932
2012,West Virginia,"$45,000 to $49,999",0.0435,32306
2012,West Virginia,"$50,000 to $59,999",0.0844,62666
2012,West Virginia,"$60,000 to $74,999",0.0953,70755
2012,West Virginia,"$75,000 to $99,999",0.1045,77614
2012,West Virginia,"$100,000 to $124,999",0.0569,42265
2012,West Virginia,"$125,000 to $149,999",0.0279,20688
2012,West Virginia,"$150,000 to $199,999",0.0212,15778
2012,West Virginia,"$200,000 or more",0.0182,13519
2012,West Virginia,"Less than $10,000",0.1021,75845
2012,Wisconsin,"$10,000 to $14,999",0.053,121262
2012,Wisconsin,"$15,000 to $19,999",0.0526,120351
2012,Wisconsin,"$20,000 to $24,999",0.0555,126906
2012,Wisconsin,"$25,000 to $29,999",0.0542,124014
2012,Wisconsin,"$30,000 to $34,999",0.0535,122308
2012,Wisconsin,"$35,000 to $39,999",0.0508,116106
2012,Wisconsin,"$40,000 to $44,999",0.0513,117248
2012,Wisconsin,"$45,000 to $49,999",0.0457,104495
2012,Wisconsin,"$50,000 to $59,999",0.0886,202673
2012,Wisconsin,"$60,000 to $74,999",0.1119,255823
2012,Wisconsin,"$75,000 to $99,999",0.1362,311322
2012,Wisconsin,"$100,000 to $124,999",0.082,187393
2012,Wisconsin,"$125,000 to $149,999",0.0419,95887
2012,Wisconsin,"$150,000 to $199,999",0.0346,79140
2012,Wisconsin,"$200,000 or more",0.0288,65788
2012,Wisconsin,"Less than $10,000",0.0593,135623
2012,Wyoming,"$10,000 to $14,999",0.0484,10717
2012,Wyoming,"$15,000 to $19,999",0.0479,10608
2012,Wyoming,"$20,000 to $24,999",0.0475,10519
2012,Wyoming,"$25,000 to $29,999",0.0534,11835
2012,Wyoming,"$30,000 to $34,999",0.0504,11157
2012,Wyoming,"$35,000 to $39,999",0.0472,10447
2012,Wyoming,"$40,000 to $44,999",0.0505,11181
2012,Wyoming,"$45,000 to $49,999",0.0441,9767
2012,Wyoming,"$50,000 to $59,999",0.0877,19414
2012,Wyoming,"$60,000 to $74,999",0.1116,24721
2012,Wyoming,"$75,000 to $99,999",0.1443,31949
2012,Wyoming,"$100,000 to $124,999",0.0929,20584
2012,Wyoming,"$125,000 to $149,999",0.0534,11829
2012,Wyoming,"$150,000 to $199,999",0.0414,9172
2012,Wyoming,"$200,000 or more",0.0284,6300
2012,Wyoming,"Less than $10,000",0.0509,11279
2013,Alabama,"$10,000 to $14,999",0.0699,128440
2013,Alabama,"$15,000 to $19,999",0.0669,122983
2013,Alabama,"$20,000 to $24,999",0.0637,117065
2013,Alabama,"$25,000 to $29,999",0.0588,108154
2013,Alabama,"$30,000 to $34,999",0.0557,102407
2013,Alabama,"$35,000 to $39,999",0.0513,94388
2013,Alabama,"$40,000 to $44,999",0.0505,92836
2013,Alabama,"$45,000 to $49,999",0.0431,79231
2013,Alabama,"$50,000 to $59,999",0.0801,147206
2013,Alabama,"$60,000 to $74,999",0.0929,170757
2013,Alabama,"$75,000 to $99,999",0.1081,198710
2013,Alabama,"$100,000 to $124,999",0.0659,121151
2013,Alabama,"$125,000 to $149,999",0.0353,64977
2013,Alabama,"$150,000 to $199,999",0.0319,58625
2013,Alabama,"$200,000 or more",0.0259,47622
2013,Alabama,"Less than $10,000",0.1001,184131
2013,Alaska,"$10,000 to $14,999",0.035,8817
2013,Alaska,"$15,000 to $19,999",0.0373,9392
2013,Alaska,"$20,000 to $24,999",0.0397,10007
2013,Alaska,"$25,000 to $29,999",0.0361,9099
2013,Alaska,"$30,000 to $34,999",0.0411,10355
2013,Alaska,"$35,000 to $39,999",0.038,9561
2013,Alaska,"$40,000 to $44,999",0.0439,11067
2013,Alaska,"$45,000 to $49,999",0.035,8815
2013,Alaska,"$50,000 to $59,999",0.0768,19354
2013,Alaska,"$60,000 to $74,999",0.1077,27126
2013,Alaska,"$75,000 to $99,999",0.1512,38088
2013,Alaska,"$100,000 to $124,999",0.1104,27821
2013,Alaska,"$125,000 to $149,999",0.0747,18806
2013,Alaska,"$150,000 to $199,999",0.079,19892
2013,Alaska,"$200,000 or more",0.0563,14179
2013,Alaska,"Less than $10,000",0.0378,9520
2013,Arizona,"$10,000 to $14,999",0.0523,124064
2013,Arizona,"$15,000 to $19,999",0.0542,128582
2013,Arizona,"$20,000 to $24,999",0.0584,138459
2013,Arizona,"$25,000 to $29,999",0.0555,131551
2013,Arizona,"$30,000 to $34,999",0.057,134999
2013,Arizona,"$35,000 to $39,999",0.051,120780
2013,Arizona,"$40,000 to $44,999",0.0527,125007
2013,Arizona,"$45,000 to $49,999",0.0448,106123
2013,Arizona,"$50,000 to $59,999",0.0841,199421
2013,Arizona,"$60,000 to $74,999",0.1017,241086
2013,Arizona,"$75,000 to $99,999",0.1195,283273
2013,Arizona,"$100,000 to $124,999",0.0744,176397
2013,Arizona,"$125,000 to $149,999",0.0442,104661
2013,Arizona,"$150,000 to $199,999",0.0395,93521
2013,Arizona,"$200,000 or more",0.0347,82142
2013,Arizona,"Less than $10,000",0.076,180223
2013,Arkansas,"$10,000 to $14,999",0.0757,85481
2013,Arkansas,"$15,000 to $19,999",0.0724,81766
2013,Arkansas,"$20,000 to $24,999",0.0693,78319
