Day,Date,Hour,Country,Event,Actual,Previous,Consensus,Forecast
Tuesday,01/19/21,10:00,US,Treasury Secretary Yellen Senate Confirmation Hearing,,,,
Tuesday,01/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Wednesday,01/20/21,2:00,GB,Inflation Rate YoY DEC,0.006,0.30%,0.005,0.006
Wednesday,01/20/21,8:30,CA,Inflation Rate YoY DEC,0.007,1%,0.01,0.01
Wednesday,01/20/21,18:50,JP,Balance of Trade DEC,751B,366.8B,942.8B,800B
Thursday,01/21/21,18:30,JP,Inflation Rate YoY DEC,-0.012,-0.90%,,-0.01
Thursday,01/21/21,19:01,GB,Gfk Consumer Confidence JAN,-28,-26,-29,-28
Tuesday,01/26/21,2:00,GB,Claimant Count Change DEC,7K,38.1K,35K,40K
Wednesday,01/27/21,8:30,US,Durable Goods Orders MoM DEC,0.002,1.20%,0.009,0.008
Wednesday,01/27/21,14:30,US,Fed Press Conference,,,,
Friday,01/29/21,0:00,JP,Consumer Confidence JAN,29.6,31.8,,31.2
Friday,01/29/21,8:30,US,Personal Income MoM DEC,0.006,-1.30%,0.001,0.001
Friday,01/29/21,8:30,US,Personal Spending MoM DEC,-0.002,-0.70%,-0.004,-0.006
Saturday,01/30/21,20:00,CN,NBS Manufacturing PMI JAN,51.3,51.9,51.6,51.5
Sunday,01/31/21,20:45,CN,Caixin Manufacturing PMI JAN,51.5,53,52.7,52.5
Friday,02/05/21,8:30,CA,Balance of Trade DEC,-1.67B,-3.56B,-3B, -3.2B
Friday,02/05/21,8:30,US,Balance of Trade DEC,-66.6B,-69B,-65.7B,-70B
Friday,02/05/21,8:30,US,Non Farm Payrolls JAN,49K,-227K,50K,45K
Friday,02/05/21,10:00,CA,Ivey PMI s.a JAN,48.4,46.7,,47
Tuesday,02/09/21,20:30,CN,Inflation Rate YoY JAN,-0.003,0.20%,0,-0.002
Wednesday,02/10/21,8:30,US,Core Inflation Rate YoY JAN,0.014,1.60%,0.015,0.016
Wednesday,02/10/21,8:30,US,Inflation Rate YoY JAN,0.014,1.40%,0.015,0.014
Friday,02/12/21,2:00,GB,Balance of Trade DEC,-6.2B,-6.6B,,-4.2B
Tuesday,02/16/21,18:50,JP,Balance of Trade JAN,-323.9B,749.6B,-600B,-430B
Wednesday,02/17/21,2:00,GB,Inflation Rate YoY JAN,0.007,0.60%,0.006,0.004
Wednesday,02/17/21,8:30,CA,Inflation Rate YoY JAN,0.01,0.70%,0.009,0.008
Wednesday,02/17/21,8:30,US,Retail Sales MoM JAN,0.053,-1%,0.011,0.009
Wednesday,02/17/21,14:00,US,FOMC Minutes,,,,
Thursday,02/18/21,18:30,JP,Inflation Rate YoY JAN,-0.006,-1.20%,,-0.01
Thursday,02/18/21,19:01,GB,Gfk Consumer Confidence FEB,-23,-28,-27,-26
Friday,02/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Tuesday,02/23/21,2:00,GB,Claimant Count Change JAN,-20K,-20.4K,,25K
Thursday,02/25/21,8:30,US,Durable Goods Orders MoM JAN,0.034,1.20%,0.011,0.012
Friday,02/26/21,8:30,US,Personal Income MoM JAN,0.1,0.60%,0.095,0.085
Friday,02/26/21,8:30,US,Personal Spending MoM JAN,0.024,-0.40%,0.025,0.019
Sunday,02/28/21,3:00,CN,NBS Manufacturing PMI FEB,50.6,51.3,51.1,51
Sunday,02/28/21,20:45,CN,Caixin Manufacturing PMI FEB,50.9,51.5,51.5,51.2
Thursday,03/04/21,0:00,JP,Consumer Confidence FEB,33.8,29.6,,30.8
Thursday,03/04/21,,CN,National People's Congress,,,,
Thursday,03/04/21,,CN,Premier Li Keqiang Speech ,,,,
Friday,03/05/21,8:30,CA,Balance of Trade JAN,1.41B,-1.98B,-1.4B, -1.6B
Friday,03/05/21,8:30,US,Balance of Trade JAN,-68.2B,-67B,-67.5B,-67.5B
Friday,03/05/21,8:30,US,Non Farm Payrolls FEB,379K,166K,182K,170K
Friday,03/05/21,10:00,CA,Ivey PMI s.a FEB,60,48.4,,49
Tuesday,03/09/21,20:30,CN,Inflation Rate YoY FEB,-0.002,-0.30%,-0.004,-0.003
Wednesday,03/10/21,8:30,US,Core Inflation Rate YoY FEB,0.013,1.40%,0.014,0.014
Wednesday,03/10/21,8:30,US,Inflation Rate YoY FEB,0.017,1.40%,0.017,0.016
Friday,03/12/21,2:00,GB,Balance of Trade JAN,-1.6B,-6.2B,,-4.8B
Tuesday,03/16/21,7:30,US,Retail Sales MoM FEB,-0.03,7.60%,-0.005,-0.006
Tuesday,03/16/21,18:50,JP,Balance of Trade FEB,217.4B,-325.4B,420B,450B
Wednesday,03/17/21,7:30,CA,Inflation Rate YoY FEB,0.011,1%,0.013,0.011
Wednesday,03/17/21,13:30,US,Fed Press Conference,,,,
Thursday,03/18/21,18:30,JP,Inflation Rate YoY FEB,-0.004,-0.60%,,-0.004
Thursday,03/18/21,19:01,GB,Gfk Consumer Confidence MAR,-16,-23,-20,-20
Tuesday,03/23/21,2:00,GB,Claimant Count Change FEB,86.6K,-20.8K,,-17K
Wednesday,03/24/21,2:00,GB,Inflation Rate YoY FEB,0.004,0.70%,0.008,0.008
Wednesday,03/24/21,7:30,US,Durable Goods Orders MoM FEB,-0.011,3.50%,0.008,0.011
Friday,03/26/21,7:30,US,Personal Income MoM FEB,-0.071,10.10%,-0.073,-0.08
Friday,03/26/21,7:30,US,Personal Spending MoM FEB,-0.01,3.40%,-0.007,-0.007
Tuesday,03/30/21,20:00,CN,NBS Manufacturing PMI MAR,51.9,50.6,51,51.1
Tuesday,03/30/21,,US,President Biden Speech on Recovery Package ,,,,
Wednesday,03/31/21,18:50,JP,Tankan Large Manufacturers Index Q1,5,-10,0,-2
Wednesday,03/31/21,20:45,CN,Caixin Manufacturing PMI MAR,50.6,50.9,51.3,51.2
Friday,04/02/21,7:30,US,Non Farm Payrolls MAR,916K,468K,647K,680K
Wednesday,04/07/21,7:30,CA,Balance of Trade FEB,1.04B,1.21B,1B,1.5B
Wednesday,04/07/21,7:30,US,Balance of Trade FEB,-71.1B,-67.8B,-70.5B,-69.8B
Wednesday,04/07/21,9:00,CA,Ivey PMI s.a MAR,72.9,60,60.5,62
Wednesday,04/07/21,13:00,US,FOMC Minutes,,,,
Thursday,04/08/21,0:00,JP,Consumer Confidence MAR,36.1,33.8,,36
Thursday,04/08/21,20:30,CN,Inflation Rate YoY MAR,0.004,-0.20%,0.003,0.002
Tuesday,04/13/21,1:00,GB,Balance of Trade FEB,-7.1B,-3.4B,,-2.2B
Tuesday,04/13/21,7:30,US,Core Inflation Rate YoY MAR,0.016,1.30%,0.015,0.016
Tuesday,04/13/21,7:30,US,Inflation Rate YoY MAR,0.026,1.70%,0.025,0.026
Thursday,04/15/21,7:30,US,Retail Sales MoM MAR,0.098,-2.70%,0.059,0.045
Sunday,04/18/21,18:50,JP,Balance of Trade MAR,663.7B,215.9B,490B, 300B
Monday,04/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Tuesday,04/20/21,1:00,GB,Claimant Count Change MAR,10.1K,86.6K,,150K
Wednesday,04/21/21,1:00,GB,Inflation Rate YoY MAR,0.007,0.40%,0.008,0.008
Wednesday,04/21/21,7:30,CA,Inflation Rate YoY MAR,0.022,1.10%,0.023,0.021
Thursday,04/22/21,18:01,GB,Gfk Consumer Confidence APR,-15,-16,-12,-12
Thursday,04/22/21,18:30,JP,Inflation Rate YoY MAR,-0.002,-0.40%,,-0.001
Monday,04/26/21,7:30,US,Durable Goods Orders MoM MAR,0.005,-0.90%,0.025,0.017
Wednesday,04/28/21,13:30,US,Fed Press Conference,,,,
Thursday,04/29/21,20:00,CN,NBS Manufacturing PMI APR,51.1,51.9,51.7,52.1
Thursday,04/29/21,20:45,CN,Caixin Manufacturing PMI APR,51.9,50.6,50.8,50.9
Friday,04/30/21,0:00,JP,Consumer Confidence APR,34.7,36.1,,35.5
Friday,04/30/21,7:30,US,Personal Income MoM MAR,0.211,-7%,0.203,0.205
Friday,04/30/21,7:30,US,Personal Spending MoM MAR,0.042,-1%,0.041,0.046
Tuesday,05/04/21,7:30,CA,Balance of Trade MAR,-1.14B,1.42B,0.7B,0.5B
Tuesday,05/04/21,7:30,US,Balance of Trade MAR,-74.4B,-70.5B,-74.5B,-73.4B
Tuesday,05/04/21,7:30,US,Non Farm Payrolls APR,266K,770K,978K,950K
Tuesday,05/04/21,9:00,CA,Ivey PMI s.a APR,60.6,72.9,,67
Tuesday,05/04/21,20:30,CN,Inflation Rate YoY APR,0.009,0.40%,0.01,0.011
Wednesday,05/12/21,1:00,GB,Balance of Trade MAR,-2B,-0.9B,,-6.1B
Wednesday,05/12/21,7:30,US,Core Inflation Rate YoY APR,0.03,1.60%,0.023,0.022
Wednesday,05/12/21,7:30,US,Inflation Rate YoY APR,0.042,2.60%,0.036,0.038
Wednesday,05/12/21,7:30,US,Retail Sales MoM APR,0,10.70%,0.01,0.003
Tuesday,05/18/21,1:00,GB,Claimant Count Change APR,-15.1K,-19.4K,,25K
Wednesday,05/19/21,1:00,GB,Inflation Rate YoY APR,0.015,0.70%,0.014,0.014
Wednesday,05/19/21,7:30,CA,Inflation Rate YoY APR,0.034,2.20%,0.032,0.032
Wednesday,05/19/21,13:00,US,FOMC Minutes,,,,
Wednesday,05/19/21,18:50,JP,Balance of Trade APR,255.3B,662.2B,140B,150B
Wednesday,05/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Thursday,05/20/21,18:01,GB,Gfk Consumer Confidence 05,-9,-15,-12,-14
Thursday,05/20/21,18:30,JP,Inflation Rate YoY APR,-0.004,-0.20%,,0.001
Thursday,05/27/21,7:30,US,Durable Goods Orders MoM APR,-0.013,1.30%,0.007,0.007
Thursday,05/27/21,7:30,US,Personal Income MoM APR,-0.131,20.90%,-0.141,-0.14
Thursday,05/27/21,7:30,US,Personal Spending MoM APR,0.005,4.70%,0.005,0.005
Thursday,05/27/21,20:00,CN,NBS Manufacturing PMI 05,51,51.1,51.1,51.2
Thursday,05/27/21,0:00,JP,Consumer Confidence 05,34.1,34.7,,34
Thursday,05/27/21,20:45,CN,Caixin Manufacturing PMI 05,52,51.9,51.9,51.7
Friday,06/04/21,7:30,US,Non Farm Payrolls 05,559K,278K,650K,610K
Friday,06/04/21,9:00,CA,Ivey PMI s.a 05,64.7,60.6,,65
Tuesday,06/08/21,7:30,CA,Balance of Trade APR,0.59B,-1.35B,-0.7B,-0.9B
Tuesday,06/08/21,7:30,US,Balance of Trade APR,-68.9B,-75B,-69B,-69B
Tuesday,06/08/21,20:30,CN,Inflation Rate YoY 05,0.013,0.90%,0.016,0.015
Thursday,06/10/21,7:30,US,Core Inflation Rate YoY 05,0.038,3%,0.034,0.032
Thursday,06/10/21,7:30,US,Inflation Rate YoY 05,0.05,4.20%,0.047,0.047
Friday,06/11/21,1:00,GB,Balance of Trade APR,-0.9B,-2B,,-3.2B
Tuesday,06/15/21,1:00,GB,Claimant Count Change 05,-92.6K,-55.8K,,-62K
Tuesday,06/15/21,7:30,US,Retail Sales MoM 05,-0.013,0.90%,-0.008,-0.003
Tuesday,06/15/21,18:50,JP,Balance of Trade 05,-187.1B,253.1B,-91.2B,-78B
Wednesday,06/16/21,1:00,GB,Inflation Rate YoY 05,0.021,1.50%,0.018,0.018
Wednesday,06/16/21,7:30,CA,Inflation Rate YoY 05,0.036,3.40%,0.035,0.036
Wednesday,06/16/21,13:30,US,Fed Press Conference,,,,
Thursday,06/17/21,18:30,JP,Inflation Rate YoY 05,-0.001,-0.40%,,-0.003
Sunday,06/20/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Thursday,06/24/21,7:30,US,Durable Goods Orders MoM 05,0.023,-0.80%,0.028,0.02
Thursday,06/24/21,18:01,GB,Gfk Consumer Confidence JUN,-9,-9,-7,-7
Friday,06/25/21,7:30,US,Personal Income MoM 05,-0.02,-13.10%,-0.025,-0.03
Friday,06/25/21,7:30,US,Personal Spending MoM 05,0,0.90%,0.004,0.004
Tuesday,06/29/21,20:00,CN,NBS Manufacturing PMI JUN,50.9,51,50.8,50.9
Wednesday,06/30/21,0:00,JP,Consumer Confidence JUN,37.4,34.1,,33
Wednesday,06/30/21,18:50,JP,Tankan Large Manufacturers Index Q2,14,5,15,15
Wednesday,06/30/21,20:45,CN,Caixin Manufacturing PMI JUN,51.3,52,51.8,51.9
Friday,07/02/21,7:30,CA,Balance of Trade 05,-1.39B,0.46B,0.37B,-0.3B
Friday,07/02/21,7:30,US,Balance of Trade 05,-71.2B,-69.1B,-71.4B,-71.6B
Friday,07/02/21,7:30,US,Non Farm Payrolls JUN,850K,583K,700K,650K
Wednesday,07/07/21,9:00,CA,Ivey PMI s.a JUN,71.9,64.7,,65
Wednesday,07/07/21,13:00,US,FOMC Minutes,,,,
Thursday,07/08/21,20:30,CN,Inflation Rate YoY JUN,0.011,1.30%,0.013,0.015
Friday,07/09/21,6:00,GB,Balance of Trade 05,0.9B,-1.6B,,-1.4B
Tuesday,07/13/21,7:30,US,Core Inflation Rate YoY JUN,0.045,3.80%,0.04,0.039
Tuesday,07/13/21,7:30,US,Inflation Rate YoY JUN,0.054,5%,0.049,0.049
Wednesday,07/14/21,1:00,GB,Inflation Rate YoY JUN,0.025,2.10%,0.022,0.023
Thursday,07/15/21,1:00,GB,Claimant Count Change JUN,-114.8K,-92.6K,,-120K
Friday,07/16/21,7:30,US,Retail Sales MoM JUN,0.006,-1.70%,-0.004,-0.005
Monday,07/19/21,18:30,JP,Inflation Rate YoY JUN,0.002,-0.10%,,0
Monday,07/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Tuesday,07/20/21,18:50,JP,Balance of Trade JUN,383.2B,-189.4B,460B, 400B
Thursday,07/22/21,18:01,GB,Gfk Consumer Confidence JUL,-7,-9,-8,-7
Tuesday,07/27/21,7:30,US,Durable Goods Orders MoM JUN,0.008,3.20%,0.021,0.019
Wednesday,07/28/21,7:30,CA,Inflation Rate YoY JUN,0.031,3.60%,0.032,0.031
Wednesday,07/28/21,13:30,US,Fed Press Conference,,,,
Friday,07/30/21,7:30,US,Personal Income MoM JUN,0.001,-2.20%,-0.003,-0.003
Friday,07/30/21,7:30,US,Personal Spending MoM JUN,0.01,-0.10%,0.007,0.005
Friday,07/30/21,20:00,CN,NBS Manufacturing PMI JUL,50.4,50.9,50.8,50.8
Sunday,08/01/21,20:45,CN,Caixin Manufacturing PMI JUL,50.3,51.3,51,51
Monday,08/02/21,0:00,JP,Consumer Confidence JUL,37.5,37.4,,37
Thursday,08/05/21,7:30,CA,Balance of Trade JUN,3.23B,-1.58B,-0.68B, -0.7B
Thursday,08/05/21,7:30,US,Balance of Trade JUN,-75.7B,-71B,-73.9B,-74.3B
Friday,08/06/21,7:30,US,Non Farm Payrolls JUL,943K,938K,870K,900K
Friday,08/06/21,9:00,CA,Ivey PMI s.a JUL,56.4,71.9,,70
Sunday,08/08/21,20:30,CN,Inflation Rate YoY JUL,0.01,1.10%,0.008,0.009
Wednesday,08/11/21,7:30,US,Core Inflation Rate YoY JUL,0.043,4.50%,0.043,0.044
Wednesday,08/11/21,7:30,US,Inflation Rate YoY JUL,0.054,5.40%,0.053,0.054
Thursday,08/12/21,1:00,GB,Balance of Trade JUN,-2.5B,-0.2B,,-2.2B
Tuesday,08/17/21,1:00,GB,Claimant Count Change JUL,-7.8K,-114.8K,,-180K
Tuesday,08/17/21,7:30,US,Retail Sales MoM JUL,-0.011,0.70%,-0.003,-0.003
Tuesday,08/17/21,18:50,JP,Balance of Trade JUL,441B,384B,202.3B,300B
Wednesday,08/18/21,1:00,GB,Inflation Rate YoY JUL,0.02,2.50%,0.023,0.024
Wednesday,08/18/21,7:30,CA,Inflation Rate YoY JUL,0.037,3.10%,0.034,0.033
Wednesday,08/18/21,13:00,US,FOMC Minutes,,,,
Thursday,08/19/21,18:01,GB,Gfk Consumer Confidence AUG,-8,-7,-7,-6
Thursday,08/19/21,18:30,JP,Inflation Rate YoY JUL,-0.003,-0.50%,,-0.001
Thursday,08/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Wednesday,08/25/21,7:30,US,Durable Goods Orders MoM JUL,-0.001,0.80%,-0.003,-0.002
Friday,08/27/21,7:30,US,Personal Income MoM JUL,0.011,0.20%,0.002,0.002
Friday,08/27/21,7:30,US,Personal Spending MoM JUL,0.003,1.10%,0.003,0.005
Monday,08/30/21,20:00,CN,NBS Manufacturing PMI AUG,50.1,50.4,50.2,50.3
Tuesday,08/31/21,0:00,JP,Consumer Confidence AUG,36.7,37.5,,37
Tuesday,08/31/21,20:45,CN,Caixin Manufacturing PMI AUG,49.2,50.3,50.2,50.2
Thursday,09/02/21,7:30,CA,Balance of Trade JUL,0.78B,2.56B,1.4B,2.5B
Thursday,09/02/21,7:30,US,Balance of Trade JUL,-70B,-73.2B,-71B,-70B
Friday,09/03/21,7:30,US,Non Farm Payrolls AUG,235K,1053K,750K,750K
Wednesday,09/08/21,9:00,CA,Ivey PMI s.a AUG,66,56.4,,56
Wednesday,09/08/21,20:30,CN,Inflation Rate YoY AUG,0.008,1.00%,0.01,0.01
Friday,09/10/21,1:00,GB,Balance of Trade JUL,-3.1B,-2.5B,,-2B
Tuesday,09/14/21,1:00,GB,Claimant Count Change AUG,-58.6K,-7.8K,,-26K
Tuesday,09/14/21,7:30,US,Core Inflation Rate YoY AUG,0.04,4.30%,0.042,0.043
Tuesday,09/14/21,7:30,US,Inflation Rate YoY AUG,0.053,5.40%,0.053,0.053
Wednesday,09/15/21,1:00,GB,Inflation Rate YoY AUG,0.032,2%,0.029,0.029
Wednesday,09/15/21,7:30,CA,Inflation Rate YoY AUG,0.041,3.70%,0.039,0.037
Wednesday,09/15/21,18:50,JP,Balance of Trade AUG,-635.4B,439.4B,-47.7B,-60B
Thursday,09/16/21,7:30,US,Retail Sales MoM AUG,0.007,-1.80%,-0.008,-0.007
Tuesday,09/21/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Wednesday,09/22/21,13:30,US,Fed Press Conference,,,,
Thursday,09/23/21,18:01,GB,Gfk Consumer Confidence SEP,-13,-8,-8,-8
Thursday,09/23/21,18:30,JP,Inflation Rate YoY AUG,-0.004,-0.30%,,-0.001
Monday,09/27/21,7:30,US,Durable Goods Orders MoM AUG,0.018,0.50%,0.007,0.004
Wednesday,09/29/21,20:00,CN,NBS Manufacturing PMI SEP,49.6,50.1,50.1,50.4
Wednesday,09/29/21,20:45,CN,Caixin Manufacturing PMI SEP,50,49.2,49.5,49.9
Thursday,09/30/21,18:50,JP,Tankan Large Manufacturers Index Q3,18,14,13,12
Friday,10/01/21,0:00,JP,Consumer Confidence SEP,37.8,36.7,,37
Friday,10/01/21,4:00,EA,Inflation Rate YoY Flash SEP,0.034,3%,0.033,0.031
Friday,10/01/21,7:30,US,Personal Income MoM AUG,0.002,1.10%,0.003,0.002
Friday,10/01/21,7:30,US,Personal Spending MoM AUG,0.008,-0.10%,0.006,0.003
Friday,10/01/21,9:00,US,ISM Manufacturing PMI SEP,61.1,59.9,59.6,59
Tuesday,10/05/21,7:30,CA,Balance of Trade AUG,1.94B,0.74B,0.43B,0.6B
Tuesday,10/05/21,7:30,US,Balance of Trade AUG,-73.3B,-70.3B,-70.5B,-70.8B
Thursday,10/07/21,9:00,CA,Ivey PMI s.a SEP,70.4,66,,64.2
Friday,10/08/21,7:30,US,Non Farm Payrolls SEP,194K,366K,500K,475K
Tuesday,10/12/21,1:00,GB,Claimant Count Change SEP,-51.1K,-58.6K,,-46K
Tuesday,10/12/21,9:00,US,JOLTs Job Openings AUG,10.439M,11.098M,10.925M,10.8M
Tuesday,10/12/21,22:00,CN,Exports YoY SEP,0.281,25.60%,0.21,0.21
Tuesday,10/12/21,22:00,CN,Imports YoY SEP,0.176,33.10%,0.2,0.21
Wednesday,10/13/21,1:00,GB,Balance of Trade AUG,-3.7B,-2.9B,,-2.8B
Wednesday,10/13/21,7:30,US,Core Inflation Rate YoY SEP,0.04,4%,0.04,0.04
Wednesday,10/13/21,7:30,US,Inflation Rate YoY SEP,0.054,5.30%,0.053,0.053
Wednesday,10/13/21,13:00,US,FOMC Minutes,,,,
Wednesday,10/13/21,20:30,CN,Inflation Rate YoY SEP,0.007,0.80%,0.009,0.008
Friday,10/15/21,7:30,US,Retail Sales MoM SEP,0.007,0.90%,-0.002,-0.001
Friday,10/15/21,9:00,US,Michigan Consumer Sentiment Prel OCT,71.4,72.8,73.1,75
Sunday,10/17/21,21:00,CN,Industrial Production YoY SEP,0.031,5.30%,0.045,0.044
Sunday,10/17/21,21:00,CN,Retail Sales YoY SEP,0.044,2.50%,0.033,0.023
Tuesday,10/19/21,7:30,US,Building Permits SEP,1.589M,1.721M,1.68M,1.69M
Tuesday,10/19/21,18:50,JP,Balance of Trade SEP,-622.8B,-637.2B,-519.2B, -500B
Tuesday,10/19/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Wednesday,10/20/21,1:00,GB,Inflation Rate YoY SEP,0.031,3.20%,0.032,0.032
Wednesday,10/20/21,7:30,CA,Inflation Rate YoY SEP,0.044,4.10%,0.043,0.044
Thursday,10/21/21,18:01,GB,Gfk Consumer Confidence OCT,-17,-13,-16,-14
Thursday,10/21/21,18:30,JP,Inflation Rate YoY SEP,0.002,-0.40%,,-0.003
Friday,10/22/21,1:00,GB,Retail Sales MoM SEP,-0.002,-0.60%,0.005,0.005
Friday,10/22/21,3:00,EA,Markit Composite PMI Flash OCT,54.3,56.2,55.2,55.4
Friday,10/22/21,3:30,GB,Markit/CIPS Composite PMI Flash OCT,56.8,54.9,54,54.2
Wednesday,10/27/21,6:30,GB,Autumn Budget,,,,
Wednesday,10/27/21,7:30,US,Durable Goods Orders MoM SEP,-0.004,1.30%,-0.011,-0.008
Friday,10/29/21,0:00,JP,Consumer Confidence OCT,39.2,37.8,,39
Friday,10/29/21,4:00,EA,Inflation Rate YoY Flash OCT,0.041,3.40%,0.037,0.036
Friday,10/29/21,7:30,US,Personal Income MoM SEP,-0.01,0.20%,-0.002,0.002
Friday,10/29/21,7:30,US,Personal Spending MoM SEP,0.006,1%,0.005,0.006
Saturday,10/30/21,20:00,CN,NBS Manufacturing PMI OCT,49.2,49.6,49.7,50
Sunday,10/31/21,20:45,CN,Caixin Manufacturing PMI OCT,50.6,50,50,50
Monday,11/01/21,9:00,US,ISM Manufacturing PMI OCT,60.8,61.1,60.5,60.3
Wednesday,11/03/21,13:30,US,Fed Press Conference,,,,
Thursday,11/04/21,7:30,CA,Balance of Trade SEP,1.86B,1.51B,1.55B, 2.1B
Thursday,11/04/21,7:30,US,Balance of Trade SEP,-80.9B,-72.8B,-80.5B, -75B
Friday,11/05/21,7:30,US,Non Farm Payrolls OCT,531K,312K,450K,400K
Friday,11/05/21,9:00,CA,Ivey PMI s.a OCT,59.3,70.4,,65
Saturday,11/06/21,22:00,CN,Exports YoY OCT,0.271,28.10%,0.245,0.25
Saturday,11/06/21,22:00,CN,Imports YoY OCT,0.206,17.60%,0.25,0.26
Tuesday,11/09/21,8:30,US,PPI MoM OCT,0.006,0.50%,0.006,0.006
Tuesday,11/09/21,20:30,CN,Inflation Rate YoY OCT,0.015,0.70%,0.014,0.012
Wednesday,11/10/21,8:30,US,Core Inflation Rate YoY OCT,0.046,4%,0.043,0.041
Wednesday,11/10/21,8:30,US,Inflation Rate YoY OCT,0.062,5.40%,0.058,0.057
Thursday,11/11/21,2:00,GB,Balance of Trade SEP,-2.8B,-1.9B,,-3.4B
Thursday,11/11/21,5:00,EA,ECB Macroeconomic Projections,,,,
Friday,11/12/21,10:00,US,JOLTs Job Openings SEP,10.438M,10.629M,10.3M,10.1M
Friday,11/12/21,10:00,US,Michigan Consumer Sentiment Prel NOV,66.8,71.7,72.4,71
Sunday,11/14/21,21:00,CN,Industrial Production YoY OCT,0.035,3.10%,0.03,0.029
Sunday,11/14/21,21:00,CN,Retail Sales YoY OCT,0.049,4.40%,0.035,0.036
Sunday,11/14/21,,US,President Biden and President Xi Jinping Virtual Meeting,,,,
Tuesday,11/16/21,2:00,GB,Claimant Count Change OCT,-14.9K,-51.1K,,-30K
Tuesday,11/16/21,8:30,US,Retail Sales MoM OCT,0.017,0.80%,0.014,0.012
Tuesday,11/16/21,18:50,JP,Balance of Trade OCT,-67.4B,-624.1B,-310B,-460B
Wednesday,11/17/21,2:00,GB,Inflation Rate YoY OCT,0.042,3.10%,0.039,0.037
Wednesday,11/17/21,8:30,CA,Inflation Rate YoY OCT,0.047,4.40%,0.047,0.049
Wednesday,11/17/21,8:30,US,Building Permits OCT,1.65M,1.586M,1.638M,1.661M
Thursday,11/18/21,18:30,JP,Inflation Rate YoY OCT,0.001,0.20%,,0.001
Thursday,11/18/21,19:01,GB,GfK Consumer Confidence NOV,-14,-17,-18,-16
Friday,11/19/21,2:00,GB,Retail Sales MoM OCT,0.008,0%,0.005,0.007
Sunday,11/21/21,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Tuesday,11/23/21,4:00,EA,Markit Composite PMI Flash NOV,55.8,54.2,53.2,53.7
Tuesday,11/23/21,4:30,GB,Markit/CIPS Composite PMI Flash NOV,57.7,57.8,57.5,57.3
Tuesday,11/23/21,9:45,US,Markit Manufacturing PMI Flash NOV,59.1,58.4,59,58.8
Tuesday,11/23/21,9:45,US,Markit Services PMI Flash NOV,57,58.7,59,59
Wednesday,11/24/21,8:30,US,Durable Goods Orders MoM OCT,-0.005,-0.40%,0.002,0.003
Wednesday,11/24/21,10:00,US,Personal Income MoM OCT,0.005,-1%,0.002,0.001
Wednesday,11/24/21,10:00,US,Personal Spending MoM OCT,0.013,0.60%,0.01,0.007
Wednesday,11/24/21,14:00,US,FOMC Minutes,,,,
Monday,11/29/21,15:05,US,Fed Chair Powell Speech ,,,,
Monday,11/29/21,20:00,CN,NBS Manufacturing PMI NOV,50.1,49.2,49.6,49.8
Tuesday,11/30/21,5:00,EA,Inflation Rate YoY Flash NOV,0.049,4.10%,0.045,0.045
Tuesday,11/30/21,10:00,US,Fed Chair Powell Testimony,,,,
Tuesday,11/30/21,20:45,CN,Caixin Manufacturing PMI NOV,49.9,50.6,50.5,50.2
Wednesday,12/01/21,10:00,US,ISM Manufacturing PMI NOV,61.1,60.8,61,61.2
Thursday,12/02/21,0:00,JP,Consumer Confidence NOV,39.2,39.2,,40
Friday,12/03/21,8:30,US,Non Farm Payrolls NOV,210K,546K,550K,550K
Friday,12/03/21,10:00,US,ISM Non-Manufacturing PMI NOV,69.1,66.7,65,65
Monday,12/06/21,22:00,CN,Exports YoY NOV,0.22,27.10%,0.19,0.16
Monday,12/06/21,22:00,CN,Imports YoY NOV,0.317,20.60%,0.198,0.21
Tuesday,12/07/21,8:30,CA,Balance of Trade OCT,2.1B,1.4B,2B,3B
Tuesday,12/07/21,8:30,US,Balance of Trade OCT,-67.1B,-81.4B,-66.8B,-66B
Tuesday,12/07/21,10:00,CA,Ivey PMI s.a NOV,61.2,59.3,,58.7
Wednesday,12/08/21,10:00,US,JOLTs Job Openings OCT,11M,10.602M,10.369M,10.4M
Wednesday,12/08/21,20:30,CN,Inflation Rate YoY NOV,0.023,1.50%,0.025,0.026
Friday,12/10/21,2:00,GB,Balance of Trade OCT,-2.027B,-2.8B,,-3.2B
Friday,12/10/21,2:00,GB,GDP MoM OCT,0.001,0.60%,0.004,0.004
Friday,12/10/21,2:00,GB,GDP YoY OCT,0.046,5.30%,0.049,0.051
Friday,12/10/21,8:30,US,Core Inflation Rate YoY NOV,0.049,4.60%,0.049,0.049
