,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1064,1065,Saima Munawar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Lahore College for Women University,Pakistan,,"Artificial Intelligence,Software Engineering",PhD in progress from NCBA&E
1065,1066,Muhammad Saeed ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,National College of Business Administration and Economics,Pakistan,,Computer Networks,
1066,1067,Sonia Salman ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2008.0,,MS in progress
1067,1068,Sumbal Javaid ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,"Superior University, Lahore",Pakistan,,,
1068,1069,Umra Naeem ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Fatima Jinnah Women University, Rawalpindi",Pakistan,,,
1069,1070,Said Nabi,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Islamabad",Pakistan,,,
1074,1075,Nabeel Amjad ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2015.0,Computer Networks,
1076,1077,Komal Khawer ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,Punjab University College of Information Technology,Pakistan,2008.0,Software Engineering,MS in progress
1077,1078,Muhammad Imran Afzal ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Punjab University College of Information Technology,Pakistan,2015.0,Software Engineering,
1080,1081,Neelam Alam ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,Virtual University of Pakistan,Pakistan,,Web Development,
1084,1085,Adeel Ashraf,University of Management and Technology,Computer Science,Punjab,Research Associate,MS,University of Management and Technology,Pakistan,,,
1085,1086,Dr Ghulam Mustafa,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,2016.0,,
1086,1087,Hadia Tazeem,University of Management and Technology,Computer Science,Punjab,Assistant Professor,Mphil,Punjab University College of Information Technology,Pakistan,,,
1087,1088,Asma Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1088,1089,Amjad Hussain Zahid,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,,,
1089,1090,Muhammad Asif Subhani,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,,,
1090,1091,Ayesha Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1091,1092,Ahmad Sohail Aslam,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of South Florida,USA,,,
1092,1093,Dr Adnan Shahzada,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Milano,Italy,,,
1093,1094,Amjad Ali,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1094,1095,Sheraz Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
1095,1096,Bilal Hassan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,,,
1096,1097,Nabeel Sabir Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Central Punjab,Pakistan,,,
1097,1098,Fasiha Ashraf,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1098,1099,Dr Sajid Mahmood,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1099,1100,Tayaba Anjum,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MPhil,University of the Punjab,Pakistan,,,
1100,1101,Dr Yaser Daanial Khan,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,,,
1101,1102,Dr Muhammad Shoaib Farooq,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,,,
1102,1103,Dr Adnan Abid,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,Politecnico di Milano,Italy,,,
1103,1104,Tehreem Yasir,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1106,1107,Muhammad Saleem Akhtar,Minhaj University Lahore,CS & IT,Punjab,Chairman,MS,University of Lahore,Pakistan,,,
1108,1109,Muhammad Sheraz Tariq,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Minhaj University Lahore,Pakistan,,,
1109,1110,Muhammad Hussain,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1110,1111,Saif Bajwa,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1111,1112,Sohail Irshad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1112,1113,Shahaan Siddique,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,,,
1113,1114,Hafsa Khalid,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Punjab University College of Information Technology,Pakistan,,,
1114,1115,Muhammad Zubair,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1115,1116,Naveed Shah,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1116,1117,Shahid Saleem,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,,,
1117,1118,Ahmad Hassan,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Middlesex University,UK,,,
1118,1119,Saqlain Ahmad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Beijing Institute of Technology Beijing,China,,,
1119,1120,Syed Younus Ali,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1120,1121,Mr. M. Ahmad Akhtar,Minhaj University Lahore,CS & IT,Punjab,I.T Manager,BCS,National College of Business Administration and Economics,Pakistan,,,
1121,1122,Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,UK,,Computer Control,
1122,1123,Shazia Rizwan,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor/HoD ,MS,University of the Punjab,Pakistan,,Educational Quality Management and Databases Design,
1123,1124,Syed Nouman Ali Shah,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,University of Engineering and Technology,Pakistan,,"Software Design & Architecture, Algorithms Refinement, Design Patterns & Frameworks, Enterprise Systems, Information Systems Development & Management, Knowledge Management Systems, Technology Management & Consulting, Technopreneurship, Systems Thinking.",
1124,1125,Natash Ali Mian,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Software Engineering, Requirement Engineering, Database Modeling, Software Quality Assurance, Reverse Engineering, Formal Methods, Self Adaptive Systems, Cloud Computing, Fault Tolerant Systems",PhD in progress
1125,1126,Huda Sarfaraz,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1126,1127,Zubair Anwar,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,,"Business Processes, Strategic Management, Operations Research, Management Consultant in Strategy Planning, Operations Management, Program Management",
1127,1128,Sameen Reza,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Virtual University of Pakistan,Pakistan,,,
1128,1129,Amna Humayun,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1129,1130,Salman Butt,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,"Finance, Business Management and Accounting",
1130,1131,Saad Saleem Malik,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,Research based teaching,
1131,1132,Tehmina Kausar,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Universtiy of Lahore,Pakistan,,,
1161,1162,Muhammad Altaf Mukati,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Vice President/Dean,PhD,Hamdard University,Pakistan,,,
1162,1163,Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,UK,,"Embedded Systems, Artificial Intelligence and Image Processing",
1163,1164,Asim Riaz,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,
1164,1165,Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,France,,Networking,
1165,1166,Faria Jameel,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
1166,1167,Muhammad Asim Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MSc,University of Sunderland,UK,,Project Management,
1167,1168,Khurram Raza,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MSc,Sindh University,Pakistan,,Mathematics,
1168,1169,Shahzad Haroon,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,Telecommunication,
1169,1170,Adeel Ahmed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,University of Florida,USA,,Software Engineering and Programming,
1170,1171,Naveed Ghani,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Staffordshire University,UK,,Mobile Computing,PhD in progress from ISRA University
1171,1172,Khalid Rasheed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
1172,1173,Zareen Sharf,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
1173,1174,Khawaja Mohiuddin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,"DePaul University, Chicago",USA,,,
1174,1175,Ali Zaman,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Machine Learning, TSP Optimization",
1175,1176,Naila Shah,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,University of Kent,UK,,Distributed System & Networks,
1178,1179,Muhammad Ibrahim Channa,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor/Chairman,PhD,Asian Institute of Technology,Thailand,,,
1182,1183,Fiza Siyal,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,ME,Mehran University of Engineering & Technology,Pakistan,,Software Testing and Quality Assurance ,
1183,1184,Saifullah Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1184,1185,Asghar Ali Chandio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,Computer Vision and Pattern Recognition ,
1185,1186,Saima Siraj Soomro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1186,1187,Shah Zaman,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,
1187,1188,Baqar Ali Zardari,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1188,1189,Waqas Ali Sahito,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1218,1219,Samina Rajper,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,"Shah Abdul Latif University, Khairpur",Pakistan,,,
1219,1220,Mairaj Nabi Bhatti,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,PhD in progress from QUEST
1220,1221,Marina Sherbaz Mari,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1221,1222,Zaira Hassan Amur,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,Sindh University,Pakistan,,,MS in progress from Sindh University Jamshoro
1222,1223,Mohsin Amur,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1223,1224,Sagheer Rajper,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,Sindh Agriculture University,Pakistan,,,MS in progress from Tondo-Jam University
1224,1225,Imran Ali Memon,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1225,1226,Shabab Akram,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1226,1227,Abdul Jabbar Brohi,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1227,1228,Shahzad Khaskheli,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1228,1229,Imran Asif Memon,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1229,1230,Umair Ramzan Sheikh,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1230,1231,MUHAMMAD SALEEM CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor/Director & Registrar,PhD,Swansea,UK,2002.0,,
1231,1232,RIAZ AHMED MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Shanghai for Science and Technology,China,1993.0,Mathematics,
1232,1233,ABDUL SATTAR SOOMRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,Post Doc,"Griffith University,Nathan Campus",Australia,2005.0,,
1235,1236,AYAZ KEERIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Sussex,UK,2011.0,"Digital Signal Processing,Speech Recognition and Synthesis systems,Computer Networks.",
1236,1237,JALBANI SHAMSUDDIN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MS,Sindh University,Pakistan,1985.0,,
1238,1239,SOOMRO ABDUL KARIM,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,1987.0,,
1239,1240,MEMON FIAZ AHMED,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,,,
1240,1241,HUSSAINI NAZISH NAWAZ,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,Mphil,Sindh University,Pakistan,2008.0,,
1241,1242,ZAIN-UL-ABDIN KHUHRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Essex,UK,2011.0,"Bioinformatics,Structural biology,Graph theory,Operations Research",
1242,1243,MALLAH MUHAMMAD RAFIQUE,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,,,
1243,1244,FARHAT NAUREEN MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Essex,UK,2012.0,,
1244,1245,HYDER ALI NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,
1245,1246,QURAT UL AIN NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,
1246,1247,NOOR JEHAN RAJPER,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,University of Leicester,UK,2012.0,,
1247,1248,IMTIAZ ALI KOREJO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,
1248,1249,YASIR ARFAT MALKANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Sussex,UK,2011.0,"Pervasive Computing,secure device/service discovery, activity recognition and access control mechanisms using proximity/sensors' data, policy-based systems, context-awareness and adaptation mechanisms,sensor networks, wireless networks (including WiFi, Bluetooth, WiMAX, etc), and solutions to various issues in distributed and pervasive computing systems through the integration of tools and techniques from distinct disciplines/areas.  ",
1249,1250,AFTAB AHMED CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,Chinese Academy of Sciences,China,2016.0,"resource management, job scheduling strategies, energy efficiency, and workload characterization for performance optimization of parallel and distributed systems such as cloud computing, and location-based services i.e., map-matching strategy for GPS trajectories",
1250,1251,FIDA HUSSAIN CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,Post Doc,"International Islamic University,Islamabad",Malaysia,2015.0,computing and information systems domain.,
1251,1252,NANGRAJ ABDUL REHMAN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,BS,Sindh University,Pakistan,2005.0,,
1252,1253,BROHI KAMRAN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,MSc,Sindh University,Pakistan,,,
1253,1254,UNAR KULSOOM SAIMA,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,Mphil,Sindh University,Pakistan,2015.0,,
1254,1255,BULEDI ASADULLAH,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,BS,Sindh University,Pakistan,2007.0,,
1256,1257,KASHIF MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,MS,Sindh University,Pakistan,2015.0,,
1257,1258,ZUBAIR AHMED KALHORO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,PhD,Xiamen university,China,2016.0,"Numerical linear algebra,Matrix Computation,Numerical Analysis",
1258,1259,SYEDA HIRA FATIMA NAQVI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,B.Ed,Sindh University,Pakistan,2012.0,,Phil leading to Ph.D. (Course Work 4 CGPA) from University of Sindh
1259,1260,Hasina Khatoon,FAST(Karachi),Computer Science,Sindh,Professor,PhD,NED University of Engineering And Technology,Pakistan,, High Performance Computing with special emphasis on new and emerging architectures including multicore processors,
1260,1261,Jawad Ahmed Shamsi,FAST(Karachi),Computer Science,Sindh,Professor,PhD,Wayne State University,USA,2009.0,,
1261,1262,Muhammad Atif Tahir,FAST(Karachi),Computer Science,Sindh,Professor,PhD,The Queens University of Belfast,UK,2006.0,"Machine Learning & Combinatorial Optimization Techniques with applications in image / video retrieval, cancer classification, surface inspection, bioinformatics, multi-label classification, and face recognition",
1262,1263,Zulfiqar Ali Memon,FAST(Karachi),Computer Science,Sindh,Associate Professor,PhD,"Vrije University, Amsterdam",Netherland,2010.0,,
1263,1264,Fahad Samad,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,germany,2011.0,,
1264,1265,Farooque Hassan Kumbhar,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Sungkyunkwan University,South Korea,2017.0,"Network Security and Data Security, Name Data Network or Content Centric Network, Security and Privacy isssues in MANET or Ad hoc computing, Internet of Things, Machine-to-Machine and Device-to-Device Communications, Wireless Communications (4G, 5G, etc. ), Optimization",
1265,1266,Jalaluddin Qureshi,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Nanyang Tech University,Singapore,2014.0,"Error Correction Coding, Optimization Wireless Routing, Mathematical analysis of transmission networks, Evolutionary computation, Applied Machine Learning",
1266,1267,Sufian Hameed,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,germany,2012.0,,
1267,1268,Syed Tahir Qasim,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Universite d'Evry Val d'Essonne,France,2011.0,,
1268,1269,Ubaid Aftab,FAST(Karachi),Computer Science,Sindh,Adjunct Professor,MS,Monash University,Australia,2005.0,,
1269,1270,Abdul Aziz,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2006.0,"Disaster Management, Information Systems, Geo Informatics, Social Informatics, Urban Planning, Image Processing",
1270,1271,Abdul Rahman,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,2004.0,"Elliptic Curve Cryptography, Embedded OS, Quality Assurance & Software Engineering, Open source technology, Databases, Vocational trainings for intellectually challenged
",
1271,1272,Atika Burni,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MBA,Hamdard University,Pakistan,2000.0,,
1272,1273,Faraz Idris Khan,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Kyung Hee University,South Korea,2008.0,,
1273,1274,Farrukh Hasan Syed,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Institute of Business Administration,Pakistan,2011.0,,
1274,1275,Khalid Iqbal Soomro,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,New York Institute of Technology,USA,1983.0," Computer Hardware, Computer Architecture, Mass-Storage devices (Winchester, Flash and Solid-State Drives.)",
1275,1276,Mohammad Rafi,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2007.0,"Data Communication, Computer Network, Algorithms development, Programming languages and Machine learning.",
1276,1277,Muhammad Shahzad,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Fedral Urdu University,Pakistan,2012.0,,
1277,1278,Nadeem Kafi Khan,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2007.0,,
1278,1279,Nauman Atique,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2008.0,,
1279,1280,Nouman Durrani,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2007.0,,
1280,1281,Shahbaz Akhtar Siddqui,FAST(Karachi),Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2014.0,,
1281,1282,Ahsan Shah,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2017.0,"Data Mining, Machine Learning, Brain Computer Interface (BCI), Intelligent Transportation Systems",
1282,1283,Amber Yaseen Khan,FAST(Karachi),Computer Science,Sindh,Lecturer,BE,NED University of Engineering And Technology,Pakistan,2011.0,,
1283,1284,Anum Qureshi,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Mehran University of Engineering & Technology,Pakistan,2014.0,"Big Data Security, Deep Learning,Algorithms",
1284,1285,Behraj Khan,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014.0,,
1285,1286,Faiza Sattar,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,2015.0,"Software Engineering, Data Mining, Image Processing",
1286,1287,Javeria Farooq,FAST(Karachi),Computer Science,Sindh,Lecturer,BS,Bahria University,Pakistan,2012.0,,
1287,1288,Mahwish Amjad,FAST(Karachi),Computer Science,Sindh,Lecturer,BE,NED University of Engineering And Technology,Pakistan,2011.0,,
1288,1289,Muhammad Danish Khan,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,ISRA University,Pakistan,2015.0,"VANETs, Databases, Data Mining, IoT, Natural Language Processing",
1289,1290,Murk Marvi,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Mehran University of Engineering & Technology,Pakistan,2015.0,,
1290,1291,Naila Shah,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,University of Kent,UK,2006.0,,
1291,1292,Nausheen Shoaib,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Hamdard University,Pakistan,2013.0,,
1292,1293,Sehrish Hina,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Bahauddin Zakariya University,Pakistan,2014.0,,
1293,1294,Shahar Bano Husnine,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2007.0,,
1294,1295,Shoaib Raza,FAST(Karachi),Computer Science,Sindh,Lecturer,BS,University of Karachi,Pakistan,2012.0,,
1295,1296,Subhash Sagar,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,South Asian University,Pakistan,2016.0,,
1296,1297,Syeda Rubab Manzar,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,National University of Sciences and Technology,Pakistan,2009.0,"Software Engineering, Database Systems, Algorithms",
1297,1298,Tania Iram,FAST(Karachi),Computer Science,Sindh,Lecturer,BS,Bahauddin Zakariya University,Pakistan,2000.0,,
1298,1299,Zeeshan Khan,FAST(Karachi),Computer Science,Sindh,Lecturer,MS,Capital University of Science and Technology,Pakistan,2015.0,,
1301,1302,Dr. Nadeem Mahmood,University of Karachi,Computer Science,Sindh,Associate Professor,Post Doc,"International Islamic University,Islamabad",Malaysia,,"Temporal and Spatial Database Systems, Artificial Intelligence, Health Information Systems, Software Engineering ",
1302,1303,Mr. Badar Sami,University of Karachi,Computer Science,Sindh,Assistant Professor,MCS,University of Karachi,Pakistan,,"Languages, Software Development, Information Mgmt & Operating Systems ",PhD candidate
