firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Betty,Williams,GB,GB,female,1976,peace,2,,,,May,77,33
Mairead,Corrigan,GB,,female,1976,peace,2,,,,Jan,76,32
Anwar,al-Sadat,EG,EG,male,1978,peace,2,,,,Dec,63,60
Menachem,Begin,BY,IL,male,1978,peace,2,,,,Aug,79,65
Anjezë Gonxhe,Bojaxhiu,MK,IN,female,1979,peace,1,,,,Aug,87,69
Adolfo,Pérez Esquivel,AR,,male,1980,peace,1,,,,Nov,89,49
Alva,Myrdal,SE,SE,female,1982,peace,2,,,,Jan,84,80
Alfonso,García Robles,MX,MX,male,1982,peace,2,,,,Mar,80,71
Lech,Walesa,PL,,male,1983,peace,1,,,,Sep,77,40
Desmond,Tutu,ZA,,male,1984,peace,1,,,,Oct,89,53
Elie,Wiesel,RO,US,male,1986,peace,1,,,,Sep,88,58
Oscar,Arias Sánchez,CR,,male,1987,peace,1,,,,Sep,80,47
Lhamo,Thondup,CN,,male,1989,peace,1,,,,Jul,85,54
Mikhail,Gorbachev,RU,,male,1990,peace,1,,,,Mar,89,59
Aung San Suu Kyi,,MM,,female,1991,peace,1,,,,Jun,75,46
Rigoberta,Menchú Tum,GT,,female,1992,peace,1,,,,Jan,61,33
Nelson,Mandela,ZA,ZA,male,1993,peace,2,,,,Jul,95,75
F.W.,de Klerk,ZA,,male,1993,peace,2,,,,Mar,84,57
Yasser,Arafat,EG,FR,male,1994,peace,3,,,,Aug,75,65
Shimon,Peres,BY,IL,male,1994,peace,3,,,,Aug,93,71
Yitzhak,Rabin,IL,IL,male,1994,peace,3,,,,Mar,73,72
Joseph,Rotblat,PL,GB,male,1995,peace,2,,,,Nov,97,87
Carlos Filipe Ximenes,Belo,TL,,male,1996,peace,2,,,,Feb,72,48
José,Ramos-Horta,TL,,male,1996,peace,2,,,,Dec,71,47
Jody,Williams,US,,female,1997,peace,2,,,,Oct,70,47
John,Hume,GB,,male,1998,peace,2,,,,Jan,83,61
David,Trimble,GB,,male,1998,peace,2,,,,Oct,76,54
Sully,Prudhomme,FR,FR,male,1901,literature,1,,,,Mar,68,62
Theodor,Mommsen,DE,DE,male,1902,literature,1,,,,Nov,86,85
Bjørnstjerne,Bjørnson,NO,FR,male,1903,literature,1,,,,Dec,78,71
Frédéric,Mistral,FR,FR,male,1904,literature,2,,,,Sep,84,74
José,Echegaray,ES,ES,male,1904,literature,2,,,,Apr,84,72
Henryk,Sienkiewicz,PL,CH,male,1905,literature,1,,,,May,70,59
Giosuè,Carducci,IT,IT,male,1906,literature,1,,,,Jul,72,71
Rudyard,Kipling,IN,GB,male,1907,literature,1,,,,Dec,71,42
Rudolf,Eucken,DE,DE,male,1908,literature,1,,,,Jan,80,62
Selma,Lagerlöf,SE,SE,female,1909,literature,1,,,,Nov,82,51
Paul,Heyse,DE,DE,male,1910,literature,1,,,,Mar,84,80
Maurice,Maeterlinck,BE,FR,male,1911,literature,1,,,,Aug,87,49
Gerhart,Hauptmann,PL,PL,male,1912,literature,1,,,,Nov,84,50
Rabindranath,Tagore,IN,IN,male,1913,literature,1,,,,May,80,52
Romain,Rolland,FR,FR,male,1915,literature,1,,,,Jan,78,49
Verner,von Heidenstam,SE,SE,male,1916,literature,1,,,,Jul,81,57
Karl,Gjellerup,DK,DE,male,1917,literature,2,,,,Jun,62,60
Henrik,Pontoppidan,DK,DK,male,1917,literature,2,,,,Jul,86,60
Carl,Spitteler,CH,CH,male,1919,literature,1,,,,Apr,79,74
Knut,Hamsun,NO,NO,male,1920,literature,1,,,,Aug,93,61
Anatole,France,FR,FR,male,1921,literature,1,,,,Apr,80,77
Jacinto,Benavente,ES,ES,male,1922,literature,1,,,,Aug,88,56
William Butler,Yeats,IE,FR,male,1923,literature,1,,,,Jun,74,58
Wladyslaw,Reymont,PL,PL,male,1924,literature,1,,,,May,58,57
George Bernard,Shaw,IE,GB,male,1925,literature,1,,,,Jul,94,69
Grazia,Deledda,IT,IT,female,1926,literature,1,,,,Sep,65,55
Henri,Bergson,FR,FR,male,1927,literature,1,,,,Oct,82,68
Sigrid,Undset,DK,NO,female,1928,literature,1,,,,May,67,46
Thomas,Mann,DE,CH,male,1929,literature,1,,,,Jun,80,54
Sinclair,Lewis,US,IT,male,1930,literature,1,,,,Feb,66,45
Erik Axel,Karlfeldt,SE,SE,male,1931,literature,1,,,,Jul,67,67
John,Galsworthy,GB,GB,male,1932,literature,1,,,,Aug,66,65
Ivan,Bunin,RU,FR,male,1933,literature,1,,,,Oct,83,63
Luigi,Pirandello,IT,IT,male,1934,literature,1,,,,Jun,69,67
Eugene,O'Neill,US,US,male,1936,literature,1,,,,Oct,65,48
Roger,Martin du Gard,FR,FR,male,1937,literature,1,,,,Mar,77,56
Pearl,Buck,US,US,female,1938,literature,1,,,,Jun,81,46
Frans Eemil,Sillanpää,FI,FI,male,1939,literature,1,,,,Sep,76,51
Johannes V.,Jensen,DK,DK,male,1944,literature,1,,,,Jan,77,71
Gabriela,Mistral,CL,US,female,1945,literature,1,,,,Apr,68,56
Hermann,Hesse,DE,CH,male,1946,literature,1,,,,Jul,85,69
André,Gide,FR,FR,male,1947,literature,1,,,,Nov,82,78
T.S.,Eliot,US,GB,male,1948,literature,1,,,,Sep,77,60
William,Faulkner,US,US,male,1949,literature,1,,,,Sep,65,52
Bertrand,Russell,GB,GB,male,1950,literature,1,,,,May,98,78
Pär,Lagerkvist,SE,SE,male,1951,literature,1,,,,May,83,60
François,Mauriac,FR,FR,male,1952,literature,1,,,,Oct,85,67
Winston,Churchill,GB,GB,male,1953,literature,1,,,,Nov,91,79
Ernest,Hemingway,US,US,male,1954,literature,1,,,,Jul,62,55
Halldór,Laxness,IS,IS,male,1955,literature,1,,,,Apr,96,53
Juan Ramón,Jiménez,ES,PR,male,1956,literature,1,,,,Dec,77,75
Albert,Camus,DZ,FR,male,1957,literature,1,,,,Nov,47,44
Boris,Pasternak,RU,RU,male,1958,literature,1,,,,Feb,70,68
Salvatore,Quasimodo,IT,IT,male,1959,literature,1,,,,Aug,67,58
Saint-John,Perse,GP,FR,male,1960,literature,1,,,,May,88,73
Ivo,Andric,BA,RS,male,1961,literature,1,,,,Oct,83,69
John,Steinbeck,US,US,male,1962,literature,1,,,,Feb,66,60
Giorgos,Seferis,TR,GR,male,1963,literature,1,,,,Mar,71,63
Jean-Paul,Sartre,FR,FR,male,1964,literature,1,,,,Jun,75,59
Mikhail,Sholokhov,RU,RU,male,1965,literature,1,,,,May,79,60
Shmuel,Agnon,UA,IL,male,1966,literature,2,,,,Jul,82,78
Nelly,Sachs,DE,SE,female,1966,literature,2,,,,Dec,79,75
Miguel Angel,Asturias,GT,ES,male,1967,literature,1,,,,Oct,75,68
Yasunari,Kawabata,JP,JP,male,1968,literature,1,,,,Jun,73,69
Samuel,Beckett,IE,FR,male,1969,literature,1,,,,Apr,83,63
Alexandr,Solzhenitsyn,RU,RU,male,1970,literature,1,,,,Dec,90,52
Pablo,Neruda,CL,CL,male,1971,literature,1,,,,Jul,69,67
Heinrich,Böll,DE,DE,male,1972,literature,1,,,,Dec,68,55
Patrick,White,GB,AU,male,1973,literature,1,,,,May,78,61
Eyvind,Johnson,SE,SE,male,1974,literature,2,,,,Jul,76,74
Harry,Martinson,SE,SE,male,1974,literature,2,,,,May,74,70
Eugenio,Montale,IT,IT,male,1975,literature,1,,,,Oct,85,79
Saul,Bellow,CA,US,male,1976,literature,1,,,,Jun,90,61
Vicente,Aleixandre,ES,ES,male,1977,literature,1,,,,Apr,86,79
Isaac Bashevis,Singer,PL,US,male,1978,literature,1,,,,Jul,87,74
Odysseus,Elytis,GR,GR,male,1979,literature,1,,,,Nov,85,68
Czeslaw,Milosz,LT,PL,male,1980,literature,1,,,,Jun,93,69
Elias,Canetti,BG,CH,male,1981,literature,1,,,,Jul,89,76
Gabriel,García Márquez,CO,MX,male,1982,literature,1,,,,Mar,87,55
William,Golding,GB,GB,male,1983,literature,1,,,,Sep,82,72
Jaroslav,Seifert,CZ,CZ,male,1984,literature,1,,,,Sep,85,83
Claude,Simon,MG,FR,male,1985,literature,1,,,,Oct,92,72
Wole,Soyinka,NG,,male,1986,literature,1,,,,Jul,86,52
Joseph,Brodsky,RU,US,male,1987,literature,1,,,,May,56,47
Naguib,Mahfouz,EG,EG,male,1988,literature,1,,,,Dec,95,77
Camilo José,Cela,ES,ES,male,1989,literature,1,,,,May,86,73
Octavio,Paz,MX,MX,male,1990,literature,1,,,,Mar,84,76
Nadine,Gordimer,ZA,ZA,female,1991,literature,1,,,,Nov,91,68
Derek,Walcott,LC,LC,male,1992,literature,1,,,,Jan,87,62
Toni,Morrison,US,US,female,1993,literature,1,,,,Feb,88,62
Kenzaburo,Oe,JP,,male,1994,literature,1,,,,Jan,85,59
Seamus,Heaney,GB,IE,male,1995,literature,1,,,,Apr,74,56
Wislawa,Szymborska,PL,PL,female,1996,literature,1,,,,Jul,89,73
Dario,Fo,IT,IT,male,1997,literature,1,,,,Mar,90,71
José,Saramago,PT,ES,male,1998,literature,1,,,,Nov,88,76
Günter,Grass,PL,DE,male,1999,literature,1,,,,Oct,88,72
Ragnar,Frisch,NO,NO,male,1969,economics,2,University of Oslo,Oslo,Norway,Mar,78,74
Jan,Tinbergen,NL,NL,male,1969,economics,2,The Netherlands School of Economics,Rotterdam,the Netherlands,Apr,91,66
Paul A.,Samuelson,US,US,male,1970,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,94,55
Simon,Kuznets,BY,US,male,1971,economics,1,Harvard University,Cambridge MA,USA,Apr,84,70
John R.,Hicks,GB,GB,male,1972,economics,2,All Souls College,Oxford,United Kingdom,Apr,85,68
Kenneth J.,Arrow,US,US,male,1972,economics,2,Harvard University,Cambridge MA,USA,Aug,96,51
Wassily,Leontief,RU,US,male,1973,economics,1,Harvard University,Cambridge MA,USA,Aug,93,67
Gunnar,Myrdal,SE,SE,male,1974,economics,2,,,,Dec,89,76
Friedrich,von Hayek,AT,DE,male,1974,economics,2,,,,May,93,75
Leonid Vitaliyevich,Kantorovich,RU,RU,male,1975,economics,2,Academy of Sciences,Moscow,USSR (now Russia),Jan,74,63
Tjalling C.,Koopmans,NL,US,male,1975,economics,2,Yale University,New Haven CT,USA,Aug,75,65
Milton,Friedman,US,US,male,1976,economics,1,University of Chicago,Chicago IL,USA,Jul,94,64
Bertil,Ohlin,SE,SE,male,1977,economics,2,Stockholm School of Economics,Stockholm,Sweden,Apr,80,78
James E.,Meade,GB,GB,male,1977,economics,2,University of Cambridge,Cambridge,United Kingdom,Jun,88,70
Herbert,Simon,US,US,male,1978,economics,1,Carnegie Mellon University,Pittsburgh PA,USA,Jun,85,62
Theodore W.,Schultz,US,US,male,1979,economics,2,University of Chicago,Chicago IL,USA,Apr,96,77
Sir Arthur,Lewis,LC,BB,male,1979,economics,2,Princeton University,Princeton NJ,USA,Jan,76,64
Lawrence R.,Klein,US,US,male,1980,economics,1,University of Pennsylvania,Philadelphia PA,USA,Sep,93,60
James,Tobin,US,US,male,1981,economics,1,Yale University,New Haven CT,USA,Mar,84,63
George J.,Stigler,US,US,male,1982,economics,1,University of Chicago,Chicago IL,USA,Jan,80,71
Gerard,Debreu,FR,FR,male,1983,economics,1,University of California,Berkeley CA,USA,Jul,83,62
Richard,Stone,GB,GB,male,1984,economics,1,University of Cambridge,Cambridge,United Kingdom,Aug,78,71
Franco,Modigliani,IT,US,male,1985,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jun,85,67
James M.,Buchanan Jr.,US,US,male,1986,economics,1,Center for Study of Public Choice,Fairfax VA,USA,Oct,94,67
Robert M.,Solow,US,,male,1987,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,96,63
Maurice,Allais,FR,FR,male,1988,economics,1,École Nationale Supérieur des Mines de Paris,Paris,France,May,99,77
Trygve,Haavelmo,NO,NO,male,1989,economics,1,University of Oslo,Oslo,Norway,Dec,88,78
Harry M.,Markowitz,US,,male,1990,economics,3,City University of New York,New York NY,USA,Aug,93,63
Merton H.,Miller,US,US,male,1990,economics,3,University of Chicago,Chicago IL,USA,May,77,67
William F.,Sharpe,US,,male,1990,economics,3,Stanford University,Stanford CA,USA,Jun,86,56
Ronald H.,Coase,GB,US,male,1991,economics,1,University of Chicago,Chicago IL,USA,Dec,103,81
Gary,Becker,US,US,male,1992,economics,1,University of Chicago,Chicago IL,USA,Dec,84,62
Robert W.,Fogel,US,US,male,1993,economics,2,University of Chicago,Chicago IL,USA,Jul,86,66
Douglass C.,North,US,US,male,1993,economics,2,Washington University,St. Louis MO,USA,Nov,95,73
John C.,Harsanyi,HU,US,male,1994,economics,3,University of California,Berkeley CA,USA,May,80,74
John F.,Nash Jr.,US,US,male,1994,economics,3,Princeton University,Princeton NJ,USA,Jun,87,66
Reinhard,Selten,PL,PL,male,1994,economics,3,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,Oct,86,64
Robert E.,Lucas Jr.,US,,male,1995,economics,1,University of Chicago,Chicago IL,USA,Sep,83,58
James A.,Mirrlees,GB,GB,male,1996,economics,2,University of Cambridge,Cambridge,United Kingdom,Jul,82,60
William,Vickrey,CA,US,male,1996,economics,2,Columbia University,New York NY,USA,Jun,82,82
Robert C.,Merton,US,,male,1997,economics,2,Harvard University,Cambridge MA,USA,Jul,76,53
Myron,Scholes,CA,,male,1997,economics,2,Long Term Capital Management,Greenwich CT,USA,Jul,79,56
Amartya,Sen,IN,,male,1998,economics,1,Trinity College,Cambridge,United Kingdom,Nov,87,65
Robert,Mundell,CA,,male,1999,economics,1,Columbia University,New York NY,USA,Oct,88,67
Il´ja M.,Frank,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Oct,82,50
Arvid,Carlsson,SE,SE,male,2000,medicine,3,Göteborg University,Gothenburg,Sweden,Jan,95,77
Paul,Greengard,US,US,male,2000,medicine,3,Rockefeller University,New York NY,USA,Dec,94,75
Eric,Kandel,AT,,male,2000,medicine,3,Columbia University,New York NY,USA,Nov,91,71
Kim,Dae-jung,KR,,male,2000,peace,1,,,,Dec,84,75
Zhores,Alferov,BY,RU,male,2000,physics,4,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,Mar,89,70
Herbert,Kroemer,DE,,male,2000,physics,4,University of California,Santa Barbara CA,USA,Aug,92,72
Jack,Kilby,US,US,male,2000,physics,2,Texas Instruments,Dallas TX,USA,Nov,82,77
Alan,Heeger,US,,male,2000,chemistry,3,University of California,Santa Barbara CA,USA,Jan,84,64
Alan,MacDiarmid,NZ,US,male,2000,chemistry,3,University of Pennsylvania,Philadelphia PA,USA,Apr,80,73
Hideki,Shirakawa,JP,,male,2000,chemistry,3,University of Tsukuba,Tokyo,Japan,Aug,84,64
James J.,Heckman,US,,male,2000,economics,2,University of Chicago,Chicago IL,USA,Apr,76,56
Daniel L.,McFadden,US,,male,2000,economics,2,University of California,Berkeley CA,USA,Jul,83,63
Xingjian,Gao,CN,,male,2000,literature,1,,,,Jan,80,60
Leland,Hartwell,US,,male,2001,medicine,3,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Oct,81,62
Tim,Hunt,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Feb,77,58
Sir Paul,Nurse,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Jan,71,52
Eric,Cornell,US,,male,2001,physics,3,University of Colorado JILA,Boulder CO,USA,Dec,59,40
Wolfgang,Ketterle,DE,,male,2001,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Oct,63,44
Carl,Wieman,US,,male,2001,physics,3,University of Colorado JILA,Boulder CO,USA,Mar,69,50
William,Knowles,US,US,male,2001,chemistry,4,,,,Jun,95,84
Ryoji,Noyori,JP,,male,2001,chemistry,4,Nagoya University,Nagoya,Japan,Sep,82,63
Barry,Sharpless,US,,male,2001,chemistry,2,The Scripps Research Institute,La Jolla CA,USA,Apr,79,60
George A.,Akerlof,US,,male,2001,economics,3,University of California,Berkeley CA,USA,Jun,80,61
A. Michael,Spence,US,,male,2001,economics,3,Stanford University,Stanford CA,USA,Nov,77,58
Joseph E.,Stiglitz,US,,male,2001,economics,3,Columbia University,New York NY,USA,Feb,77,58
V. S.,Naipaul,TT,GB,male,2001,literature,1,,,,Aug,86,69
Kofi,Annan,GH,CH,male,2001,peace,2,,,,Apr,80,63
Sydney,Brenner,ZA,SG,male,2002,medicine,3,The Molecular Sciences Institute,Berkeley CA,USA,Jan,92,75
H. Robert,Horvitz,US,,male,2002,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,73,55
John E.,Sulston,GB,,male,2002,medicine,3,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,Mar,76,60
Raymond,Davis Jr.,US,US,male,2002,physics,4,University of Pennsylvania,Philadelphia PA,USA,Oct,92,88
Masatoshi,Koshiba,JP,,male,2002,physics,4,University of Tokyo,Tokyo,Japan,Sep,94,76
Riccardo,Giacconi,IT,US,male,2002,physics,2,Associated Universities Inc.,Washington DC,USA,Oct,87,71
John B.,Fenn,US,US,male,2002,chemistry,4,Virginia Commonwealth University,Richmond VA,USA,Jun,93,85
Koichi,Tanaka,JP,,male,2002,chemistry,4,Shimadzu Corp.,Kyoto,Japan,Aug,61,43
Kurt,Wüthrich,CH,,male,2002,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Oct,82,64
Daniel,Kahneman,IL,,male,2002,economics,2,Princeton University,Princeton NJ,USA,Mar,86,68
Vernon L.,Smith,US,,male,2002,economics,2,George Mason University,Fairfax VA,USA,Jan,93,75
Imre,Kertész,HU,HU,male,2002,literature,1,,,,Nov,87,73
Jimmy,Carter,US,,male,2002,peace,1,,,,Oct,96,78
J. M.,Coetzee,ZA,,male,2003,literature,1,,,,Feb,80,63
Paul C.,Lauterbur,US,US,male,2003,medicine,2,University of Illinois,Urbana IL,USA,May,78,74
Sir Peter,Mansfield,GB,,male,2003,medicine,2,University of Nottingham School of Physics and Astronomy,Nottingham,United Kingdom,Oct,84,70
Alexei,Abrikosov,RU,,male,2003,physics,3,Argonne National Laboratory,Argonne IL,USA,Jun,89,75
Vitaly L.,Ginzburg,RU,,male,2003,physics,3,P.N. Lebedev Physical Institute,Moscow,Russia,Oct,93,87
Anthony J.,Leggett,GB,,male,2003,physics,3,University of Illinois,Urbana IL,USA,Mar,82,65
Peter,Agre,US,,male,2003,chemistry,2,Johns Hopkins University School of Medicine,Baltimore MD,USA,Jan,71,54
Roderick,MacKinnon,US,,male,2003,chemistry,2,Rockefeller University,New York NY,USA,Feb,64,47
Robert F.,Engle III,US,,male,2003,economics,2,New York University,New York NY,USA,Nov,78,61
Clive W.J.,Granger,GB,US,male,2003,economics,2,University of California,San Diego CA,USA,Sep,75,69
Shirin,Ebadi,IR,,female,2003,peace,1,,,,Jun,73,56
Richard,Axel,US,,male,2004,medicine,2,Columbia University,New York NY,USA,Jul,74,58
Linda B.,Buck,US,,female,2004,medicine,2,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Jan,73,57
David J.,Gross,US,,male,2004,physics,3,University of California Kavli Institute for Theoretical Physics,Santa Barbara CA,USA,Feb,79,63
H. David,Politzer,US,,male,2004,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,71,55
Frank,Wilczek,US,,male,2004,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,69,53
Aaron,Ciechanover,IL,,male,2004,chemistry,3,Technion - Israel Institute of Technology,Haifa,Israel,Oct,73,57
Avram,Hershko,HU,,male,2004,chemistry,3,Technion - Israel Institute of Technology,Haifa,Israel,Dec,83,67
Irwin,Rose,US,US,male,2004,chemistry,3,University of California,Irvine CA,USA,Jul,89,78
Elfriede,Jelinek,AT,,female,2004,literature,1,,,,Oct,74,58
Wangari,Maathai,KE,KE,female,2004,peace,1,,,,Apr,71,64
Finn E.,Kydland,NO,,male,2004,economics,2,Carnegie Mellon University,Pittsburgh PA,USA,Dec,77,61
Edward C.,Prescott,US,,male,2004,economics,2,Arizona State University,Tempe AZ,USA,Dec,80,64
Barry J.,Marshall,AU,,male,2005,medicine,2,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,Sep,69,54
J. Robin,Warren,AU,,male,2005,medicine,2,,,,Jun,83,68
Roy J.,Glauber,US,US,male,2005,physics,2,Harvard University,Cambridge MA,USA,Sep,93,80
John L.,Hall,US,,male,2005,physics,4,University of Colorado JILA,Boulder CO,USA,Aug,86,71
Theodor W.,Hänsch,DE,,male,2005,physics,4,Max-Planck-Institut für Quantenoptik,Garching,Germany,Oct,79,64
Yves,Chauvin,BE,FR,male,2005,chemistry,3,Institut Français du Pétrole,Rueil-Malmaison,France,Oct,85,75
Robert H.,Grubbs,US,,male,2005,chemistry,3,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,78,63
Richard R.,Schrock,US,,male,2005,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,75,60
Mohamed,ElBaradei,EG,,male,2005,peace,2,,,,Jun,78,63
Robert J.,Aumann,DE,,male,2005,economics,2,University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,Jun,90,75
Thomas C.,Schelling,US,US,male,2005,economics,2,University of Maryland Department of Economics and School of Public Policy,College Park MD,USA,Apr,95,84
Harold,Pinter,GB,GB,male,2005,literature,1,,,,Oct,78,75
Andrew Z.,Fire,US,,male,2006,medicine,2,Stanford University School of Medicine,Stanford CA,USA,Apr,61,47
Craig C.,Mello,US,,male,2006,medicine,2,University of Massachusetts Medical School,Worcester MA,USA,Oct,60,46
John C.,Mather,US,,male,2006,physics,2,NASA Goddard Space Flight Center,Greenbelt MD,USA,Aug,74,60
George F.,Smoot,US,,male,2006,physics,2,University of California,Berkeley CA,USA,Feb,75,61
Roger D.,Kornberg,US,,male,2006,chemistry,1,Stanford University,Stanford CA,USA,Apr,73,59
Edmund S.,Phelps,US,,male,2006,economics,1,Columbia University,New York NY,USA,Jul,87,73
Orhan,Pamuk,TR,,male,2006,literature,1,,,,Jun,68,54
Muhammad,Yunus,BD,,male,2006,peace,2,,,,Jun,80,66
Mario R.,Capecchi,IT,,male,2007,medicine,3,University of Utah,Salt Lake City UT,USA,Oct,83,70
Sir Martin J.,Evans,GB,,male,2007,medicine,3,Cardiff University,Cardiff,United Kingdom,Jan,79,66
Oliver,Smithies,GB,US,male,2007,medicine,3,University of North Carolina,Chapel Hill NC,USA,Jun,92,82
Albert,Fert,FR,,male,2007,physics,2,Universit&eacute; Paris-Sud,Orsay,France,Mar,82,69
Peter,Grünberg,CZ,DE,male,2007,physics,2,Forschungszentrum J&uuml;lich,Jülich,Germany,May,79,68
Gerhard,Ertl,DE,,male,2007,chemistry,1,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Oct,84,71
Doris,Lessing,IR,GB,female,2007,literature,1,,,,Oct,94,88
Al,Gore,US,,male,2007,peace,2,,,,Mar,72,59
Leonid,Hurwicz,RU,US,male,2007,economics,3,University of Minnesota,Minneapolis MN,USA,Aug,91,90
Eric S.,Maskin,US,,male,2007,economics,3,Institute for Advanced Study,Princeton NJ,USA,Dec,70,57
Roger B.,Myerson,US,,male,2007,economics,3,University of Chicago,Chicago IL,USA,Mar,69,56
Harald,zur Hausen,DE,,male,2008,medicine,2,German Cancer Research Center,Heidelberg,Germany,Mar,84,72
Françoise,Barré-Sinoussi,FR,,female,2008,medicine,4,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,Jul,73,61
Luc,Montagnier,FR,,male,2008,medicine,4,World Foundation for AIDS Research and Prevention,Paris,France,Aug,88,76
Yoichiro,Nambu,JP,JP,male,2008,physics,2,Enrico Fermi Institute University of Chicago,Chicago IL,USA,Jan,94,87
Makoto,Kobayashi,JP,,male,2008,physics,4,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,Apr,76,64
Toshihide,Maskawa,JP,,male,2008,physics,4,Kyoto Sangyo University,Kyoto,Japan,Feb,80,68
Osamu,Shimomura,JP,JP,male,2008,chemistry,3,Marine Biological Laboratory (MBL),Woods Hole MA,USA,Aug,90,80
Martin,Chalfie,US,,male,2008,chemistry,3,Columbia University,New York NY,USA,Jan,73,61
Roger Y.,Tsien,US,US,male,2008,chemistry,3,University of California,San Diego CA,USA,Feb,64,56
Jean-Marie Gustave,Le Clézio,FR,,male,2008,literature,1,,,,Apr,80,68
Martti,Ahtisaari,FI,,male,2008,peace,1,,,,Jun,83,71
Paul,Krugman,US,,male,2008,economics,1,Princeton University,Princeton NJ,USA,Feb,67,55
Elizabeth H.,Blackburn,AU,,female,2009,medicine,3,University of California,San Francisco CA,USA,Nov,72,61
Carol W.,Greider,US,,female,2009,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Apr,59,48
Jack W.,Szostak,GB,,male,2009,medicine,3,Harvard Medical School,Boston MA,USA,Nov,68,57
Charles K.,Kao,CN,,male,2009,physics,2,Standard Telecommunication Laboratories,Harlow,United Kingdom,Nov,85,76
Willard S.,Boyle,CA,CA,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,Aug,87,85
George E.,Smith,US,,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,May,90,79
Venkatraman,Ramakrishnan,IN,,male,2009,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,68,57
Thomas A.,Steitz,US,US,male,2009,chemistry,3,Yale University,New Haven CT,USA,Aug,78,69
Ada E.,Yonath,IL,,female,2009,chemistry,3,Weizmann Institute of Science,Rehovot,Israel,Jun,81,70
Herta,Müller,RO,,female,2009,literature,1,,,,Aug,67,56
Barack,Obama,US,,male,2009,peace,1,,,,Aug,59,48
Elinor,Ostrom,US,US,female,2009,economics,2,Indiana University,Bloomington IN,USA,Aug,79,76
Oliver E.,Williamson,US,,male,2009,economics,2,University of California,Berkeley CA,USA,Sep,88,77
Robert G.,Edwards,GB,GB,male,2010,medicine,1,University of Cambridge,Cambridge,United Kingdom,Sep,88,85
Andre,Geim,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Oct,62,52
Konstantin,Novoselov,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Aug,46,36
Richard F.,Heck,US,PH,male,2010,chemistry,3,University of Delaware,,USA,Aug,84,79
Ei-ichi,Negishi,CN,,male,2010,chemistry,3,Purdue University,West Lafayette IN,USA,Jul,85,75
Akira,Suzuki,JP,,male,2010,chemistry,3,Hokkaido University,Sapporo,Japan,Sep,90,80
Mario,Vargas Llosa,PE,,male,2010,literature,1,,,,Mar,84,74
Xiaobo,Liu,CN,CN,male,2010,peace,1,,,,Dec,62,55
Peter A.,Diamond,US,,male,2010,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,80,70
Dale T.,Mortensen,US,US,male,2010,economics,3,Northwestern University,Evanston IL,USA,Feb,75,71
Christopher A.,Pissarides,CY,,male,2010,economics,3,London School of Economics and Political Science,London,United Kingdom,Feb,72,62
Bruce A.,Beutler,US,,male,2011,medicine,4,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Dec,63,54
Jules A.,Hoffmann,LU,,male,2011,medicine,4,University of Strasbourg,Strasbourg,France,Aug,79,70
Ralph M.,Steinman,CA,,male,2011,medicine,2,Rockefeller University,New York NY,USA,Jan,68,68
Saul,Perlmutter,US,,male,2011,physics,2,Lawrence Berkeley National Laboratory,Berkeley CA,USA,Sep,61,52
Brian P.,Schmidt,US,,male,2011,physics,4,Australian National University,Weston Creek,Australia,Feb,53,44
