rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1434,2100,Fashion & Retail,Edward Stack,68,United States,Sewickley,Dick's Sporting Goods,Fashion & Retail,United States,Dick's Sporting Goods,TRUE,U,M,12/27/1954 0:00,Stack,Edward,Chairman and CEO,4/4/2023 5:01,Pennsylvania,Northeast,1954,12,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,Food & Beverage,Sun Mengquan & family,73,China,Yantai,Edible oil,Food & Beverage,China,,TRUE,D,M,3/1/1950 0:00,Sun,Mengquan,,4/4/2023 5:01,,,1950,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Finance & Investments,Alexander Svetakov,55,Russia,Moscow,Real estate,Finance & Investments,Russia,,TRUE,D,M,2/15/1968 0:00,Svetakov,Alexander,,4/4/2023 5:01,,,1968,2,15,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
1434,2100,Fashion & Retail,Torsten Toeller,56,Germany,Krefeld,Pet food,Fashion & Retail,Germany,,TRUE,D,M,4/6/1966 0:00,Toeller,Torsten,,4/4/2023 5:01,,,1966,4,6,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1434,2100,Food & Beverage,Barbara Tyson,74,United States,Fayetteville,Food processing,Food & Beverage,United States,,FALSE,N,F,3/6/1949 0:00,Tyson,Barbara,,4/4/2023 5:01,Arkansas,South,1949,3,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,Food & Beverage,Hamdi Ulukaya,50,United States,Norwich,Greek yogurt,Food & Beverage,Turkey,Chobani,TRUE,D,M,10/26/1972 0:00,Ulukaya,Hamdi,Founder and CEO,4/4/2023 5:01,New York,Northeast,1972,10,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,Construction & Engineering,Wang Linpeng,54,China,Beijing,Furniture retailing,Construction & Engineering,China,,TRUE,D,M,5/1/1968 0:00,Wang,Linpeng,,4/4/2023 5:01,,,1968,5,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Food & Beverage,Wei Ing-Chou,69,China,Tianjin,"Food, beverages",Food & Beverage,Taiwan,,TRUE,U,M,7/1/1953 0:00,Wei,Ing-Chou,,4/4/2023 5:01,,,1953,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Food & Beverage,Wei Yin-Chun,66,Taiwan,Taipei,"Food, beverages",Food & Beverage,Taiwan,,TRUE,U,M,3/8/1957 0:00,Wei,Yin-Chun,,4/4/2023 5:01,,,1957,3,8,,,,,,,,,,,
1434,2100,Food & Beverage,Wei Yin-Heng,64,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,,TRUE,U,M,1/1/1959 0:00,Wei,Yin-Heng,,4/4/2023 5:01,,,1959,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Food & Beverage,Wei Ying-Chiao,68,Taiwan,Taipei,"Food, beverages",Food & Beverage,Taiwan,,TRUE,U,M,2/4/1955 0:00,Wei,Ying-Chiao,,4/4/2023 5:01,,,1955,2,4,,,,,,,,,,,
1434,2100,Gambling & Casinos,Elaine Wynn,80,United States,Las Vegas,"Casinos, hotels",Gambling & Casinos,United States,"Wynn Las Vegas, LLC",TRUE,U,F,4/28/1942 0:00,Wynn,Elaine,Board Member,4/4/2023 5:01,Nevada,West,1942,4,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,Automotive,Xu Xudong & family,53,China,Ningbo,Auto parts,Automotive,China,,TRUE,U,M,3/1/1970 0:00,Xu,Xudong,,4/4/2023 5:01,,,1970,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Fashion & Retail,Michael Ying,73,Hong Kong,Hong Kong,Retail,Fashion & Retail,Hong Kong,,TRUE,U,M,12/1/1949 0:00,Ying,Michael,,4/4/2023 5:01,,,1949,12,1,,,,,,,,,,,
1434,2100,Manufacturing,Yu Qibing & family,57,China,Ningbo,Glass,Manufacturing,China,,TRUE,D,M,11/1/1965 0:00,Yu,Qibing,,4/4/2023 5:01,,,1965,11,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Manufacturing,Yuan Fugen & family,72,China,Suzhou,Metal processing,Manufacturing,China,,TRUE,U,M,11/15/1950 0:00,Yuan,Fugen,,4/4/2023 5:01,,,1950,11,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Manufacturing,Zhang Ning & family,49,China,Shanghai,Chemicals,Manufacturing,Canada,,TRUE,D,F,4/1/1974 0:00,Zhang,Ning,,4/4/2023 5:01,,,1974,4,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1434,2100,Healthcare,Zhao Tao,57,China,Xi'an,Pharmaceuticals,Healthcare,Singapore,,FALSE,D,M,1/1/1966 0:00,Zhao,Tao,,4/4/2023 5:01,,,1966,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Construction & Engineering,Anu Aga,80,India,Pune,Engineering,Construction & Engineering,India,,FALSE,U,F,8/1/1942 0:00,Aga,Anu,,4/4/2023 5:01,,,1942,8,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1516,2000,Fashion & Retail,Mohamed Al Fayed,94,United Kingdom,London,"Retail, investments",Fashion & Retail,Egypt,,TRUE,D,M,1/27/1929 0:00,Al Fayed,Mohamed,,4/4/2023 5:01,,,1929,1,27,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1516,2000,Technology,Andrey Andreev,49,United Kingdom,London,Online dating,Technology,United Kingdom,,TRUE,E,M,2/3/1974 0:00,Andreev,Andrey,,4/4/2023 5:01,,,1974,2,3,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1516,2000,Finance & Investments,Michael Ashcroft,77,Turks and Caicos Islands,Turks and Caicos Islands,Security,Finance & Investments,United Kingdom,,TRUE,D,M,1/1/1946 0:00,Ashcroft,Michael,,4/4/2023 5:01,,,1946,1,1,,,,,,,,,,,
1516,2000,Technology,Pavel Baudis,62,Czech Republic,Prague,Software,Technology,Czech Republic,,TRUE,D,M,5/15/1960 0:00,Baudis,Pavel,,4/4/2023 5:01,,,1960,5,15,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79,14.9,46.1,10669709,49.817492,15.472962
1516,2000,Healthcare,Wilhelm Beier & family,66,Germany,,Pharmaceuticals,Healthcare,Germany,,TRUE,D,M,4/21/1956 0:00,Beier,Wilhelm,,4/4/2023 5:01,,,1956,4,21,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1516,2000,Manufacturing,Cao Jianwei,44,China,Shangyu,Semiconductors,Manufacturing,China,,TRUE,E,M,5/30/1978 0:00,Cao,Jianwei,,4/4/2023 5:01,,,1978,5,30,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Manufacturing,Huwen Chen,52,China,Shanghai,Stationery,Manufacturing,China,,TRUE,D,M,7/1/1970 0:00,Chen,Huwen,,4/4/2023 5:01,,,1970,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Diversified,Phongthep Chiaravanont,71,Thailand,Bangkok,Diversified,Diversified,Thailand,,FALSE,U,M,1/1/1952 0:00,Chiaravanont,Phongthep,,4/4/2023 5:01,,,1952,1,1,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
1516,2000,Diversified,Dou Zhenggang,69,China,Hangzhou,"Energy, chemicals",Diversified,China,,TRUE,D,M,5/21/1953 0:00,Dou,Zhenggang,,4/4/2023 5:01,,,1953,5,21,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Food & Beverage,Maria Franca Fissolo,88,Monaco,Monaco,"Nutella, chocolates",Food & Beverage,Italy,,FALSE,E,F,1/1/1935 0:00,Fissolo,Maria Franca,,4/4/2023 5:01,,,1935,1,1,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
1516,2000,Diversified,William Franke,85,United States,Houston,Low-cost airlines,Diversified,United States,,TRUE,D,M,4/15/1937 0:00,Franke,William,,4/4/2023 5:01,Texas,South,1937,4,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Healthcare,Mario Germano Giuliani,51,Monaco,Monaco,Pharmaceuticals,Healthcare,Switzerland,,FALSE,D,M,2/26/1972 0:00,Giuliani,Mario Germano,,4/4/2023 5:01,,,1972,2,26,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
1516,2000,Real Estate,Amy Goldman Fowler,68,United States,Rhinebeck,Real estate,Real Estate,United States,,FALSE,D,F,4/19/1954 0:00,Goldman Fowler,Amy,,4/4/2023 5:01,New York,Northeast,1954,4,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Metals & Mining,John Hancock,47,United Kingdom,London,Mining,Metals & Mining,Australia,,FALSE,D,M,1/2/1976 0:00,Hancock,John,,4/4/2023 5:01,,,1976,1,2,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1516,2000,Technology,Hu Yangzhong,58,China,Hangzhou,Technology,Technology,China,,TRUE,D,M,3/6/1965 0:00,Hu,Yangzhong,,4/4/2023 5:01,,,1965,3,6,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Manufacturing,Huang Dawen,62,Hong Kong,Hong Kong,Silicon,Manufacturing,Hong Kong,,TRUE,D,M,11/1/1960 0:00,Huang,Dawen,,4/4/2023 5:01,,,1960,11,1,,,,,,,,,,,
1516,2000,Media & Entertainment,Huang Qiaoling,64,China,Hangzhou,Amusement parks,Media & Entertainment,China,,TRUE,U,M,11/15/1958 0:00,Huang,Qiaoling,,4/4/2023 5:01,,,1958,11,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Finance & Investments,Rajiv Jain,55,United States,Fort Lauderdale,Finance,Finance & Investments,United States,,TRUE,N,M,1/27/1968 0:00,Jain,Rajiv,,4/4/2023 5:01,Florida,South,1968,1,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Sports,Michael Jordan,60,United States,Jupiter,"Charlotte Hornets, endorsements",Sports,United States,,TRUE,U,M,2/17/1963 0:00,Jordan,Michael,Athlete,4/4/2023 5:01,Florida,South,1963,2,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Real Estate,Diane Kemper,77,United States,New York,Real estate,Real Estate,United States,,FALSE,D,F,7/21/1945 0:00,Kemper,Diane,,4/4/2023 5:01,New York,Northeast,1945,7,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Technology,Shlomo Kramer,57,Israel,Tel Aviv,"Software, investments",Technology,Israel,,TRUE,D,M,3/14/1966 0:00,Kramer,Shlomo,,4/4/2023 5:01,,,1966,3,14,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
1516,2000,Healthcare,Heikki Kyostila,77,Finland,Helsinki,Dental products,Healthcare,Finland,,TRUE,U,M,1/19/1946 0:00,Kyostila,Heikki,,4/4/2023 5:01,,,1946,1,19,112.33,1,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314,61.92411,25.748151
1516,2000,Technology,Martin Lau,50,Hong Kong,Hong Kong,E-commerce,Technology,Hong Kong,,TRUE,D,M,4/1/1973 0:00,Lau,Martin,,4/4/2023 5:01,,,1973,4,1,,,,,,,,,,,
1516,2000,Technology,Li Min,57,China,Fuzhou,Semiconductor,Technology,China,,TRUE,D,M,12/26/1965 0:00,Li,Min,,4/4/2023 5:01,,,1965,12,26,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Technology,Liang Rubo,40,China,Beijing,TikTok,Technology,China,,TRUE,D,M,1/1/1983 0:00,Liang,Rubo,,4/4/2023 5:01,,,1983,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Manufacturing,Liang Zhaoxian,58,China,Foshan,Appliances,Manufacturing,China,,FALSE,D,M,1/1/1965 0:00,Liang,Zhaoxian,,4/4/2023 5:01,,,1965,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Energy,Lin Fanlian,61,China,Linyi,"Energy, real estate",Energy,China,,TRUE,D,M,6/1/1961 0:00,Lin,Fanlian,,4/4/2023 5:01,,,1961,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Manufacturing,Aloke Lohia,64,Thailand,Bangkok,Petrochemicals,Manufacturing,India,,FALSE,D,M,11/27/1958 0:00,Lohia,Aloke,,4/4/2023 5:01,,,1958,11,27,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
1516,2000,Real Estate,Bill Malhotra,73,Canada,Ottawa,Real estate,Real Estate,Canada,,TRUE,U,M,9/8/1949 0:00,Malhotra,Bill,,4/4/2023 5:01,,,1949,9,8,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
1516,2000,Finance & Investments,Alexander Mamut,63,Israel,Tel Aviv,Investments,Finance & Investments,Russia,,TRUE,D,M,1/29/1960 0:00,Mamut,Alexander,,4/4/2023 5:01,,,1960,1,29,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
1516,2000,Telecom,Craig McCaw,73,United States,Hunts Point,Telecom,Telecom,United States,,FALSE,D,M,8/11/1949 0:00,McCaw,Craig,,4/4/2023 5:01,Washington,West,1949,8,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Manufacturing,Cunhui Nan,59,China,Wenzhou,Power equipment,Manufacturing,China,,TRUE,D,M,7/9/1963 0:00,Nan,Cunhui,,4/4/2023 5:01,,,1963,7,9,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Service,Tengyun Nie & family,47,China,Shanghai,Logistics,Service,China,,TRUE,D,M,1/24/1976 0:00,Nie,Tengyun,,4/4/2023 5:01,,,1976,1,24,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Finance & Investments,Oei Hong Leong,75,Singapore,Singapore,Investments,Finance & Investments,Singapore,,FALSE,U,M,3/21/1948 0:00,Oei,Hong Leong,,4/4/2023 5:01,,,1948,3,21,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
1516,2000,Metals & Mining,Clive Palmer,69,Australia,Brisbane,Mining,Metals & Mining,Australia,,TRUE,D,M,3/26/1954 0:00,Palmer,Clive,,4/4/2023 5:01,,,1954,3,26,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
1516,2000,Technology,Matthew Prince,48,United States,Park City,Cybersecurity,Technology,United States,,TRUE,D,M,1/1/1975 0:00,Prince,Matthew,,4/4/2023 5:01,Utah,West,1975,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Service,Linda Pritzker,69,United States,Missoula,"Hotels, investments",Service,United States,,FALSE,E,F,9/14/1953 0:00,Pritzker,Linda,,4/4/2023 5:01,Montana,West,1953,9,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Construction & Engineering,P.V. Krishna Reddy,53,India,Hyderabad,Infrastructure,Construction & Engineering,India,,TRUE,U,M,6/30/1969 0:00,Reddy,P.V. Krishna,,4/4/2023 5:01,,,1969,6,30,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1516,2000,Metals & Mining,Bianca Rinehart,46,Australia,Brisbane,Mining,Metals & Mining,Australia,,FALSE,D,F,3/19/1977 0:00,Rinehart,Bianca,,4/4/2023 5:01,,,1977,3,19,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
1516,2000,Metals & Mining,Ginia Rinehart,36,Australia,Sydney,Mining,Metals & Mining,Australia,,FALSE,D,F,9/6/1986 0:00,Rinehart,Ginia,,4/4/2023 5:01,,,1986,9,6,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
1516,2000,Finance & Investments,T. Denny Sanford,87,United States,Sioux Falls,"Banking, credit cards",Finance & Investments,United States,,TRUE,D,M,12/23/1935 0:00,Sanford,T. Denny,,4/4/2023 5:01,South Dakota,Midwest,1935,12,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Manufacturing,Bhadresh Shah,71,India,Ahmedabad,Engineering,Manufacturing,India,,TRUE,U,M,10/7/1951 0:00,Shah,Bhadresh,,4/4/2023 5:01,,,1951,10,7,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1516,2000,Media & Entertainment,Zygmunt Solorz-Zak,66,Poland,Warsaw,TV broadcasting,Media & Entertainment,Poland,,TRUE,D,M,8/4/1956 0:00,Solorz-Zak,Zygmunt,,4/4/2023 5:01,,,1956,8,4,114.11,2.2,"$592,164,400,688 ",67.8,100,77.6,17.4,40.8,37970874,51.919438,19.145136
1516,2000,Manufacturing,Michal Strnad,30,,,Defense Contracting,Manufacturing,Czech Republic,,FALSE,N,M,8/4/1992 0:00,Strnad ,Michal,,4/4/2023 5:01,,,1992,8,4,,,,,,,,,,,
1516,2000,Fashion & Retail,Sylvia Stroeher,67,Germany,Darmstadt,Cosmetics,Fashion & Retail,Germany,,FALSE,E,F,5/30/1955 0:00,Stroeher,Sylvia,,4/4/2023 5:01,,,1955,5,30,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1516,2000,Technology,Otto Toto Sugiri,69,Indonesia,Jakarta,Data centers,Technology,Indonesia,,TRUE,D,M,9/23/1953 0:00,Sugiri,Otto Toto,,4/4/2023 5:01,,,1953,9,23,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
1516,2000,Sports,Larry Tanenbaum,77,Canada,Toronto,Sports,Sports,Canada,,TRUE,N,M,7/1/1945 0:00,Tanenbaum,Larry,,4/4/2023 5:01,,,1945,7,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
1516,2000,Finance & Investments,Wichai Thongtang,76,Thailand,Bangkok,Investments,Finance & Investments,Thailand,,TRUE,E,M,1/1/1947 0:00,Thongtang,Wichai,,4/4/2023 5:01,,,1947,1,1,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
1516,2000,Finance & Investments,Ion Tiriac,83,Romania,Bucharest,"Banking, insurance",Finance & Investments,Romania,,TRUE,U,M,5/9/1939 0:00,Tiriac,Ion,,4/4/2023 5:01,,,1939,5,9,123.78,3.8,"$250,077,444,017 ",49.4,85.2,75.4,14.6,20,19356544,45.943161,24.96676
1516,2000,Metals & Mining,Hope Welker,37,United States,New York,Mining,Metals & Mining,Australia,,FALSE,D,F,8/13/1985 0:00,Welker,Hope,,4/4/2023 5:01,New York,Northeast,1985,8,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Manufacturing,William Young,82,United States,Ypsilanti,Plastics,Manufacturing,United States,,TRUE,D,M,1/1/1941 0:00,Young,William,,4/4/2023 5:01,Michigan,Midwest,1941,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,Fashion & Retail,Ales Zavoral,46,,,E-commerce,Fashion & Retail,Czech Republic,,TRUE,N,M,10/24/1976 0:00,Zavoral,Ales,,4/4/2023 5:01,,,1976,10,24,,,,,,,,,,,
1516,2000,Technology,Zhang Fan,57,China,Shenzhen,Touch screens,Technology,China,,TRUE,D,M,12/29/1965 0:00,Zhang,Fan,,4/4/2023 5:01,,,1965,12,29,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Technology,Shilong Zhang & family,57,China,Beijing,Semiconductor,Technology,China,,TRUE,D,M,1/1/1966 0:00,Zhang,Shilong,,4/4/2023 5:01,,,1966,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Manufacturing,Zhang Wanzhen,73,China,Chaozhou,Electronics components,Manufacturing,China,,TRUE,D,M,12/1/1949 0:00,Zhang,Wanzhen,,4/4/2023 5:01,,,1949,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Technology,Hongfei Zhao,48,China,Beijing,Software,Technology,China,,TRUE,D,M,6/1/1974 0:00,Zhao,Hongfei,,4/4/2023 5:01,,,1974,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Energy,Zhou Jian,46,China,Shenzhen,Solar energy equipment,Energy,China,,TRUE,D,M,7/1/1976 0:00,Zhou,Jian,,4/4/2023 5:01,,,1976,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,Healthcare,Zhu Yiwen & family,59,China,Shanghai,Healthcare,Healthcare,China,,TRUE,U,M,1/1/1964 0:00,Zhu,Yiwen,,4/4/2023 5:01,,,1964,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,Diversified,Roberto Angelini Rossi,74,Chile,Santiago,"Forestry, mining",Diversified,Chile,,FALSE,U,M,7/30/1948 0:00,Angelini Rossi,Roberto,,4/4/2023 5:01,,,1948,7,30,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
1575,1900,Energy,Mika Anttonen,56,Finland,Helsinki,Oil & gas,Energy,Finland,,TRUE,U,M,12/18/1966 0:00,Anttonen,Mika,,4/4/2023 5:01,,,1966,12,18,112.33,1,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314,61.92411,25.748151
1575,1900,Sports,David Blitzer,53,United States,New York,Sports,Sports,United States,,TRUE,N,M,9/7/1969 0:00,Blitzer,David,,4/4/2023 5:01,New York,Northeast,1969,9,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1575,1900,Finance & Investments,Julio Bozano,87,Brazil,Rio de Janeiro,Banking,Finance & Investments,Brazil,,TRUE,D,M,2/1/1936 0:00,Bozano,Julio,,4/4/2023 5:01,,,1936,2,1,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
1575,1900,Energy,Nikolai Buinov,55,Russia,Irkutsk,"Oil, gas",Energy,Russia,,TRUE,U,M,7/9/1967 0:00,Buinov,Nikolai,,4/4/2023 5:01,,,1967,7,9,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
1575,1900,Fashion & Retail,Nicola Bulgari,82,Italy,Rome,Luxury goods,Fashion & Retail,Italy,,FALSE,E,M,1/16/1941 0:00,Bulgari,Nicola,,4/4/2023 5:01,,,1941,1,16,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
1575,1900,Fashion & Retail,"Howard Butt, III. & family",71,United States,San Antonio,Supermarkets,Fashion & Retail,United States,,FALSE,N,M,4/4/1952 0:00,Butt,Howard,,4/4/2023 5:01,Texas,South,1952,4,4,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1575,1900,Fashion & Retail,Stephen Butt & family,67,,,Supermarkets,Fashion & Retail,United States,,FALSE,N,M,5/24/1955 0:00,Butt,Stephen,,4/4/2023 5:01,,,1955,5,24,,,,,,,,,,,
1575,1900,Fashion & Retail,Jianxing Che,56,China,Shanghai,Furniture retailing,Fashion & Retail,China,,TRUE,D,M,7/18/1966 0:00,Che,Jianxing,,4/4/2023 5:01,,,1966,7,18,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,Manufacturing,Huxiong Chen,52,China,Shanghai,Stationery,Manufacturing,China,,TRUE,D,M,7/1/1970 0:00,Chen,Huxiong,,4/4/2023 5:01,,,1970,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,Energy,Chen Qiongxiang,,China,Ningde,Batteries,Energy,China,,TRUE,D,F,,Chen,Qiongxiang,,4/4/2023 5:01,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,Technology,Chen Zhisong,57,China,Xiamen,Communication equipment,Technology,China,,TRUE,D,M,1/7/1966 0:00,Chen,Zhisong,,4/4/2023 5:01,,,1966,1,7,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
