ID	Tweet	Affect Dimension	Intensity Score
2017-En-10825	@ezlisteningdisc it doesn't offend me but it's just,,, Weird.	anger	0.188
2017-En-10017	I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.	anger	0.833
2017-En-10958	@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction	anger	0.375
2017-En-10587	The bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye	anger	0.290
2017-En-10544	#Taurus will react angrily when she can't take being provoked any longer.	anger	0.438
2017-En-11699	Forgiving means operating with God's spirit &amp; God isn't unforgiving &amp; doesn't hold a grudge. So who am I? Exactly.	anger	0.250
2017-En-10056	Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡	anger	0.750
2017-En-10088	Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! 	anger	0.729
2017-En-11170	I only have to wave a fiery cross and we will f**kin' do this!	anger	0.667
2017-En-10078	@justyne_haley it does. if one person ruins season 13 for me, I will be so angry	anger	0.729
2017-En-10547	I think Paul is what's bitter, not the pastry	anger	0.492
2017-En-11450	I hate not having the answers I need. #tomourssuck #prayinsnotcancer 	anger	0.583
2017-En-10354	@mdivincenzo9 he's stupid, I hate him lol 	anger	0.521
2017-En-11662	@MintMilana where is the outrage when black children get killed in the crossfire between blacks shooting each other?	anger	0.646
2017-En-11358	My anger is boiling over.	anger	0.750
2017-En-10465	you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended	anger	0.479
2017-En-11539	@JaredWyand Maybe if it was transgender the media would cover it 	anger	0.479
2017-En-41105	@jamiesonhelen @MarianKeyes all three of my agin's on the pout .	anger	0.296
2017-En-10604	@everycolorbot more like every color looks the same #triggered #colorblind 	anger	0.396
2017-En-11671	@Christelle_C Actually, wait, I do, the constant outrage thing gets on my wick sometimes and it happened to flick my annoyance today. :)	anger	0.646
2017-En-10887	Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake	anger	0.417
2017-En-11615	I'm much to full of resentment	anger	0.688
2017-En-10412	Listening to Joey really helps me and my anger.	anger	0.500
2017-En-10403	Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do	anger	0.500
2017-En-11106	ethan was with someone in the car when he did his revenge on grayson	anger	0.292
2017-En-10568	@SageHillfarms @HintonAlisa @hb_heather Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?	anger	0.417
2017-En-10981	Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc	anger	0.917
2017-En-10607	@UnknownAndYoung — a low growl escaping him. Oh oh.	anger	0.396
2017-En-10144	@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard	anger	0.667
2017-En-10540	@thedrepabon BLM was outraged by the shooting in NC the other day, turns out the guy pointed gun at police. Wait for facts before outrage	anger	0.438
2017-En-30340	Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5	anger	0.229
2017-En-10472	@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao	anger	0.479
2017-En-11551	@MartinClouseau - as CEO of a charity you could reasonably expect @eduardo_LACS not to attempt to crudely inflame tensions.	anger	0.479
2017-En-10275	sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;	anger	0.562
2017-En-10549	After becoming boiling hot, after slowly melting, my heart is frozen.	anger	0.438
2017-En-11037	I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered	anger	0.771
2017-En-11010	@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs	anger	0.375
2017-En-10249	You will never find someone who loved you like I did. And that my love, will be my revenge.	anger	0.583
2017-En-10633	@warFarePower dip it in boiling water	anger	0.396
2017-En-41516	Boy oh boy! our weekday schedule is crazy! But no matter how tired I am I do whatever it takes to keep the smile on Kai's face from a frown	anger	0.371
2017-En-10310	@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists.  Some racists do indeed not like it.	anger	0.542
2017-En-11468	@AdamSinger bubble implies it will burst?	anger	0.438
2017-En-10531	Paul forever. Paul should have won! Paul played such a better game! #BB18 	anger	0.438
2017-En-41368	You forever straight so fix that frown u good😇 @amayyaaag__	anger	0.458
2017-En-10766	Recommended reading: Prisoners of Hate by Aaron Beck 	anger	0.292
2017-En-11254	@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge	anger	0.292
2017-En-10627	Congress acting indignant over the  #EpiPen pricing is quite disingenuous since they craft the laws that allow such gouging!!	anger	0.396
2017-En-10374	@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec	anger	0.521
2017-En-41185	@haileywiggins_ @flenner_alisha good. Takes more muscles to frown than smile	anger	0.229
2017-En-10114	@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry	anger	0.688
2017-En-10421	@cxmbeferre so you WOULDNT date me????? #offended	anger	0.494
2017-En-11599	Don't be offended,\nI'm just doing something that,\nGives your life more hurts.\n\n #haikuchallenge  #poetry	anger	0.500
2017-En-10447	Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and married😭 #nochance #KindaDontMind😉	anger	0.479
2017-En-10613	Y'all really insult coz of soccer???  Lmao, wow!!!!!!	anger	0.396
2017-En-11665	Will I offend you\nif I am truthful but kind\nor will you see why?\n@baffled #haikuchallenge #offend	anger	0.500
2017-En-11577	Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up #fuming	anger	0.667
2017-En-11455	so many 'protests for peace' going on lately but all i see is people burning down they're own cities and hometowns. Practice what u preach.	anger	0.722
2017-En-10044	Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages 	anger	0.733
2017-En-10023	Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder	anger	0.812
2017-En-11390	I'd rather dump gasoline all over myself and run into a burning building than use Excel.	anger	0.750
2017-En-10482	Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values	anger	0.458
2017-En-10676	Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today.	anger	0.444
2017-En-10013	Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging	anger	0.938
2017-En-10182	@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits	anger	0.646
2017-En-10254	@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.	anger	0.500
2017-En-10731	@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? 	anger	0.333
2017-En-10947	wanna go home and focus up on this game . Don't wanna rage at all	anger	0.375
2017-En-11030	@JamieRJN She's all over the political map in her relentless pursuit of power.	anger	0.333
2017-En-10716	Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness	anger	0.354
2017-En-11064	troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.	anger	0.354
2017-En-11115	Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!	anger	0.854
2017-En-11432	I freaking hate working with #word on my phone  #write #writing #writerslife #writerproblems #writer	anger	0.542
2017-En-10902	S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃	anger	0.542
2017-En-11042	ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....	anger	0.458
2017-En-11481	Glad I didn't watch smackdown because I can't see my men @JasonJordanJJ @WWEGable lose. #sohurt #revenge	anger	0.542
2017-En-10730	When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.	anger	0.333
2017-En-10955	They gonna give this KKk police bitch the minimum sentence..just wattch 	anger	0.708
2017-En-11192	@smendler (1) Watch out for memes &amp; statements designed to make you feel outrage, but that don't give you anything to *do* about situation	anger	0.542
2017-En-10521	@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.	anger	0.438
2017-En-10913	@fluffysoftlouis no no. I insist that you give me your best insult first	anger	0.562
2017-En-10897	Might just leave and aggravate bae	anger	0.417
2017-En-11694	@CallofDuty how do u guys determine teams? Cause I'm 80% on shitty teams when I play and I'm fuckin over it #cod #rage	anger	0.604
2017-En-11208	resentment is rlly my shit.	anger	0.562
2017-En-10478	Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival	anger	0.458
2017-En-11224	The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me	anger	0.750
2017-En-11435	Fear the fearsome fury of the forest fawn!	anger	0.375
2017-En-11150	Every dancers dream song #snap #worldpower	anger	0.188
2017-En-10272	@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?	anger	0.562
2017-En-11360	fuming	anger	0.708
2017-En-20660	@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.	anger	0.542
2017-En-11553	Look what we have available in store now!!!\n\nLiquid incense for those who can't burn sticks or cones or have smoke in they home!!!!	anger	0.208
2017-En-11522	tbh amy i don't know why you need to sort your life out, it's looks like your having a great time' thanks tiff 😂💜	anger	0.208
2017-En-10163	Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope	anger	0.646
2017-En-10236	@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! 	anger	0.583
2017-En-11393	@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us. #furious	anger	0.646
2017-En-11644	@RelUnrelated While I do not see Sailer Mars being a raging liberal, I doubt that she would say such a thing.	anger	0.396
2017-En-10320	@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.	anger	0.542
2017-En-10102	@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!	anger	0.708
2017-En-10099	@politico @realDonaldTrump another angry white man!	anger	0.708
2017-En-10805	Mm, okay. Ham for you and turkey for me.' Gives his hair a ruffle before heading back in the kitchen to set out the &gt;&gt;\n@DarkSithKenobi	anger	0.250
2017-En-10534	@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO 	anger	0.438
2017-En-10900	Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored	anger	0.167
2017-En-11514	@iAmSJ I'm so mad for our clients I'm furious lmao	anger	0.625
2017-En-10526	Chris ate all my mac n cheese so imma eat all his taffy 	anger	0.438
2017-En-11645	He who is affected by an insult is infected by it.	anger	0.417
2017-En-10842	@savageimiike one of my favorite songs brother, real talk. 	anger	0.157
2017-En-10432	@sarah_urbina why do you even beef Sara you let the anger get the best of you, you and Sagin been friends for how long?	anger	0.479
2017-En-10693	I can't even right now #bb18 	anger	0.354
2017-En-10498	Skipping meals is the national way of showing #disappointment and #anger. #wiz	anger	0.458
2017-En-10590	@JBCrewdotcom how his own fans insult him	anger	0.417
2017-En-11621	Stk is expensive but i'f rather take a bigger female there than tiff. You all see how slim she is and how she loves to eat.	anger	0.375
2017-En-10903	@LiamCannon1 He's just too raging to type properly... Ha ha!	anger	0.375
2017-En-10200	#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.	anger	0.543
2017-En-10928	Sting is just too damn earnest for early morning listening. #sting	anger	0.446
2017-En-10164	In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep 	anger	0.646
2017-En-10686	GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED #revenge	anger	0.354
2017-En-10155	I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC	anger	0.646
2017-En-11183	What a fucking muppet.  @jRwild1 #fuming #stalker.	anger	0.792
2017-En-41282	@kagehime3 I'm so starved for content I'd take it but I'd def pout about it (՟ິͫઘ ՟ິͫ)	anger	0.396
2017-En-11369	Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?	anger	0.672
2017-En-11035	I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered	anger	0.833
2017-En-11209	i resent being tired and annoyed that the word Wiener is splashed across the news. this should be a slam-dunk for me	anger	0.542
2017-En-10783	It takes a man to suffer ignorance and smile. Be yourself, no matter what they say. 	anger	0.271
2017-En-11108	@zavierdaniels had to snap going crazy 😭😭	anger	0.458
2017-En-10417	I am using twitter as a coping mechanism for raging out at this kid oops?	anger	0.500
2017-En-11086	@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein	anger	0.417
2017-En-11661	I am their fury. I am their patience. I am a conversation.	anger	0.312
2017-En-11079	Panpiper playing Big River outside The Bridges in SR1 	anger	0.271
2017-En-11421	My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱	anger	0.750
2017-En-10674	@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! 	anger	0.375
2017-En-11680	Stuck in a infuriate scrum about hegemonists. #infuriate #scrum #scrum #Stuck	anger	0.698
2017-En-10410	Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?	anger	0.500
2017-En-11272	@GarthJennings loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?	anger	0.333
2017-En-11453	@Pharah_Amari [Reyes snarled in frustrated anger, steel claws flexing dangerously. But she uttered those damning words, it seems to snap --	anger	0.500
2017-En-10205	Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.	anger	0.625
2017-En-11097	People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop	anger	0.780
2017-En-10033	Since the 'update' my @iPhone loses power nearly 40% faster.  #furious	anger	0.792
2017-En-10323	Michelle is one of the worst players in bb history #bb18 #bbfinale 	anger	0.542
2017-En-11520	Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷	anger	0.396
2017-En-10844	@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol	anger	0.146
2017-En-10794	@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.	anger	0.271
2017-En-10753	@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.	anger	0.312
2017-En-11590	Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 	anger	0.521
2017-En-10774	Focus on yourself. Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.	anger	0.292
2017-En-11391	@EE your website is making me feel violent rage and your upgrade options aren't helping either. #Aaaaarrrrgghhh #iwanttocancel 	anger	0.934
2017-En-40499	What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)	anger	0.417
2017-En-11365	There are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?	anger	0.604
2017-En-10965	@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.	anger	0.458
2017-En-11487	Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of #anger.	anger	0.729
2017-En-10847	@Callidissima @ahouseingotham wrath of khan is one of the best movies of all time	anger	0.146
2017-En-10991	@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.	anger	0.417
2017-En-10075	How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##	anger	0.729
2017-En-10502	why are people so angry toward veggie burgers at in n out wtf	anger	0.458
2017-En-10786	@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.	anger	0.271
2017-En-10951	@shae_caitlin ur road rage gives me anxiety.	anger	0.438
2017-En-10341	when you find out the initiative isn't even a thing 😧 #revenge	anger	0.542
2017-En-11679	Stuck in a infuriate scrum about hegemonists.  #scrum #scrum #Stuck	anger	0.625
2017-En-10113	I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.	anger	0.750
2017-En-11225	Living life so relentless	anger	0.417
2017-En-11278	Everton not playing and fume on here have day off	anger	0.646
2017-En-11486	meeting tiff at the mall soon, congrats on getting that L babes❣	anger	0.208
2017-En-40802	[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **	anger	0.500
2017-En-10841	@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. 	anger	0.167
2017-En-10518	Paul forever. Paul should have won! Paul played such a better game! #BB18 #angry	anger	0.466
2017-En-10661	I need to stop second guess myself and just go with the first thought and go with it. #relentless	anger	0.425
2017-En-11050	You sting like a bee but you're still my honey.	anger	0.229
2017-En-10972	Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.	anger	0.708
2017-En-11465	@RMCunliffe I don't read articles by people who rage about how horrible 'Cybernats' are. Got it?	anger	0.604
2017-En-11400	@Iucifaer you can go on what you usually do its just their own personal reason and not mean to offend anyone :(	anger	0.625
2017-En-11509	im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat  #snapme #horny #porn #naked #young	anger	0.479
2017-En-10781	Colors of the leaves are- changing.  Heatwaves in LA still- raging.  Lattes made in batches. Visit pumpkin patches. #FallSongs	anger	0.271
2017-En-10935	@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.	anger	0.604
2017-En-10142	i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN	anger	0.667
2017-En-10599	As your own lives in order to complete our amazing life journey successfully, it is there. #bitter	anger	0.417
2017-En-11122	Me: *sees incense burner* is this for drugs?	anger	0.354
2017-En-11111	If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework	anger	0.438
2017-En-11045	Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 	anger	0.312
2017-En-11612	I just poured boiling water on my foot.. now my cup of tea is less enjoyable, but worse my football career is foiled.	anger	0.479
2017-En-11266	It's #ThirstyThursday which means it's time to #rage. Get ready for tonight with personal #hydration. Book now. 305-912-4937. #itslit #miami	anger	0.312
2017-En-10359	whenever I put 'I wanna be adored' on my brother alwayss sings 'I wanna be a dog' instead just to irritate me	anger	0.415
2017-En-11510	im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat #snap #snapme #horny #porn #naked #young	anger	0.375
2017-En-10038	@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment	anger	0.792
2017-En-10183	I can't even right now #bb18 #rage	anger	0.646
2017-En-10425	I just love it when people make plans for me without actually including me in this process 	anger	0.479
2017-En-41297	Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned.  #AdultingIsTheWorst	anger	0.354
2017-En-10893	@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy	anger	0.526
2017-En-11167	@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted 	anger	0.625
2017-En-10610	Love how Megan is raging about this Kendall Jenner photo and I'm sat here like 🤔🙃	anger	0.396
2017-En-11515	the Bushes were good with the forces of resentment when it made them money and gave them power. Now that it doesn't they've changed tunes.	anger	0.438
2017-En-40503	Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO	anger	0.373
2017-En-10464	@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!	anger	0.479
2017-En-10433	@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck 😂	anger	0.479
2017-En-10160	@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 	anger	0.646
2017-En-10422	Drop Snapchat names #bored #snap #swap #pics	anger	0.500
2017-En-10195	@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the 	anger	0.625
2017-En-10068	can't believe Achilles killed me! #angry	anger	0.750
2017-En-10749	I'm just doing what u should b doing just minding my business and grinding relentless @LITO615	anger	0.312
2017-En-10475	@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-	anger	0.458
2017-En-10601	straight people are canoodling on the quad and I'm 	anger	0.417
2017-En-11418	Especially when it comes to voicing a displeasure, if you can't tell me straight up then hold your peace ✌️️	anger	0.354
2017-En-10314	@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!	anger	0.542
2017-En-11281	@TokyoSexPolice can I get away of this wrath by reading manga instead of watching overdone anime	anger	0.468
2017-En-40347	@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.	anger	0.521
2017-En-11070	@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! 🔥	anger	0.292
2017-En-10185	Why are people that don't have iPhones so bitter about iPhones???? Can someone explain	anger	0.625
2017-En-11271	@Dominos_UK worst thing is i have confimation from them 	anger	0.500
2017-En-10290	Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.	anger	0.562
2017-En-11586	@TobyIrish1 Yes but you were specifically fuming about him not signing enough people	anger	0.479
2017-En-10650	doing some testing with my current earth burst team	anger	0.375
2017-En-10859	@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.	anger	0.562
2017-En-10413	@kerrybowen_ you have anger issues!	anger	0.500
2017-En-10837	Follow me on Snapchat 👻 Carlabtst15 #snapchat #snap	anger	0.167
2017-En-10370	@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. #bitter	anger	0.521
2017-En-10728	@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.	anger	0.333
2017-En-10388	Imagine the twitter fume if Corbyn loses the election and then Smith leads Labour to a worse result than suggested under Corbyn.. Imagine??	anger	0.500
2017-En-10171	@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...	anger	0.646
2017-En-10260	@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. #bitter	anger	0.583
2017-En-10428	@voguemagazine, did you not learn from @FreePeople 's viral insult to ballet? Stop trying to wrongfully stick models into pointe shoes 🙄	anger	0.479
2017-En-10836	Ughhh love a clean house and my incense lit aromatherapy	anger	0.260
2017-En-11004	@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame	anger	0.646
2017-En-10394	🔥Anger is the acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.🔥 #anger \n\n~Mark Twain	anger	0.500
2017-En-11250	and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers	anger	0.688
2017-En-10073	Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡	anger	0.750
2017-En-10865	@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming	anger	0.682
2017-En-10016	@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.	anger	0.854
2017-En-11039	Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn	anger	0.296
2017-En-10193	@winksahoy we about to get shit on by the wrath of winter out of nowhere	anger	0.625
2017-En-10778	Need a new outlet for 	anger	0.292
2017-En-11099	RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?	anger	0.583
2017-En-10823	I need to stop second guess myself and just go with the first thought and go with it. 	anger	0.208
2017-En-10328	guys irritate me	anger	0.542
2017-En-10199	@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits	anger	0.625
2017-En-11131	@o2academybham since when the fuck can you not stand at a concert? 	anger	0.750
2017-En-11014	@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing	anger	0.229
2017-En-11084	Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻  #petty	anger	0.417
2017-En-11065	We floated like butterflies. Now you sting like bees!'	anger	0.271
2017-En-10092	Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18	anger	0.729
2017-En-10741	when you find out the initiative isn't even a thing 😧 	anger	0.312
2017-En-11378	How hard is it to get in touch with @bt_uk! One simple question I can't find answer to on website and 1 hour waiting for online chat 	anger	0.646
2017-En-10578	If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman	anger	0.417
2017-En-10555	@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only	anger	0.438
2017-En-10123	@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town	anger	0.688
2017-En-11485	Cuz even the bible talks about the son coming back with a fiery sword he got from his mother. They just called her a whore in revelations	anger	0.396
2017-En-10469	oh these old things on my face? nah they're not tears from school related anger and frustration nope never	anger	0.479
2017-En-11094	Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram	anger	0.729
2017-En-11605	@andrew_jrt I don't really understand the burst and semi auto version bc the damage doesn't change so those are essentially useless	anger	0.521
2017-En-21198	#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax	anger	0.312
2017-En-41026	Candice's standing pout face aggravates me every week	anger	0.521
2017-En-11216	jelly baby is my favourite insult	anger	0.396
2017-En-11688	I be trying to not stay playing madden and 2k 17 but its just so addictive 😭😭	anger	0.250
2017-En-10074	@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying	anger	0.553
2017-En-10059	@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!	anger	0.750
2017-En-11262	Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18	anger	0.500
2017-En-10577	@skinkev let's rage	anger	0.417
2017-En-11561	@GroovyBruce @larsrjs44 @AshvsEvilDead the 'groovier' part is an affront to common decency. No way @VancityReynolds agrees.	anger	0.375
2017-En-11527	Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off #fuming #NoWorkForMe	anger	0.771
2017-En-10663	Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 	anger	0.370
2017-En-10018	why are people so offended by kendall he ends photo shoot like seriously shut the fuck up	anger	0.833
2017-En-10211	•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--	anger	0.625
2017-En-10550	@xandraaa5 @amayaallyn6 shut up hashtags are cool 	anger	0.438
2017-En-11437	@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain #angry	anger	0.708
2017-En-10139	@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed	anger	0.667
2017-En-10512	@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone	anger	0.438
